职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
无人车业务部-整车系统集成测试,深圳,北京三快在线科技有限公司,本科,3-5年,,面议,美团自动配送以自研L4级自动驾驶软硬件技术为核心，与美团即时零售业务结合，形成满足公开道路、校园、社区、工业园区等室外全场景下的自动配送整体解决方案。美团无人车团队成立于2016年，团队成员来自于Waymo、Cruise、Pony.ai、泛亚等自动驾驶行业头部公司，自动驾驶技术团队博士占比高达30%，依靠视觉、激光等传感器，实时感知预测周围环境，通过高精地图定位和智能决策规划，保证自动配送车全场景...,互联网,http://jobs.zhaopin.com/CC383625320J40805131609.htm,10000人以上,2026-01-11 08:15:01
硬件经理,深圳,深圳市乐凡信息科技有限公司,本科,3-5年,"平板,手机,硬件实施,软件实施,硬件测试,需求分析评估,产品开发,产品内部评审,通信技术",1.8-3.5万,一、岗位职责1、负责手机、平板电脑、移动通信终端等产品的系统方案设计，确保硬件设计满足产品功能、性能和可靠性要求。2、负责对市场需求进行技术可行性分析，依据分析给出系统的硬件解决方案。3、根据产品需求，指导工程师进行硬件设计。并主导关键器件选型，确保所选元器件的性能、兼容性和成本效益。4、指导工程师高效完成产品的调试、优化工作，并领导团队快速解决硬件开发过程中出现的技术问题，保障产品硬件的稳定运行...,网络/信息安全,http://jobs.zhaopin.com/CC303843030J40864540003.htm,20-99人,2026-01-09 01:07:03
硬件工程师（大功率电源硬件）,深圳,四川科航人力资源服务有限公司,大专,3-5年,电源硬件,2-3.5万,岗位职责：1.负责电源产品原理图设计，变压器、电感等磁件选型设计；2.新产品调试及解决技术问题，电源装配工艺确认，EMC测试整改，安规认证配合及电源样机TYPE TEST；3.处理试产问题，处理量产中遇到技术问题并处理物料不良类问题；4.处理客户送样样机问题，提出的技术问题，配合品管处理客户投诉问题；5.进行客户技术要求整理，电源产品规格书制定，安规器件清单整理和EMC关键器件清单整理；6.提交电...,人力资源服务,http://jobs.zhaopin.com/CC818536060J40896948308.htm,100-299人,2026-01-06 23:27:53
高级硬件工程师,深圳,深圳中电技术,本科,5-10年,"电路设计,PCB设计,硬件选型,硬件调试,仪器仪表",2.5-3.5万·14薪,岗位职责： 1、负责新项目产品需求规格分析和编写技术可行性分析报告，带领项目组攻坚克难。 2、负责嵌入式产品的硬件方案设计、原理图设计、PCB（多层）设计及电子元器件选型； 3、负责硬件开发及调试，制作样机及批产产品； 4、执行产品整机调试及电气性能测试分析，提出改进意见； 5、编写产品相关技术文档。 任职要求： 1、电子、通信、自动控制等电子专业或相关专业优先，本科及以上学历； 2、具备扎实的数...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC120993410J40507372501.htm,1000-9999人,2026-01-06 19:53:10
高级硬件工程师,深圳,深圳市乐凡信息科技有限公司,本科,3-5年,"硬件开发,高通,MTK、RK,手机、平板,整机项目",1.8-3.5万,一、岗位职责1、负责手机、平板电脑、移动通信终端等产品的硬件方案设计、原理图设计、PCB布局布线指导及审核工作，确保硬件设计满足产品功能、性能和可靠性要求。2、根据产品需求，进行方案设计、芯片选型、元器件选型与评估，确保所选元器件的性能、兼容性和成本效益。3、完成硬件电路的调试、优化工作，解决硬件开发过程中出现的技术问题，保障产品硬件的稳定运行。4、协助进行硬件与软件的联合调试，确保硬件与软件的协...,网络/信息安全,http://jobs.zhaopin.com/CC303843030J40864537203.htm,20-99人,2026-01-09 00:00:01
硬件开发工程师,深圳,深圳市新凯来技术有限公司,本科,经验不限,硬件开发,2.5-3.5万·15薪,岗位职责：1、 主导完成硬件系统方案设计，分解产品原始需求，制定单板硬件方案及详细设计，进行器件选型、原理图、PCB设计、单板调试等工作； 2、解决硬件开发过程中的问题，确保满足产品要求。3、 收集产品的硬件应用需求，进行产品相关竞品分析，提升产品硬件设计竞争力；4、硬件周边领域风险的评估和设计，包括软件、 热、结构、工艺、可靠性等，达成系统方案最优岗位要求：1、具备单板硬件开发经验，熟练使用ED...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40883264715.htm,1000-9999人,2026-01-06 17:01:45
电源工程师,深圳,深圳市驰衡科技有限公司,本科,3-5年,"电源,AD画图,反激,电力电子产品,PCB设计",1.8-3.5万·13薪,1. 负责中小功率适配器和充电器的研发调试工作2. 熟悉反激，DCDC，Buck等拓扑3. 熟练使用Altium Designer画原理图和PCB4.熟悉PD/PPS协议芯片5.本科及以上电子专业,计算机硬件,http://jobs.zhaopin.com/CCL1363843410J40572416703.htm,20-99人,2026-01-06 11:13:06
硬件工程师（小功率线充）,深圳,深圳市蓝禾技术有限公司,大专,5-10年,"电源,PD快充,移动电源,设计",2.5-3.5万·15薪,工作职责：1、主要从事电源类产品功率硬件的开发与设计工作。2、精通LLC 和反激、正激、拓扑结构，熟悉 PFC 电路，能独立设计计算变压器及磁性元器件。3、在电源的需求规格设计、方案制定、技术评审中提供高价值建议，对产品竞争力起到关键影响。4、根据电源行业前沿技术发展动向，制定适合品牌发展的电源技术路线图。5、产品类型，PD快充，移动电源，适配器，无线充等小功率充电类产品工作要求：1、大专及以上学...,互联网,http://jobs.zhaopin.com/CC622315430J40792609711.htm,500-999人,2026-01-06 00:00:03
电机硬件工程师,深圳,深圳市新凯来技术有限公司,本科,经验不限,,2-3.5万·15薪,岗位职责： （不一定要电机经验，只要有硬件经验就行）1.负责硬件方案设计及电路开发，完成原理图与PCB设计 2.承担模拟、数字电路硬件单板或者高精传感器开发及调试、问题定位与解决、可靠性设计等关键开发工作3.生产现场支持、产品问题分析与解决、现场支持等工作任职要求： 1.电子、自动化、电气、机械、材料、传感器、物理、微电子等相关专业 2.掌握MOS/AD/运放/MCU/DSP/FPGA等器件技术知...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40907781315.htm,1000-9999人,2026-01-04 17:19:26
硬件工程师（储能BMS）,深圳,科列技术,本科,3-5年,"硬件开发,工商储,储能BMS,硬件设计",1.8-3.5万,岗位职责：1、负责工商储与1500V大储产品中BMS整体方案规划、方案设计、原理图设计、关键零部件选型；2、对设计的BMS电路板进行调试，并与软件工程师进行联调；3、整理并维护BMS的相关BOM，并进行替代料验证等；4、编制产品的设计规格书、技术方案、履历本等技术资料；5、负责解决或协助解决新研产品在生产过程中和外场出现的技术问题。任职要求：1、本科以上学历，计算机、车辆工程、电子信息类及其自动化...,新能源,http://jobs.zhaopin.com/CC336668610J40641940712.htm,300-499人,2026-01-04 09:58:40
电子硬件工程师,深圳,丹阳合十智能科技有限公司,本科,3-5年,,2-3.5万,岗位职责:1.负责公司相关产品嵌入式硬件平台开发设计、关键技术的研究等开发工作;2.负责硬件模块的方案选型、原理图设计、指导PCB Layout工作;3.产品相关的硬件技术文档的编制，参与配合公司其他团队的装调、测试等工作;4.负责公司产品硬件部分的成本结构优化、安规认证、量产导入;5.公司相关产品的硬件维护工作;能力要求:1、电子、自动控制等相关专业毕业，有3年以上硬件设计工作经验;2、基础知识...,工业自动化,http://jobs.zhaopin.com/CCL1381570050J40892926202.htm,20-99人,2025-12-31 10:16:53
硬件工程师（急招）路由器 CPE Ai智能硬件,深圳,深圳市伟文无线通讯技术有限公司,本科,1-3年,,1.8-3.5万·13薪,工作职责： 1）负责项目硬件开发及调试工作，包括方案评估与系统设计、关键元器件选型、原理图设计、PCB设计指导、调试测试、生产跟进，认证与售后问题处理；2）负责开发过程中，各过程文档，如BOM、测试计划及相关文件编写；3）负责硬件单板调试，风险问题自测评估；4）负责硬件相关的整机调测，负责设备认证测试及整改；5）进行硬件领域技术研究，包括但不限于方案技术评估、竞品分析、质量改善、成本优化等；6）参...,运营商/增值服务,http://jobs.zhaopin.com/CC149218710J40881672802.htm,100-299人,2025-12-29 17:39:45
高级硬件研发工程师,深圳,歌尔股份,本科,5-10年,设计,1.9-3.5万,岗位职责：1.硬件电路设计、EE衍生设计及测试方案制定及完成测试任务2.Lead团队完成SMT/组装/REL等不良分析并制作相关报告、解决技术问题，主导跟客户daily会议，汇报沟通问题分析进展。3.Lead团队解决分析项目过程中遇到的重大问题，主导任务完成及资源协调分配。4.对接美国和国内EE客户，解读客户需求，带领团队完成客户安排的各种任务。5.编制项目所需硬件设计相关文件；6.新技术的预研。...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40712447306.htm,10000人以上,2025-12-29 17:00:31
硬件工程师,深圳,丹阳合十智能科技有限公司,本科,3-5年,"硬件开发,智能割草机,EMC",2.5-3.5万,岗位职责:1.负责公司相关产品嵌入式硬件平台开发设计、关键技术的研究等开发工作;2.负责硬件模块的方案选型、原理图设计、指导PCB Layout工作;3.产品相关的硬件技术文档的编制，参与配合公司其他团队的装调、测试等工作;4.负责公司产品硬件部分的成本结构优化、安规认证、量产导入;5.公司相关产品的硬件维护工作;能力要求:1、电子、自动控制等相关专业毕业，有3年以上硬件设计工作经验;2、基础知识...,工业自动化,http://jobs.zhaopin.com/CCL1381570050J40891704902.htm,20-99人,2025-12-29 13:35:46
