职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级运营专员（收单） (MJ001476),深圳,新国都,本科,3-5年,"用户运营,数据运营",1.2-2万·14薪,岗位描述：1.负责收单商户的全生命周期管理和日常运营，包括商户onboard跟进、问题答疑、商户培训、客诉处理、数据分析与监控、对账等工作。2.负责整理及更新商户操作手册，协助进行各类文档的整理、归档。3.负责完成支付产品、新功能上线的运营工作，包含：产品能力梳理、知识库更新等。4.负责协助上级梳理内部收单相关业务流程，搭建标准化运营体系，推动跨部门协作。5.熟练使用运营及商户系统，能够准确识别和...,智能硬件,http://jobs.zhaopin.com/CC173217010J40818828401.htm,1000-9999人,2026-01-06 14:43:23
BK82DG-营销推动室规划管理岗,深圳,平安银行股份有限公司,本科,1-3年,,面议,工作职责要求：1、负责部门各类经营分析报告、战略规划材料、项目企划报告的统筹撰写与优化；2、跟踪业务动态，提炼核心信息融入报告，输出具有前瞻性的分析观点与建议，为管理层决策提供有力支撑；3、负责经营分析及重点事项督办，结合经营数据提出优化建议，跟进关键任务指标推进进度，确保目标落地。任职资格：1、熟练使用Office办公软件，具备扎实的报告撰写功底，有1年以上企划报告、行业分析报告撰写经验者优先；...,银行,http://jobs.zhaopin.com/CC196209320J40818721801.htm,10000人以上,2026-01-06 10:52:17
抖音新媒体运营,深圳,深圳市基核教育科技有限公司,大专,1-3年,"教育类,短视频平台",1-2万,岗位内容：1. 执行公司新媒体推广策略，及时更新各个社交媒体平台的内容和互动，提升社交媒体品牌影响力；2. 关注市场和行业趋势，了解消费者心理需求，提出创意方案和运营建议，促进销售增长；3. 负责社交媒体平台的日常维护、数据分析和报告输出，反馈内容改进意见和提升策略；4. 协助其他部门完成相关工作。任职要求：1. 具备良好的写作和编辑能力，热爱新媒体和数字营销，对社交媒体有浓厚兴趣；2. 应届毕业...,培训/辅导服务,http://jobs.zhaopin.com/CCL1493690690J40762588410.htm,20-99人,2026-01-04 20:15:41
新媒体运营,深圳,深圳市刻锐智能科技有限公司,本科,3-5年,"短视频平台,抖音,短视频运营",1-2万,岗位职责一、内容策划与制作1.根据公司战略，负责新媒体平台（如抖音、小红书、视频号、B站等）的视频内容整体规划、脚本撰写、拍摄与后期剪辑。2.独立或牵头完成高质量视频内容产出，重点聚焦：-工厂实力展示： 策划并拍摄自动化生产线、严格质量管控流程、特殊工艺细节、现代化现场管理及实验室检测等，彰显制造硬实力。-研发能力呈现： 通过视频解读产品创新思路、深度定制解决方案、制造精度与工艺灵活性，突出技术软...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC399150980J40759080714.htm,100-299人,2026-01-04 11:19:03
项目推动负责人,深圳,深圳广杰环保(集团)有限公司,大专,3-5年,,1.4-2万,运营/管理协调负责人（偏内务）汇报对象：老板核心定位替老板盯事、推事、收口子，让公司运转有秩序。⸻主要职责（重点看这 5 条）1️⃣ 事务统筹 • 梳理各岗位当前工作事项 • 建立《事项—负责人—节点—状态》总表 • 每日/每周更新，异常单独标红2️⃣ 进度推进 • 按节点主动跟进项目、订单、内部任务 • 发现拖延先介入协调，解决不了再向老板汇报 • 不做“传话筒”，要推动结果3️⃣ 数据与反馈 ...,专用设备制造,http://jobs.zhaopin.com/CC356534510J40745053906.htm,100-299人,2026-01-03 19:58:35
新媒体运营（视频号、内容运营）,深圳,深圳市圳智联科技有限公司,本科,3-5年,内容运营,1-2万,岗位职责：1. 全平台运营与内容策划：独立负责世界杯、亚运会等官方周边产品在视频号、快手、抖音等核心阵地的内容规划、日常运营及粉丝增长，提升品牌影响力和账号健康度。2. 热点营销与销售转化：紧密围绕大型体育赛事节点，策划并执行专题营销活动与内容，有效推广赛事周边产品，驱动销售增长。3. 达人合作生态建设： 主动开拓、联络并管理带货达人/主播/KOL资源，从筛选、谈判、寄样、脚本共创到直播执行全程跟...,广告/营销,http://jobs.zhaopin.com/CCL1515189600J40834509905.htm,20-99人,2026-01-02 15:15:00
京东慧采运营主管,深圳,辽宁维德贝林科技实业有限公司,本科,经验不限,"toB,toC,电商运营,京东",1-2万,岗位内容：1. 设计、实施和监督改善业务流程和程序。2. 确保公司符合所有法规要求和标准。3. 分析市场趋势和竞争对手，制定相应战略和解决方案。4. 协调不同的部门以确保业务目标的实现。5. 监督各项指标以确保业务目标的实现。任职要求：1. 本科及以上学历，具有相关领域背景；2. 至少7年以上相关工作经验，其中三年以上为运营管理经验；3. 出色的分析和解决问题的能力；4. 强大的领导技能和团队管理...,电子商务,http://jobs.zhaopin.com/CCL1468027210J40812388811.htm,20-99人,2025-12-30 15:17:09
新媒体运营主管,深圳,深圳好易达科技有限公司,大专,1-3年,"短视频平台,图文平台,海外平台,TikTok,微信公众号,小红书,抖音,微信视频号,内容运营,短视频运营,电商运营",1-2万,一、公司简介好易达成立于2022年，我们是一家专注于LED智能氛围照明领域，集研发、生产与销售于一体的科技企业。我们的核心产品包括智能灯带、氛围灯具等，可通过APP进行精准控制，我们致力用光影科技点亮美好生活。 二、岗位职责 1.负责公司主流新媒体平台的账号体系从0到1的搭建、日常运营与内容规划，快速积累精准粉丝与流量(抖音、******、微信公众号、小红书、网站等） 2.深度理解平台算法与用户，,通用设备制造,http://jobs.zhaopin.com/CCL1512913990J40817520201.htm,100-299人,2025-12-30 09:08:46
新媒体运营岗（大湾区事业部）(J13194),深圳,深圳联粤房地产开发有限公司,本科,3-5年,直播运营,1-2万,岗位职责:1、熟悉主流新媒体平台的运营机制(如抖音、小红书、视频号、微信公众号等)，包括直播及短视频，能够制定并落地新媒体运营规划及计划，为项目进行引流，并实现流量的沉淀及转化；2、负责新媒体运营的规范及标准的制定及执行；3、负责主播的精细化运营，直播内容建设及复盘；4、监控并分析新媒体运营数据，复盘团队新媒体运营能力，通过能够结合数据持续优化选题、内容、表现形式等，达成运营指标；5、关注新媒体传...,房地产开发,http://jobs.zhaopin.com/CCL1288731200J40814942211.htm,10000人以上,2025-12-29 00:00:01
国际酒店产品运营,深圳,梓如商务旅行服务集团股份有限公司,本科,3-5年,"用户运营,国际酒店",1.5-2万,主要工作职责1、国际酒店产品供应商调研、选择，协调维护，资源的获取及持续优化；2、直接参与酒店供应链采购项目实施，获取优质商务条款，并与供应商建立稳固的合作关系；3、定期输出业务数据分析，供应链竞争力分析，支撑供应链优化与回顾，支撑客户运营成功；4、监控供应商销售指标达成、增加综合收益，识别和评估与供应商相关的潜在风险，制定风险应对计划，降低潜在的业务风险；5、结合客户需求和业务数据，负责系统功能...,互联网,http://jobs.zhaopin.com/CC379661430J40851971813.htm,100-299人,2025-12-25 17:01:50
