职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
舱外数据清洗+周末双休,杭州,浙江爱才人力资源股份有限公司,大专,1-3年,,,【公司介绍】虹软科技股份有限公司，是计算机视觉行业领先的算法服务与解决方案供应商，总部位于杭州，1994年创立于美国硅谷，2019年在上交所科创板上市。【薪资情况】1、底薪5k+加班费（周末加班底薪折算，节假日三薪）2、岗位是外包性质。3、项目组可能会有加班的情况，需要能接受。【工作时间】早九晚六，周末双休，午休一个半小时，法定正常休息【岗位职责】1、参与沟通并确定数据清洗标准，比如清洗的内容、质...,人力资源服务,http://jobs.zhaopin.com/CCL1278433670J40819484801.htm,300-499人,2026-01-08 15:36:58,,,
数据清洗专员【急招！】,杭州,爱才集团有限公司,大专,1年以下,"数据请洗,Python",,岗位职责：1、对数据进行筛选、去重、修复等处理，使其符合ai模型训练要求2、参与沟通并确定数据清洗标准，比如清洗的内容、质量和时间要求任职要求：1、大专及以上学历，大数据、计算机等相关专业；2、接受26届实习生（可转正，提供实习协议与三方）工作时间：9：00-18：00，中午休息一个小时，周末双休薪资待遇：基础薪资4200+加班费（20-25/h），月综合4500-5000,人力资源服务,http://jobs.zhaopin.com/CCL1246426550J40733066510.htm,500-999人,2026-01-06 10:37:00,,,
金融行业研究员,杭州,上海易正朗投资管理有限公司,本科,无经验,"私募基金,证券行业,国内外知名院校,行业研究,数据挖掘和分析为主,市场信息收集及分析",,1，热爱证券研究，2，能独立做好数据跟踪分析研究，3，英语听读和交流能力优秀者优先，4，1-2年后毕业的本科生或研究生。,基金,http://jobs.zhaopin.com/CC691652080J40880402704.htm,20-99人,2025-02-28 10:30:03,,,
大宗商品研究员（实习生）,杭州,浙江倍斯特物产有限公司,本科,无经验,"基本面研究,期货研究,Python,经济研究,政策研究",,职位描述：1、跟随自己的导师学习产业研究方法，定期做学习汇报、接受评审和进行自我调整，满足公司的要求；2、协助团队进行产业相关的数据和信息的日常跟踪，建立和维护产品数据库；3、跟随导师或独立进行实地调研，掌握一手信息和数据，学习如何为基本面研究和公司的交易决策提供支持；4、完成所负责的品种的日报、周报等常规报告，并不定期撰写专题报告。 未来发展方向：实习研究员-初级-中级-高级研究员-研究总监实习...,贸易/进出口,http://jobs.zhaopin.com/CCL1471310500J40516434614.htm,20-99人,2025-12-03 14:55:39,,,
数据分析师,杭州,交通运输通信信息集团有限公司,本科,无经验,数据治理,,一、岗位职责1.地理数据标注与核验负责系统上作业点位、区域边界等地理数据精准标注、属性补全及交叉核验，保障数据准确有效，支撑模型训练、区域分析等业务。2.基础数据处理协助收集地理关联业务数据，完成格式转换（如坐标统一）、基础统计分析，输出可靠数据成果，提供简单决策支持。3.数据质量优化排查地理与业务数据对接问题（如坐标 - 地址不匹配、边界重叠），参与质量标准优化，配合完成数据清洗与异常修复。4....,运营商/增值服务,http://jobs.zhaopin.com/CC121031870J40793527507.htm,1000-9999人,2025-12-04 17:05:33,,,
（永安资本）新能源期现业务实习生,杭州,永安期货,本科,无经验,"基本面研究,经济研究,产业研究,期现贸易,大宗商品",,岗位职责:1、协助期现经理建设新能源品种产业链渠道，应用金融衍生品工具开展大宗商品的基差贸易、合作套保、含权贸易、仓单业务、厂库服务、国际贸易等业务；2、协助期现经理研究新能源品种期现行情，分析产业相关的宏观经济、供求关系、品种手册及行情走势，不断完善期现投研框架及逻辑；3、协助做好产业调研，跟踪与分析区域价差及产业链数据，发现投资机会，为期现交易提供策略及数据支持；4、协助业务后台及风控部门做好...,证券/期货,http://jobs.zhaopin.com/CC141713190J40793941001.htm,1000-9999人,2025-09-30 13:43:52,,,
产业研究实习岗（杭州）,杭州,浙江清华长三角研究院,本科,无经验,"经济学/统计学,人文地理/城乡规划,区域经济研究",,岗位职责：1、从事城市相关的大数据整理与分析，包括企业、专利、人口、舆情等。2、政府部门统计数据查询、整理和分析。3、根据课题组需要，协助和参与课题文本撰写。岗位要求：1、本科及以上学历。2、经济学、统计学、人文地理、城乡规划等相关专业。3、具备良好的学术写作能力，具有区域经济研究相关项目经验，熟悉政府统计数据，熟悉Office办公软件。4、加分项：具有Python、R、SQL等常见语言数据分析能...,学术/科研,http://jobs.zhaopin.com/CC140828040J40750620712.htm,100-299人,2025-03-19 11:01:48,,,
物流信息化（实习生）,杭州,交通运输通信信息集团有限公司,本科,无经验,"数据治理,数据挖掘,数据建模",,岗位职责：1.数据及物流数据相关政策梳理：负责收集和整理国家及地区颁发的有关数据和物流数据方面的相关政策，总结提炼政策核心内容。2.业务场景调研：负责收集、整理和分析物流行业的业务场景需求与数据需求。3.数据现状梳理：针对物流行业的数据，分析数据的现状，评估数据质量等。4.课题报告编写：参与撰写课题研究分析报告，善用图表等可视化形式，清晰展示分析结果。要求：1.物流管理、供应链管理、统计学、计算机...,运营商/增值服务,http://jobs.zhaopin.com/CC121031870J40676474207.htm,1000-9999人,2025-11-21 14:08:07,,,
高级数据分析师,杭州,杭州班迪电子商务有限公司,本科,3-5年,"数据治理,数据挖掘,数据仓库,Sql,Python,R语言",15000-20000,需电商板块IT数据分析经验，无电商板块的请勿投递岗位职责：1.负责整合线上电商业务的各方数据，构建并优化公司级运营监控与决策支持体系，推动数据可视化及自动化分析平台的建设；2.深入理解业务战略，主导数据预策系统的规划与落地，为业务决策提供可靠的数据支撑，协助达成商业目标；3.通过数据洞察挖掘业务优化点，驱动业务核心指标持续提升，推动数据文化在业务团队中的渗透；4.负责跨部门数据需求沟通与协作，推动...,电子商务,http://jobs.zhaopin.com/CCL1450561250J40808715501.htm,100-299人,2025-11-21 17:46:46,15000.0,20000.0,12.0
销售支持主管（快销品）,杭州,安徽英贝健贸易有限公司,本科,1-3年,,12000-17000,要求有快销品行业经验，需要一位表格处理及数据分析能力、沟通能力和抓重点能力强，工作严谨细致、责任心强的小伙伴哟岗位职责：1、负责营销全渠道数据的收集汇总，涵盖线下经销商出货、终端门店动销、销售数据及营销活动投放数据等，建立标准化数据台账，确保数据口径统一、准确完整，解决现有问题2、构建营销核心指标监控体系，包括销售额、销量、市场份额、渠道贡献率、单店产出、复购率等，定期（日/周/月）输出数据分析报...,电子商务,http://jobs.zhaopin.com/CCL1511229700J40854308513.htm,20-99人,2026-01-08 11:40:25,12000.0,17000.0,12.0
数据分析师,杭州,沪上灵犀科技(上海)有限公司,本科,1年以下,"Sql,数据挖掘,数据治理,数据建模",,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 具备统计学、数学、计算机科学或相关领域的本科及以上学历。2. 熟练使用常见的数据分析工具和平台，如Excel、SQL、BI工具...,计算机软件,http://jobs.zhaopin.com/CCL1512826650J40822341610.htm,20-99人,2025-11-20 13:23:40,,,
杭州数据分析,杭州,和韵轩信息技术(上海)有限公司,大专,经验不限,"数据治理,数据挖掘,数据建模,Sql,Python,R语言",,【工作内容】- 协助资深数据分析师进行数据收集、清洗、处理和分析工作。- 使用SQL、Excel或其他数据分析工具对数据进行初步分析。- 参与数据可视化工作，生成图表和报告以支持业务决策。- 完成上级安排的其他工作任务。【任职要求】- 本科及以上学历，计算机科学、统计学、数学、信息技术等相关专业优先；- 具备良好的逻辑思维能力和数据分析能力。- 为人踏实，细心认真，责任心强。- 大专学历，但专业背...,IT服务,http://jobs.zhaopin.com/CCL1494188270J40780422412.htm,20-99人,2025-08-25 09:32:57,,,
帆软报表开发工程师,杭州,科珠(广州)科技有限公司,本科,3-5年,"SQL,报表开发,数据可视化,FineReport,FineBI,Kettle",,岗位内容： 1. 收集和整理内部和外部数据源的数据，以便后续的报表分析和可视化。 2. 开发和维护报表，仪表板和可视化效果。 3. 支持各种用户组使用BI系统和数据。 4. 持续改进BI系统的性能，并按照业务需求开发新功能和改进现有的功能。 任职要求： 1. 熟练操作finereport工具和数据可视化软件，并有3年以上的相关工作经验。 2. 掌握etl工具如kettle，能够进行数据处理和应用程...,计算机软件,http://jobs.zhaopin.com/CCL1512780640J40846397312.htm,20-99人,2025-12-23 01:35:58,,,
大数据分析师（简单数据标注，可招应届生）,杭州,宁波神算人工智能科技有限公司,大专,经验不限,,10000-12000,低门槛上手快：无需专业背景和经验，0基础也能做！我们提供免费带薪培训，从标注规则到工具使用，1-3天即可独立完成基础任务，非常简单。岗位内容：1. 对数据进行标注、打标签、整理、审核等工作；2. 确保数据质量和数据准确性；3. 配合客户进行项目进度跟进及反馈。【福利待遇】1、舒适的办公环境:高级写字楼，积极和谐的工作环境，朝气蓬勃的团队。2、齐全的福利体系:节日福利、专业培训、团建活动3、良好的晋...,人工智能,http://jobs.zhaopin.com/CCL1506909100J40837869913.htm,20-99人,2025-12-11 12:35:55,10000.0,12000.0,12.0
