职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
平面设计,成都,西藏易境旅游景观规划设计有限公司四川分公司,本科,5-10年,"画册设计,品牌设计,文创设计,VI设计,广告设计,排版设计,标识导视设计",8000-15000元,非相关专业、无相关工作经验请勿随意投递简历核心岗位职责：1. 负责公司文旅类型项目的平面设计工作；2. 负责宣传册、期刊、图书书籍装帧设计工作；3. 负责公司宣传类工作：官网或公众号推文、各类活动及节气海报、H5设计；3. 参与公司VI系统、文创产品、周边产品的设计工作。任职要求：1、美术、产品设计等相关专业本科以上学历（美术院校毕业者优先），有3年及以上文旅项目经验者优先；2、有一定美术功底、良...,建筑设计,http://jobs.zhaopin.com/CCL1292138880J40492812110.htm,100-299人,2026-01-04 12:32:19
设计研发经理,成都,四川艾高智家科技有限公司,学历不限,5-10年,展厅设计,1-1.5万,岗位职责：1、负责规划公司产品体系，建立产品研发标准；2、负责艾高新加盟商及经销商专卖店建设（样品、装修等）管理工作；3、负责规划公司门店形象体系，建立门店形象标准4、调研市场主流产品，分析流行趋势，制定研发计划，通过评审后执行；5、新产品的立项开发，方案设计（风格、空间、结构、功能），产品打样，试验测试，工艺制定，软件模块设置；6.新产品发布及培训；7.部门员工技能培训及管理。任职要求：1.定制...,家具/家居/家电,http://jobs.zhaopin.com/CCL1496246140J40704998906.htm,20-99人,2025-12-29 15:24:07
资深平面设计师,成都,四川天马繁星文化科技有限公司,本科,5-10年,"包装设计,VI设计,排版设计",1.2-1.5万,职责描述：【设计对接】主动与客户沟通，了解具体设计要求及交付标准；完成从设计参考提供到设计作品交付。【创意提案】能够结合多元视角和丰富经验，给予客户专业提案或建议。【设计交付】为客户提供传播类设计，包括网媒渠道的KV、H5、运营海报等其他品牌全案设计；【案例沉淀】定期总结沉淀服务案例，优化工作流程，通过不断学习提升业务水平。任职要求：【学历专业】本科及以上；美术、视觉设计、平面设计、数字媒体等相关...,互联网,http://jobs.zhaopin.com/CCL1457103340J40815811115.htm,20-99人,2025-12-10 15:37:40
高级设计经理,成都,云南一起发财控股有限公司,本科,5-10年,"视觉设计,包装设计,视觉VI,平面设计,主案设计师,美术指导,设计经理,PS,CAD,3D MAX",1-1.5万,【岗位职责】1、品牌设计战略规划负责连锁品牌的整体设计战略制定与执行，探索并定义品牌的设计语言，构建完整的品牌设计理念，确保品牌形象在所有渠道和触点上的一致性、信息传达的有效性和品牌健康度。具备战略性和前沿性的行业视角，在多样性、复杂化的商业场景中，及时发现品牌设计问题，提出解决方案，输出有效的设计方案，完整构建全方位的品牌创意方案并高质量落地执行。2、品牌设计工作执行负责次世代品牌店铺设计工作，...,餐饮服务,http://jobs.zhaopin.com/CCL1514040930J40904312308.htm,100-299人,2025-12-03 17:56:17
门店设计总监,成都,四川艾高智家科技有限公司,学历不限,5-10年,"3D MAX,CAD,定制家具",1-1.5万,"岗位描述：1.、领导及管理设计团队，协调及跟进设计师团队内部工作进展，确保团队成员能达到项目目标；2、对部门的设计方案、效果图等全部设计工作的质量把关,以及材料选用配套方案等后续工作的监督；3、指导设计师配合工厂完成产品设计制造到后期安装,达到客户要求；4、懂工艺产品及制作,从设计到后期营销渠道的开发；5、负责与重要客户汇报,精准地向客户阐述出设计理念,并让客户信服；6、监督设计流程体系的执行、提...",家具/家居/家电,http://jobs.zhaopin.com/CCL1496246140J40737494506.htm,20-99人,2025-12-29 15:21:38
烟草工艺设计经理,成都,中国轻工业成都设计工程有限公司,本科,5-10年,设计经理,1-1.5万,工作职责：1. 负责烟草行业项目的工艺设计；2. 负责烟草行业项目的项目管理与客户维系；3. 负责组织烟草招投标中工艺设计工作；4. 完成上级交办的其他工作。 任职要求：1. 食品科学与工程、机械自动化、烟草工程等相关专业，大学本科及以上学历；2. 有烟草行业工艺设计经验；3. 负责沟通客户需求，主动开拓，具有较强分析、沟通和协调能力；4. 负责对所在市场的有效商机、客户进行辨识及跟踪，参与实际业...,工程技术与设计服务,http://jobs.zhaopin.com/CC208756310J40927985304.htm,100-299人,2025-12-03 16:19:03
平面视觉经理,成都,深圳市星河房地产开发有限公司,本科,5-10年,"广告设计,PS,AI",面议,"岗位职责：1、负责项目全周期、全渠道的高品质平面视觉创意与设计工作，确保输出物兼具艺术美感与商业传播力。2、主导品牌及项目的视觉系统建立与标准化管理，强把控项目在各营销阶段（如亮相、强销、持销）的平面视觉输出风格的高度统一性与品质稳定性。3、积极探索并主导应用前沿AI图像生成与设计工具（如nano banana,Midjourney, Stable Diffusion, Adobe Firefly...",房地产开发,http://jobs.zhaopin.com/CC184865920J40809919501.htm,1000-9999人,2025-11-26 16:41:40
视觉设计师,成都,言灵无界信息咨询(北京)有限公司,本科,3-5年,"视觉设计,UI设计,平面设计",1-1.5万,主要职责：品牌视觉体系建设：负责品牌视觉识别系统的设计与维护，包括但不限于LOGO、色彩方案、字体选择、图像风格等，确保所有设计元素符合品牌形象和传播策略；创意设计与执行：根据项目需求，创作各类设计作品，如海报、广告、宣传册、网站页面、APP界面、社交媒体内容等，确保设计既美观又具有商业效果；用户界面与体验设计（UI/UX）：参与产品界面设计，优化用户操作流程，提升用户体验，确保设计既符合美学标准...,咨询服务,http://jobs.zhaopin.com/CC481983130J40805025515.htm,100-299人,2025-10-20 17:40:18
角色设计原画师,成都,四川漫恩影业有限公司,本科,5-10年,"游戏角色设计,美工,设计师,设计总监,PS,3D MAX,AE,角色原画3D",9000-15000元,岗位职责:1.根据剧本描述，导演、总监意图，完成各级角色设计任务，使设计成品满足影片质量与风格要求；2.与上下游环节保持良好沟通，根据项目时间规划高效推进任务确保项目进度； 任职要求:1.热爱动画，希望长期从事动画相关工作；2.有扎实的美术功底、原创能力，熟练掌握设计与绘画软件，对角色形体、比例、表情等的把控能力强，可根据需求独立完成角色设计；3.熟悉三维动画制作流程，有统筹和执行判断能力，有较强...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1500948360J40896566704.htm,100-299人,2025-09-30 15:43:13
平面设计,成都,成都圣茂文化传播有限公司,学历不限,1-3年,"广告设计,标志设计,品牌设计,包装设计,海报设计,房地产平面设计,画册设计,字体设计",8000-15000元,资深平面设计师【工作内容】1、在项目整体策略及创意方向上，具有独立完成实现项目平面创意工作；2、负责完成项目主视觉创作及相关延展设计；3、深刻理解项目的需求，结合客户提供的信息，配合项目团队整合、修改、完善项目设计工作； 【岗位要求】1、大专及以上学历，美术、广告、视觉传达等相关专业；2、三年以上品牌及公关活动平面设计工作经验（有白酒品牌服务履历优先）；3、思维活跃，出众的平面设计能力和创意，具有...,广告/营销,http://jobs.zhaopin.com/CC371759716J00059081904.htm,20-99人,2025-09-25 00:04:21
ui工程师美工,成都,京北方,本科,3-5年,"界面设计,交互设计,Java,Vue,开发技能",1-1.5万,岗位职责：1.根据交互设计及产品规划充分理解产品策划思路及理念，配合产品经理和研发人员实现完成产品相关的用户界面视觉设计。2.建立和完善产品界面视觉设计规范；3.完成产品相关推广活动的专题页面、动效的设计及制作。4.与研发团队充分沟通协作，确认可控的误差范围和视觉效果的最终实现；5.根据视觉设计的发展趋势及用户研究的结果不断优化产品的图形界面（GUI）；6.参与测试环节，在产品上线前对产品进行UI...,IT服务,http://jobs.zhaopin.com/CC315847110J40775789507.htm,10000人以上,2025-07-21 17:36:52
方案设计组长（酒店方向）,成都,锐度设计集团有限公司,大专,5-10年,"PS,3D MAX,CAD,Sketchup",1.2-1.5万,职位描述1、能落地小组生产计划和流程，保证完成全年小组产值目标2、对前期整体设 计方案、效果图、施工图等工作质量的把关，对材料选用、配套方案等后续工作完善及监督，保证项目质量水平。3、制定项目时间计划表，控制各阶段时间节点，确保项目按期完成；对公司设计流程、体系的贯彻执行，提高工作的标准化、规范化；确保客户满意4、负责小组内团队的建设和培养，对部门成员进行专业的培训和指导，合理分配组内成员的工作，...,装饰装修,http://jobs.zhaopin.com/CC306449610J40741981801.htm,500-999人,2025-06-09 11:18:40
平面设计师（成都文博展馆））,成都,天图文化创意产业集团,大专,10年以上,"标识导视设计,平面设计,PS,CAD,熟悉文博展馆项目",9000-15000元,职位描述岗位职责：1. 梳理大纲、配合主设出色彩体系2.配合方案设计师完成方案效果图需要的平面内容、方案ppt模板设计等工作3.与甲方核对大纲及上展内容，并结合现场情况、项目特色等客观情况，进行版式设计，出报审图册4.根据方案及大纲内容进行版式的深化设计5. 现场核尺，出制作文件，进行校色，并指导安装6. 完成领导交待的其他工作任职要求：1、平面设计或视觉传达等相关专业，专科以上学历。2、熟练运用...,房地产开发,http://jobs.zhaopin.com/CC120113480J40686106101.htm,100-299人,2025-03-10 10:15:28
资深平面设计师,成都,成都米分网络科技有限公司,本科,3-5年,"画册设计,视觉设计,全职,不支持远程办公",9000-14000元,*优秀者可定岗设计主管/设计经理①负责全公司视觉设计支撑与升级；②负责公司品牌形象、广告宣传、网络推广、专题栏目等品宣类设计；③负责公司宣传手册、内刊读物、杂志、白皮书等印刷资料设计；④负责公司线上项目制活动的主画面、舞台背景、宣发等系列配套平面设计；⑤负责公司大型B端峰会的主K、会场布置、舞台背景、活动物料、宣发等活动全流程设计。⑥其他设计支撑工作。任职要求：①热爱设计工作，视觉设计传达等相关专...,新媒体,http://jobs.zhaopin.com/CCL1276291800J40395896603.htm,20-99人,2025-12-17 00:00:04
平面设计主管,成都,成都极客未来教育科技有限公司,本科,5-10年,"平面设计,设计主管,PS,CDR",1-1.4万,岗位职责：1、负责品牌整体视觉体系的规划、建立与迭代，制定设计规范并监督执行；2、统筹品牌全渠道视觉创意输出，包括但不限于品牌海报、品牌手册、活动视觉、延展物料、推广物料等；3、管理设计团队，合理分配任务，指导团队成员提升设计能力与项目执行力；4、主导重点设计项目从策略到落地的全过程，对接供应商并把控最终出品质量；5、协同各部门，提供专业视觉策略支持，推动设计在业务中的有效应用；6、负责设计团队知...,培训/辅导服务,http://jobs.zhaopin.com/CC538265030J40815633009.htm,1000-9999人,2025-12-02 14:43:50
U3D美术设计师,成都,四川复朴信息技术有限公司,学历不限,3-5年,"Maya,U3D,模型设计,渲染设计,场景设计",8000-14000元,岗位职责：1. 负责虚拟仿真教学软件中的模型制作和场景搭建。2. 使用Maya软件进行建模工作。3. 使用Unity进行场景地编，制作地形和场景。4. 制作简单的动画效果。5. 管理美术组，负责对接外包团队。6. 把控项目模型的质量。岗位要求：1. 熟练掌握Maya软件进行模型制作。2. 熟练掌握Unity场景地编，能独立制作地形和场景。3. 具备简单的动画制作能力。4. 有管理美术团队的经验。5...,计算机软件,http://jobs.zhaopin.com/CCL1426683600J40744881811.htm,20-99人,2025-07-23 16:13:43
综合设计主管,成都,四川卓信力加信息科技有限责任公司,本科,5-10年,"视觉设计,手绘,UI设计,VI设计,平面设计,设计主管",8000-14000元,职位描述 岗位职责： 1、根据不同的客户需求，协同团队头脑风暴输出创意方案； 2，协同团队进行摄影、设计的创作构思和执行； 3、独立完成线上线下的视觉设计展现； 4、根据项目整体美术风格，绘制并完成场景概念图、氛围图； 5、能快速搭建场景空间结构，营造环境氛围； 6、配合策划推广并参与执行。 岗位需求： 1、本科及以上学历，美术、设计、艺术、影视学等相关专业优先，7年以上相关工作经验优先2、精通平...,互联网,http://jobs.zhaopin.com/CC481858320J40713182402.htm,20-99人,2025-07-17 10:49:27
高级平面/品牌设计师,成都,四川品森品牌策划有限公司,本科,3-5年,"VI设计,广告设计,品牌视觉识别系统,CDR,PS,AI",1-1.3万,工作内容：1、负责公司及客户的品牌全案设计，包括但不限于品牌形象视觉标准设计、VIS应用系统设计、线上新媒体推广内容设计、海报设计、网站设计、小程序设计、空间物料设计和PPT/画册等设计；2、负责品牌设计项目的创意设计方案的输出和提案沟通，确保视觉创意符合客户的品牌调性；3、确保所负责的项目按时、按质、按量完成并交付。任职要求：1、美术、平面设计等相关专业，本科及以上学历，3年及以上品牌创意平面设...,广告/营销,http://jobs.zhaopin.com/CCL1501824970J40727334316.htm,20-99人,2025-12-22 09:18:15
高级平面设计,成都,智海王潮传播集团有限公司,大专,经验不限,,8000-13000元·13薪,1. 有线下活动设计经验（快闪、路演、发布会、公关活动）等；2.能独立完成活动主视觉设计；3.熟悉延展及制作规范，能结合各类运用场景进行创造性设计，协助项目进行视觉设计相关工作；4.对项目及作品负责，沟通协作能力强，能按时按质完成交付；5.熟悉各种设计软件PS/AI/C4D等；6.服务过互联网大厂最佳；1. 平面设计或者相关专业；2. 具备出色的平面视觉表现能力以及不断创新和开拓的精神，习惯快速根...,广告/营销,http://jobs.zhaopin.com/CC581660630J40846143712.htm,500-999人,2025-11-05 11:11:58
图文编辑,成都,江苏君凯教育科技有限公司四川分公司,本科,经验不限,"图书美编,网站美编,新媒体美编,PS,AI,CR",6000-12000元,岗位内容：1. 制止海报、封面、宣传手册等。2. 企业IP设计及周边产品研发。3.公众号、小红书图文排版。4. 配合团队处理其他事务。5.要求应届生任职要求：1. 具备本科及以上学历，广告、设计类专业优先。2. 有良好的视觉审美。3. 能够熟练使用不同的编辑软件和技术，会画图及排版设计。4. 良好的团队协作能力和沟通能力。,培训/辅导服务,http://jobs.zhaopin.com/CCL1456999170J40820222707.htm,300-499人,2026-01-10 01:20:33
