职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
软件开发师,深圳,外企德科数字技术有限公司,本科,经验不限,"软件开发,数据库开发,数据中台开发,Java,Python,C语言,Hadoop,Flink,Spark",1.2-2.4万·14薪,岗位职责：参与云端大数据服务与产品的质量保障体系建设，负责测试方案设计、自动化脚本开发及系统质量评估；深入理解大数据产品架构，参与测试工具与平台研发，提升测试效能与产品可靠性；基于竞品分析与用户反馈，协助优化产品体验与服务质量；支持重点项目全流程测试，参与技术难题攻关与问题定位。 职位要求： 统招本科及以上学历，计算机、软件工程等相关专业优先； 具备良好的计算机基础知识，熟悉数据结构、操作系统、网...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837063805.htm,10000人以上,2026-01-11 00:27:04
数据库安全工程师,深圳,深圳市华域数安科技有限公司,本科,3-5年,"C语言,GoLang,数据库审计,数据库防火墙,零信任",1.2-2.4万,一、岗位职责：1. 此为研发岗位，负责【数据库审计和数据库防火墙】的设计、实施与优化2. 参与数据库安全性能调优，确保数据库运行安全与效率3. 对数据库安全事件进行监控、分析、响应和恢复4. 定期对数据库进行安全评估和漏洞扫描，提出改进措施二、岗位要求：1. 本科及以上学历，计算机或相关专业2. 具备网络安全行业背景，三年以上【安全领域数据库或零信任平台】研发工作经验3. 熟悉【C语言或golan...,网络/信息安全,http://jobs.zhaopin.com/CC439316280J40893234404.htm,20-99人,2025-12-12 00:16:02
数据治理顾问-交付方向，可驻场出差,深圳,北京三维天地科技股份有限公司,本科,5-10年,"数据治理,数据建模,项目交付",1.2-2.4万,工作职责1、负责数据治理体系建设、方案设计，提供专业的方法和技术支持，开展数据调研现状分析；2、负责数据治理相关制度、管理办法、规范、流程的设计及运作推动；3、负责制定数据标准、数据质量、数据安全、数据集成、数据分发等相关标准、规范；4、设计数据治理蓝图规划方案、实施方案，负责数据治理实施路线，指导数据战略制定与落地；5、负责数据资产盘点、数据架构设计工作。6、负责指导数据标准、数据质量规则梳理与...,计算机软件,http://jobs.zhaopin.com/CC000573220J40817237413.htm,1000-9999人,2025-11-25 00:03:01
大数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Sql,Java,Python,Hadoop,Spark",1.3-2.4万,1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、Flink、hive等大数据处理框架。能够独立完成fink、spark作业的迁移/开发，能够端到端的进行调测。3、精通apache nifi开源组件，能够独立完成Nifi作业的迁移和调测4、熟练掌握 Java、SQL、Scala 或 Python 等语言。5、具备良好的SQL优化能力，熟悉关系型数据库和NoSQL数据...,互联网,http://jobs.zhaopin.com/CC000544460J40773395216.htm,10000人以上,2025-11-13 09:21:38
数据中心规划设计工程师,深圳,深圳优管信息技术有限公司,本科,3-5年,"数据库开发,数据建模",1.2-2.4万,一、岗位职责 1. 负责数据中心整体规划设计，涵盖机房布局、供电系统、制冷系统、网络架构等核心模块，输出设计方案与技术文档。2. 对接客户与施工方，明确需求并把控项目技术落地，解决设计与施工中的冲突问题，确保符合行业标准（如Uptime Tier、GB 50174）。3. 评估数据中心的能耗与PUE指标，优化设计方案以提升能效，降低运营成本。4. 跟踪数据中心相关新技术、新设备（如液冷、预制化机房...,互联网,http://jobs.zhaopin.com/CC704884520J40955497104.htm,100-299人,2025-09-26 15:09:38
半导体数据管理工程师(J10137),深圳,深圳市经纬开物仪器有限公司,硕士,经验不限,数据库开发,1.5-2.4万·15薪,岗位职责:1、负责数据资产、数据质量与数据分析的业务架构、能力架构、流程架构的梳理与设计，协调各业务部门，构建管理数据能力；2、设计半导体生产数据的存储架构，包括晶圆制造、封装测试等环境的设备数据、工艺数据、检测结果等，确保数据模型符合行业标准(如SEMI标准)；3、制定数据采集规范，确保Fab厂各类数据的实时性、准确性、完整性等；4、具备数据度量管理能力，端到端进行数据质量分析、问题根据与推动改...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1464703670J40887160415.htm,1000-9999人,2025-09-10 18:27:51
国企正编-智能体研发工程师（双休）,深圳,深圳邦芒人力资源有限公司,本科,3-5年,,1.8-2.3万·13薪,岗位职责1.参与 智能体平台、记忆中台等核心产品的研发与优化。2.推动团队开发体系的演进，参与技术架构设计、业务架构演进及核心组件沉淀。3.提升产品的高可用性、高性能与弹性伸缩能力，确保系统稳定高效运行。4.参与前沿技术探索，将 AI 与企业级应用深度融合，推动产品服务能力持续进化。任职要求1、本科及以上学历，具备5年以上相关工作经验，有AI代码生成、AI代码补全、智能体开发、RAG、意图识别、模...,专业技术服务,http://jobs.zhaopin.com/CC620799920J40910906815.htm,500-999人,2026-01-05 22:59:23
H17806岗架构师,深圳,武汉佰钧成技术有限责任公司,本科,5-10年,"Java,微服务架构",1.8-2.3万,职责：作为供应商团队的技术负责人，完成技术方案设计与评审，能够作为交付团队技术骨干，评审开发人员提交的代码，把控架构设计实现和代码的质量，识别技术风险，解决技术难题能力要求：1. 有包含领域模型设计在内的架构与技术方案设计能力，能够指导和评审其他开发人员输出的技术方案，或根据业务需求输出高质量的技术方案相关文档2. 具备项目需要的较全面的前后端技术能力，尤其是后端扎实的Java语言基础，面向对象设...,计算机软件,http://jobs.zhaopin.com/CC364485720J40816282005.htm,1000-9999人,2025-12-18 18:40:30
数据管理工程师,深圳,深圳市第二人民医院(深圳市转化医学研究院),硕士,经验不限,"数据治理,数据挖掘,Sql,Hadoop,数据中台开发",1.6-2.3万,负责医疗数据管理工作，包括数据采集、数据清洗、数仓建模、数据治理、报表开发、数据安全、数据服务等工作。任职要求：（1）研究生及以上学历，计算机及相关专业或3年以上大数据开发相关工作经验，年龄35周岁以下；（2）精通SQL数据库开发语言，熟悉MSSQL、ORACLE、MYSQL、TDQSL等大型数据库和元数据管理、数据质量标准与规范，了解iceberg、Spark、Flink、Hadoop、Hive...,医院,http://jobs.zhaopin.com/CCL1463133400J40848145113.htm,1000-9999人,2025-12-11 08:52:00
中高级大数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,大专,10年以上,"数据治理,数据架构,数据仓库,Python,Java,Flink,Hadoop,Spark,华为云,数据湖",1.7-2.3万,关键字：大数据迁移、Hadoop、Spark、Nifi、CDM、华为数据湖、数据仓库主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、负责Nifi作业的迁移和调测。5、具备良好的SQL优化能力；能够完成数据比对工作，具备数据追溯并定位出问题能力。6、参与方案调研，能够做详细的方案设计，负责分配、管...,互联网,http://jobs.zhaopin.com/CC000544460J40769354516.htm,10000人以上,2025-10-28 15:42:20
