职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营管理,深圳,中美联泰大都会人寿保险有限公司广东分公司,本科,3-5年,"销售运营,商家运营,活动运营,运营管理",2-4万·24薪,Metlife是美国最大的寿险公司，世界五百强【任职要求】1、本科以上学历，学信网可查2、熟悉公司管理制度，有团队管理经验优先3、有过销售经验或者管理过销售团队优先4、具备较强的沟通、资源协调能力，有团队协作精神5、工作细致、认真，责任心强，有坚强的逻辑分析能力，执行力强6、年纪需要26-50岁以内【福利待遇】1、高额奖金+综合补贴，年均24薪2、面试定档不同级别的人才专案，年薪从十二万到五十多万...,保险,http://jobs.zhaopin.com/CC391102020J40823062714.htm,10000人以上,2025-11-19 07:23:32
运营管理,深圳,深圳市志茂实业有限公司,本科,5-10年,运营管理,3-4万,1.负责组织实施公司制定的计划管理体系。2.协助总经理，根据公司的年度经营计划，组织制定项目年度经营计划。3.负责监督各部门制定年度、月度部门工作计划，并定期收集部门工作总结报告。4.统筹检查、监督、反馈公司年度经营计划及项目宏观计划、项目开发主项计划的执行情况，并收集计划考核数据。5.组织公司年度经营管理会议、项目协调会议，并负责会议纪要的发放、会议决议的跟踪工作。6.负责公司及项目成果的跟踪管...,咨询服务,http://jobs.zhaopin.com/CC875124650J40964712604.htm,20-99人,2025-11-14 16:40:23
跨境物流东南亚运营专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,2.5-4万,岗位职责：1、参与制定跨境物流东南亚区域正逆向解决方案，负责跨境端到端物流履约流程SOP制定和物流商管理；2、负责履约线路成本、时效及体验相关指标，搭建运营体系，跟踪日常运营数据，跟进日常运营事项，协调内外部资源确保各项运营指标平稳持续提升；3、根据业务不同阶段的履约问题，推动相关部门进行专项优化，协同各相关部门提升跨境物流履约体验；4、跨部门沟通协调，在运营过程中积极提出流程及产品相关的改善点，...,互联网,http://jobs.zhaopin.com/CC469217510J40793489701.htm,10000人以上,2025-11-12 19:30:05
独立站运营经理,深圳,深圳市彩为珍科技有限公司,本科,5-10年,"电商运营,独立站运营",2-4万,岗位职责：1.全面负责品牌独立站运营，制定并执行整体运营战略与增长计划；2.结合公司战略目标，制定定价策略、营销策略及推广方案，推动销量与利润持续增长；3.带领团队优化站点运营、用户体验与转化率，提升品牌在全球市场的影响力：4.负责跨部门协作，整合资源，推动新市场开拓（欧美、拉美、东南亚等）：5.建立并完善独立站运营体系，推动公司从“0-1”后的快速发展跨越。岗位要求：1.本科及以上学历，具有欧美...,贸易/进出口,http://jobs.zhaopin.com/CCL1495332750J40964834804.htm,100-299人,2025-11-08 10:22:26
海外高级行业产品经理(J11650)-base厦门/杭州,深圳,厦门星纵数字科技有限公司,本科,5-10年,"软件产品,AI产品,智慧服务,智能问答产品",2-4万·15薪,工作职责:1. 市场与用户洞察：深入研究企业通信领域（包括 VoIP、Voice AI 应用、Contact Center 等）的市场环境和用户需求，结合战略客户反馈，识别潜在机会；2. 行业研究与趋势判断：持续跟踪全球行业动态，分析竞争格局与市场趋势，为产品决策提供依据；3. 产品战略与规划落地：根据市场洞察明确产品发展方向，负责产品路线图制定，推动产品从规划到落地；4. 竞品与数据分析：开展竞...,通信/网络设备,http://jobs.zhaopin.com/CCL1469633870J40804292401.htm,300-499人,2025-11-06 09:57:01
结构件产品开发经理,深圳,深圳艾利佳材料科技有限公司,大专,5-10年,"硬件产品,MIM,英语无障碍交流,A客户",3-4万,【工作内容】- 负责产品全流程开发管理，确保产品符合客户需求与技术标准；- 与跨部门团队协作，推动产品开发进度；- 跟踪并分析产品工艺，结合客户需求优化产品方案；- 管理并维护与国际客户的沟通机制，提升客户满意度与合作深度。【任职要求】- 专科及以上学历；- 具备MIM（金属注射成形）产品开发经验，熟悉相关工艺流程；- 有国际化客户项目经验，有A客户背景者优先，北美及其他地区客户经验亦可；- 具备...,钢铁/有色金属冶炼及加工,http://jobs.zhaopin.com/CC524692480J40964147004.htm,1000-9999人,2025-11-05 15:28:34
互联网运营总监,深圳,派普集团,本科,3-5年,"产品运营,用户运营,toC,内容运营,社交APP",2-4万,岗位职责：1. 线上运营与用户增长- 制定并执行产品整体运营策略，负责用户增长、留存、活跃度提升（DAU/MAU），优化用户生命周期管理，优化用户转化路径，提升用户粘性 ；- 主导新媒体平台（如抖音、小红书、微博、微信等）的内容运营，提升品牌曝光与用户获取效率；- 策划并执行线上裂变活动（如邀请奖励、社交互动玩法等），提高用户自发传播及拉新转化率。2. 线下活动策划与执行- 组织策划线下单身交友、...,建筑设备安装,http://jobs.zhaopin.com/CC551973080J40768722005.htm,100-299人,2025-10-29 15:47:11
平台运营经理（租赁平台、电商）,深圳,深圳正金产业运营服务集团有限公司,本科,5-10年,,2-4万,岗位职责： 1.负责小程序平台的日常运营，包括会员注册转化、活动策划、用户体验流程优化；2.监控并分析核心数据指标（注册量、换款率、会员留存率、SKU流转率），并据此驱动运营策略迭代；3.提升会员活跃度与生命周期价值；4.与线下门店紧密协同，制定线上线下联动的会员运营策略，确保服务体验一体化；5.负责运营团队从0到1组建。任职要求： 1.本科及以上学历，5年以上互联网平台运营经验，有会员/订阅制电...,珠宝/首饰,http://jobs.zhaopin.com/CCL1500434630J40838474302.htm,500-999人,2025-10-14 16:38:43
流程规划,深圳,富联裕展科技(深圳)有限公司,本科,5-10年,"IPD,LCT,ISC",2-4万,岗位职责：1.负责运营/支持流程体系搭建，主导并推动完善流程梳理、诊断、优化实施工作；2.赋能业务部门流程执行/优化等专业方法和工具，提升Owner流程管理能力；3.定期开展流程需求调研和成熟度/满意度/流程绩效评估，依结果开展专项流程诊断；4.统筹运营/支持流程管理相关知识、方法和工具的赋能培训。工作经历及能力要求：1. 熟悉流程管理相关的规范、方法和工具，能够独立开展各级流程的优化和落地；2....,人工智能,http://jobs.zhaopin.com/CCL1393497680J40795387409.htm,10000人以上,2025-10-10 11:26:15
独立站运营经理,深圳,深圳市彩为珍科技有限公司,本科,5-10年,电商运营,2-4万,岗位职责：1. 全面负责品牌独立站运营，制定并执行整体运营战略与增长计划；2. 结合公司战略目标，制定定价策略、营销策略及推广方案，推动销量与利润持续增长；3. 带领团队优化站点运营、用户体验与转化率，提升品牌在全球市场的影响力；4. 负责跨部门协作，整合资源，推动新市场开拓（欧美、拉美、东南亚等）；5. 建立并完善独立站运营体系，推动公司从“0-1”后的快速发展跨越。岗位要求：1. 本科及以上学...,贸易/进出口,http://jobs.zhaopin.com/CCL1495332750J40956232904.htm,100-299人,2025-09-29 18:10:44
