职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
智能座舱高级测试工程师(J10077),武汉,中信科智联科技有限公司,本科,3-5年,CANoe,20000-25000,岗位职责:1、参与需求评审与设计评审，基于需求以及座舱实际使用场景（行车交互、极端环境）设计高覆盖度测试用例。覆盖功能测试（多媒体娱乐、导航定位、车机互联、车联网服务、智能辅助驾驶以及车辆控制等）、性能测试（稳定性、响应速度、功耗等）、功能安全及信息安全等维度。2、制定适配项目周期的测试策略与执行方案。3、统筹实车、台架及仿真环境（硬件在环、CANoe总线仿真）的测试执行，涵盖系统测试、集成测试、...,物联网,http://jobs.zhaopin.com/CCL1382511140J40914033015.htm,300-499人,2026-01-04 14:52:19,20000.0,25000.0,13.0
硬件主管,武汉,优途人力资源(武汉)有限公司,大专,5-10年,"嵌入式硬件开发,PCB设计,EMC设计,EMC测试,传感器,车载硬件",18000-25000,岗位职责1、负责公司硬件团队组建及日常管理；2、根据客户需求及规范，指导团队进行汽车仪表、中控等产品硬件方案设计、原理图设计、PCB设计、DFMEA分析、测试及验证；3、硬件平台化建设，技术攻关、硬件设计规范及流程制定等；4、参与软硬件系统集成PCB板级信号调试与验证，故障分析与技术整改；5、参与控制模块的性能及可靠性测试，测试问题追溯分析与整改；6、按项目进度及要求，制定并输出相关技术文件；7、...,人力资源服务,http://jobs.zhaopin.com/CCL1478638670J40834647414.htm,1000-9999人,2026-01-04 14:29:39,18000.0,25000.0,13.0
硬件开发工程师（模拟）,武汉,道一(天津)企业管理咨询有限公司,本科,5-10年,硬件测试,15000-25000,工作职责1. 负责弱信号调理类模拟电路的硬件选型、电路设计及关键技术研究；2. 参与项目研发过程中的联调工作； 3. 参与外场试验和现场调试工作； 4. 负责项目开发中相关技术文档的编制工作。任职要求1. 电子信息工程、测控仪器、通信、自动化等电子类相关专业，硕士及以上学历； 2. 良好的模电基础及电子电路分析能力，有弱信号调理相关项目研发经验或学校课题研究、电子竞赛经验； 3. 熟练使用一种常用...,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40865848412.htm,100-299人,2026-01-04 16:38:30,15000.0,25000.0,14.0
充电桩硬件工程师,武汉,安徽能通新能源科技有限公司武汉分公司,本科,3-5年,"硬件研发,直流充电桩,交流充电桩,便携充电桩",15000-25000,职责：1.规划欧标交/直流充电桩系统方案与硬件概要设计，贴合IEC 61851、IEC 62196等欧标，保障方案合规可行；2.参与欧标充电桩核心硬件详设，含主电路拓扑、功率器件选型、数模电路、磁性元件设计及PCB Layout，确保满足欧标性能、安规与EMC要求；3.负责欧标充电桩硬件调试，含功率/控制电路验证、EN 55470/EN 55035 等标准下的EMC整改、安规测试配合，解决自测技术...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1482253250J40851509613.htm,20-99人,2025-12-31 01:37:50,15000.0,25000.0,13.0
嵌入式硬件工程师,武汉,松冷科技,本科,3-5年,"单片机,ARM处理器,C语言,FreeRTOS,嵌入式硬件开发",13000-25000,岗位要求：1、电子/通信/计算机/自动化等相关专业，本科毕业5年以上，研究生毕业3年以上；2，精通数字/模拟电路设计，能够独立设计应用电路，精通Cadence/PADS等基础设计工具，有独立承担0到1项目设计经验的优先；3，精通 DC-DC、可调电源、数字电源等各类电源的应用设计，对于电路的幅频响应有足够的理解，精通spice、tina等常用仿真软件，进行电路噪声、环路等功能仿真；4，熟悉常见的通...,客运服务,http://jobs.zhaopin.com/CC213717280J40809997305.htm,100-299人,2025-12-29 16:31:51,13000.0,25000.0,12.0
控制器硬件EMC设计-东风商用车技术中心,武汉,东风汽车,本科,10年以上,硬件EMC开发,15000-25000,岗位职责:*此岗位招聘单位为东风商用车有限公司东风商用车技术中心1、负责商用车控制器硬件EMC总体设计，对硬件和结构详细设计提供EMC设计支持和解决方案；2、参与产品研发各阶段的评审，依照EMC的设计需求，对硬件电路原理图、PCB layout及结构设计等进行EMC审核，并提出评审意见；3、负责产品的EMC测试、问题定位、对策分析，以及整改和验证，组织EMC改进方案评审；4、接受和完成科室和项目交...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40756115005.htm,10000人以上,2025-12-22 08:52:20,15000.0,25000.0,12.0
大功率电源硬件工程师,武汉,安徽能通新能源科技有限公司武汉分公司,本科,3-5年,"设计,方案设计",14000-25000,"岗位职责：1.配合项目负责人进行系统总体方案、硬件概要设计；2.配合项目负责人进行电路设计、元器件选型、PCB设计等电路详细设计工作；3.配合项目负责人进行硬件功率电路、控制电路、EMC调试、自测及测试问题解决；4.配合生产进行转产问题解决,批量后的工程问题处理5.产品开发过程中技术平台积累,包括技术规范、通用技术模块、经验案例、科技论文的撰写、专利分析与申请.岗位要求：1.电气、自动化、电力电子...",电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1482253250J40678712313.htm,20-99人,2025-12-23 09:51:06,14000.0,25000.0,13.0
硬件工作师（光电方向）,武汉,武汉联一合立技术有限公司,硕士,3-5年,,15000-25000,1.负责光电产品项目评估、系统方案论证，包括平台选型、接口设计、关键技术研究等。2.负责硬件模块的设计及验证，包括原理图设计、PCB Layout设计、硬件功能调试。3.承担产品硬件及电气方案撰写，竞标技术方案编写，参与支持产品电气装调，参与系统联调。职位要求：1.硕士及以上学历，电子、通信、计算机、自动化等相关专业，3年及以上工作经验，有丰富经验者可放宽学历。2.熟练掌握数字及模拟电路基础知识，...,人工智能,http://jobs.zhaopin.com/CC716545380J40576629301.htm,100-299人,2025-12-21 00:00:00,15000.0,25000.0,12.0
无人机硬件嵌入式工程师（武汉）,武汉,北京浩埔智能科技有限公司,本科,3-5年,,20000-25000,任职资格要求（一）基础条件1. 学历背景：本科及以上学历，计算机科学与技术、电子信息工程、自动化、通信工程、电子工程、导航工程等相关专业；硕士学历优先。2. 工作经验： 3-5 年以上嵌入式开发经验，具备完整的无人机相关产品（飞控、图传、云台等）量产落地案例；基本素养： 具备扎实的工程思维，良好的问题排查能力、沟通协作能力及抗压能力；严谨的工作态度，注重技术细节与产品质量；热爱无人机行业，愿意持续...,科学技术推广,http://jobs.zhaopin.com/CCL1501183750J40910567615.htm,20-99人,2025-12-18 09:37:17,20000.0,25000.0,12.0
硬件工程师,武汉,湖北三环汽车电器有限公司,本科,3-5年,,15000-25000,1、本科及以上学历（统招），电子电气、计算机、电子信息等专业；2、有3年及以上汽车电子相关产品硬件开发经验；熟练掌握PCB绘图软件，能独立进行原理图设计，PCBlayout设计；3、熟练掌握了解电路分析基础、模拟电路、数字电路相关专业知识；4、熟练掌握信号完整性分析及EMC设计相关专业知识；5、熟练掌握CAN、LIN等相关总线协议；6、有NXP、Microchip、Renesas等相关芯片开发经验...,汽车研发/制造,http://jobs.zhaopin.com/CC441512110J40560547808.htm,1000-9999人,2025-12-16 18:58:58,15000.0,25000.0,12.0
