职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
用户数据分析工程师-奕派科技,武汉,东风汽车,本科,1-3年,,15000-25000,岗位职责:1. 用户数据分析需求定义 负责各车型用户数据分析需求定义，明确数据分析目标和方法 制定数据分析计划，确保数据分析工作有序进行 管理数据分析需求，确保需求的可追溯性和可实现性2. USP 用户数据支撑分析 负责各车型 USP 用户数据支撑分析，为产品卖点提供数据支持 分析用户使用行为，挖掘用户需求和痛点 基于数据分析结果，提出产品优化建议3. 数据埋点需求定义 负责各车型数...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40834797705.htm,10000人以上,2025-12-24 09:30:00,15000.0,25000.0,12.0
精益改善岗（数据分析改善方向）,武汉,京东集团,本科,3-5年,"Sql,Python,BI工具",12000-23000,岗位职责：1、分析改善：负部门内部各项核心指标达成监控，通过客户声音输出典型案例，同结合数据表现，多维度定位问题；同步搭建线上化数据工具：支持运营和成本监控预警，促进客户体验及效率提升；2、绩效管理：通过拆解组织目标指定各层级绩效目标，S岗绩效数据的核算，并通过监控分析绩效体现的问题，不断优化。3、流程改善：负责中心业务流程的梳理和优化选代，业务现场流程校准，知识沉淀工具建设，流程落地的宣导、落地...,互联网,http://jobs.zhaopin.com/CC192921310J40819494209.htm,10000人以上,2026-01-11 01:23:17,12000.0,23000.0,16.0
大数据开发工程师（短期，海外出差）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"数据治理,数据中台开发,数据架构,Java,Python,Scala,Hadoop,Flink,Spark,华为云大数据,华为云",11000-22000,主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、Flink、hive等大数据处理框架。能够独立完成f...,互联网,http://jobs.zhaopin.com/CC000544460J40780399616.htm,10000人以上,2025-12-25 01:47:38,11000.0,22000.0,12.0
数据开发-奕派科技,武汉,东风汽车,本科,3-5年,"数据架构,数据库开发,汽车研发制造",12000-22000,工作职责：1. 数据仓库与数据湖建设：负责迭代优化公司级数据仓库/数据湖架构的设计与实施。2. 数据处理 pipeline 开发： - 使用 Spark、Flink 等框架开发高效、稳定的批处理和实时数据处理管道。 - 精通 FlinkSQL，并利用其进行实时数据流的处理和聚合，深刻理解其状态管理、时间语义、Exactly-Once等核心技术细节。3. 数据治理与质量保障： - 建立并执行数据质量...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40837741205.htm,10000人以上,2026-01-09 10:48:54,12000.0,22000.0,13.0
软件开发岗（数据开发方向）,武汉,九江银行,本科,3-5年,数据开发,10000-20000,岗位职责:1.与业务部门保持沟通，了解项目整体需求，负责数据平台的需求分析工作；2.负责数据平台相关系统架构、方案设计、开发实施等工作；3.负责大数据平台数据仓库相关数据类需求的开发与数据支撑服务工作；4.完成上级领导交办的其他工作事项。 任职要求:1.初始学历为本科及以上，计算机等相关专业优先；2.年龄35周岁及以下(1991年1月1日后出生)；3.具有3年及以上数据仓库、大数据平台、湖仓一体等...,银行,http://jobs.zhaopin.com/CC450650120J40782588310.htm,1000-9999人,2026-01-11 01:24:42,10000.0,20000.0,12.0
大数据开发工程师（Flink调优/Nifi/迁移/熟悉华为云平台）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"华为云,Java,Python,Hadoop,Flink,Spark,NiFi,迁移",13000-22000,主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、Flink、hive等大数据处理框架。能够独立完成f...,互联网,http://jobs.zhaopin.com/CC000544460J40778008216.htm,10000人以上,2025-12-02 16:43:17,13000.0,22000.0,12.0
架构师（偏数据方向）,武汉,招商证券股份有限公司,本科,5-10年,,10000-20000,工作部门：招证国际—信息技术部工作岗位：架构师（偏数据方向）工作地点：武汉岗位职责：1.负责核心系统的数据建设，能根据需求描述和业务特征分析完成数据建模（逻辑、物理模型）、数据映射详细设计、数据作业开发、数据质量校验开发；确保数据模型的规范性、数据时效性、数据质量； 2.参与核心系统技术架构设计与开发，解决系统存在的问题以及技术难点，设计、指导关键技术模块的开发，并对系统安全性、稳定性负责，确保产...,证券/期货,http://jobs.zhaopin.com/CC138931020J40789997403.htm,1000-9999人,2026-01-10 01:05:35,10000.0,20000.0,12.0
数据架构师,武汉,正信期货有限公司,本科,1-3年,"数据治理,数据建模,数据库开发",10000-20000,岗位职责：1、制定公司数据治理框架，包括数据标准、元数据管理、数据质量管理、数据安全及生命周期管理策略，并推动制度落地。2、主导数据资产盘点与分类分级，建立企业级数据资产地图，明确关键数据所有权。3、设计（完善）数据中台（融合传统数仓与大数据平台），主导数据模型设计（维度建模、数据湖分层），优化数据采集、存储、计算流程，确保低延迟与高并发处理能力。4、建立数据质量监控体系，定义关键指标，推动数据质...,证券/期货,http://jobs.zhaopin.com/CC121116400J40811959912.htm,300-499人,2026-01-09 01:32:00,10000.0,20000.0,12.0
大数据开发工程师,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Java,Python,Shell,Hadoop,Flink,Spark,大数据迁移,NiFi,华为数据湖",16000-22000,短期项目，需要出差主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、负责Nifi作业的迁移和调测。5、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、...,互联网,http://jobs.zhaopin.com/CC000544460J40771496116.htm,10000人以上,2025-12-02 16:38:01,16000.0,22000.0,12.0
子公司航天云际 大数据分析与数据开发岗,武汉,中国四维测绘技术有限公司,本科,3-5年,数据分析与开发,15000-20000,岗位职责:1、负责各类项目中相关数据的业务梳理和需求分析，完成数据分析方案与汇聚入库技术方案的制定，设计数据管理和操作流程；2、负责各类项目中数据清洗、融合、转换、分析及建模工作；3、负责收集项目中数据分析处理需求，提炼数据分析及处理的通用工具集；4、负责项目中的数据实施交付相关文档的编写工作；岗位要求:1、计算机、地理信息、数学、统计学等相关专业，统招本科以上学历，至少3年以上数据分析与开发岗位...,IT服务,http://jobs.zhaopin.com/CC348688410J40786354416.htm,500-999人,2026-01-08 17:29:59,15000.0,20000.0,12.0
