职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
"支付宝碰一碰CKA,五险一金，周末双休",重庆,广州欢创信息咨询有限公司,高中,1-3年,"商家BD,商家日常服务,商家销售支持,连锁餐饮,食品/饮料/烟酒,商家拓展,ka",10000-18000,岗位职责：1、负责城市本地零售、餐饮等服务业商家资源TOP100连锁品牌的市场开拓，推动产品落地，并根据公司方向，定制品牌专属合作方案，快速有效地完成支付宝碰一下项目的商家覆盖任务，并运维好商家，联动商家共拓市场；2、负责碰一下商家门店的巡检和运维，进行商家回访、辅助设备维保、平台公告传达等工作，帮助商家更好地使用碰一下收银设备；3、针对商家群体特征，结合市场及支付宝碰一下产品，联动商家共同营销，...,人力资源服务,http://jobs.zhaopin.com/CC531289680J40806911709.htm,1000-9999人,2025-11-29 01:26:35,10000.0,18000.0,12.0
运营经理（周末双休）,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,大专,经验不限,"销售运营,产品运营,用户运营,全职,客户运营",10000-16000,岗位内容：1. 管理公司的日常业务运营，包括客户服务和销售等方面。统筹运营员工的招聘 培训、绩效考核与晋升管理，打造标准化人才培养体系，提升团队专业能力;2. 制定和实施流程和政策以提高效率。3. 监督公司的各个销售指标及客户并提供分析，优化业务流程。制定客户服务标准，监督服务质量，处理重大客诉及突发事件，提升客户满意度和复购率;推动老客户体系运营，分析客户消费数据，优化营销策略;4. 参与跨部门...,互联网金融/小额贷款,http://jobs.zhaopin.com/CC846946760J40848935802.htm,10000人以上,2026-01-09 11:12:40,10000.0,16000.0,13.0
电商渠道销售经理（美团、抖音、京东、天猫）,重庆,益海嘉里金龙鱼食品集团股份有限公司,本科,1-3年,"淘宝/天猫,京东,抖音小店",10000-16000,主要职责：1. 销售管理：分解销售指标，协同经销商一起达成整体销售任务；制定符合该电商平台的产品规划；协同经销商制定电商客户的促销活动。2. 电商运营：负责公司在主要电商平台的店铺运营，包括但不限于产品上架、页面优化、促销活动策划与执行、用户体验提升等。分析平台流量数据、用户行为数据及销售数据，制定并优化运营策略，提升店铺的销售额、转化率和复购率等关键指标。对接平台，争取站内外资源，获取更多的流量...,快速消费品,http://jobs.zhaopin.com/CC147037650J40852889213.htm,10000人以上,2025-12-31 11:35:26,10000.0,16000.0,12.0
电商运营经理,重庆,四川故里供应链管理有限公司,本科,3-5年,"淘宝/天猫,京东,1688",,岗位职责运营管理： 独立负责公司的天猫、抖音、京东其中至少一个平台的店铺整体运营工作，包括但不限于商品上架、页面优化、活动策划、店铺/商品站内推广等。数据分析：监控店铺核心数据，定期进行数据分析与复盘，能够发现问题并提出优化策略，驱动业务增长。活动策划： 策划并执行过平台大促活动（如618、双11、年货节等）、品牌上新活动等，对活动从策划到执行到复盘有清晰的路径认知。结果导向： 直接对店铺的GMV...,快速消费品,http://jobs.zhaopin.com/CCL1429958990J40744256606.htm,20-99人,2025-12-29 11:47:31,,,
运营经理（周末双休）,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,大专,经验不限,全职,10000-16000,岗位内容：1. 管理公司的日常业务运营，包括客户服务和销售等方面。2. 制定和实施流程和政策以提高效率。3. 监督公司的各个销售指标及客户并提供分析，优化业务流程。4. 参与跨部门协作以推动公司目标的实现。5. 改进公司工作流程和业务流程，提高客户满意度和业务利润。任职要求：1. 具有优秀的领导力和团队管理能力，能够激励和引导下属开展工作；2. 熟练掌握公司运营所需的各种工具和软件，如Excel、...,互联网金融/小额贷款,http://jobs.zhaopin.com/CC449260480J40837811612.htm,100-299人,2025-12-10 10:20:58,10000.0,16000.0,13.0
国内电商运营主管/经理,重庆,海南乐孕生物科技有限公司,大专,5-10年,"电商运营,淘宝,拼多多,京东,运营主管,医药,保健品",13000-16000,双休，入职购买五险一金岗位职责：1.制定电商平台（天猫 / 京东 / 拼多多 / 抖音等）运营策略，统筹销售目标达成与推广活动落地；2.管理运营 + 前端客服团队，搭建运营与客服工作标准、考核体系3.负责全渠道价格管控，管理低价乱价、侵权问题，维护品牌价格秩序4.监控店铺日常运营（产品优化、库存、订单）与核心数据，通过数据分析优化运营方案；5.主导大促活动策划执行，协同品牌部门保障业务顺畅任职资格...,生物工程,http://jobs.zhaopin.com/CCL1350565310J40830564705.htm,20-99人,2025-12-03 17:17:49,13000.0,16000.0,12.0
跨境电商运营主管,重庆,重庆度牛电子商务有限公司,本科,3-5年,"亚马逊,eBay,TikTok",,岗位内容：1. 制定并执行跨境电商运营策略，负责账号运营、推广和维护，提升品牌知名度和销售额；2. 负责海外市场调研，了解当地文化、消费习惯和法规政策，确保公司业务合规化；3. 管理跨境电商渠道，与平台合作伙伴沟通协商，监控数据分析，为业务拓展提供支持。任职要求：1. 本科及以上学历，跨境电商相关专业优先；2. 三年以上跨境电商运营经验，熟悉跨境电商平台、流程和政策法规；3. 具备出色的沟通能力、...,互联网,http://jobs.zhaopin.com/CC586394620J40821357710.htm,20-99人,2025-11-17 13:48:58,,,
运营经理,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,大专,经验不限,"销售运营,产品运营,用户运营,全职",10000-16000,岗位内容：1. 管理公司的日常业务运营，包括客户服务和销售等方面。2. 制定和实施流程和政策以提高效率。3. 监督公司的各个销售指标及客户并提供分析，优化业务流程。4. 参与跨部门协作以推动公司目标的实现。5. 改进公司工作流程和业务流程，提高客户满意度和业务利润。任职要求：1. 具有优秀的领导力和团队管理能力，能够激励和引导下属开展工作；2. 熟练掌握公司运营所需的各种工具和软件，如Excel、...,互联网金融/小额贷款,http://jobs.zhaopin.com/CC449260480J40835611712.htm,100-299人,2025-12-09 14:01:43,10000.0,16000.0,13.0
电商运营经理,重庆,健效达生命科学(上海)有限公司,学历不限,3-5年,电商全平台,,我们需要的你：你不是一个只会指手画脚的“大咖”，而是一个能上阵杀敌的“将军”。我们需要你既懂策略，又能动手，对电商运营的各个环节（流量、转化、用户）都有实操经验，能够带领小团队在激烈的市场中杀出一条路。 核心职责： 1. 统筹全局： 负责公司线上店铺（如天猫、京东、抖音、视频号等）的整体运营，制定并执行月度、季度运营计划与销售目标。2. 亲力亲为： 不仅能制定推广方案（搜索优化、直通车、信息流广告...,医药批发/零售,http://jobs.zhaopin.com/CCL1476043450J40793261511.htm,500-999人,2025-11-02 14:49:23,,,
医养运营经理（健康生活服务部）,重庆,重庆泰文康迅健康科技有限公司,本科,5-10年,"社群运营,医养园区运营",,岗位职责： 1、配合“培训管理部”进行服务体系文件编写，并按照培训要求进行团队培训及考核； 2、支撑体验中心及体验小站的体验流程的制定及实施； 3、高效管理团队运作及团队间配合； 4、保障园区服务品质，并合理控制部门预算及促进商业运营收益。 任职要求： 1、学历：本科及以上（护理专业、酒店管理、心理学相关专业优先），年龄：45 岁以下，性别：不限； 2、工作经验同岗位或行业工作经验 8 年以上，三...,居民服务,http://jobs.zhaopin.com/CCL1501239070J40802109707.htm,20-99人,2025-10-31 09:42:56,,,
