职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
功能测试（开发也有岗位,重庆,重庆扬纪宏科技有限公司,中专/中技,经验不限,"Python,性能测试,通信测试",11000-12000,岗位内容：1. 进行测试计划制定、用例编写、测试执行和缺陷管理；2. 在现有自动化测试框架下，编写和维护自动化测试脚本；3. 持续跟进项目进展，及时进行需求变更的影响分析和测试计划调整。任职要求：1. 本科及以上学历，计算机相关专业优先；2. 熟悉测试理论和流程，并具有扎实的测试方法论基础；3. 熟悉至少一种自动化测试框架，如Selenium、Appium等；4. 具有良好的沟通与协调能力，具备较...,人工智能,http://jobs.zhaopin.com/CCL1503875640J40856543803.htm,20人以下,2026-01-11 01:06:08,11000.0,12000.0,12.0
智驾测试安全员,重庆,重庆望江裕顺汽车科技有限公司,大专,3-5年,"路试测试,驾驶性测试,乘用车,新能源车,智能汽车测试,车载车机系统测试",,岗位职责 1、智能驾驶车辆日常测试实施及车辆管理、设备安装与调试、故障排查、场景与问题记录、统计处理、场景事件打点、数据标注、软件更新支持和数据拷贝等； 2、智能驾驶道路测试、场地测试等相关工作； 3、按照操作规定对目标车辆实施软件刷写以及整理报告； 4、负责对软件刷写中遇到的问题进行记录、上报和跟踪管理； 5、开展试验及关联工作，并对工作交付结果的准确性、真实性负责； 任职要求： 1、学历要求：...,新能源汽车,http://jobs.zhaopin.com/CCL1487968420J40623644016.htm,300-499人,2026-01-10 01:46:58,,,
质量管理/测试工程师,重庆,重庆戈桦械科技有限公司,大专,1-3年,"QC,QA",,工作职责：1.制定质量保证计划，收集产品质量数据；2.制定产品测试标准及计划，确认产品性能，制做产品测试报告；3.根据产品测试性能的缺陷及优势，对产品工艺改善给出指导性意见；4.能及时发现产品中存在的问题及风险；5.对实验室进行全面管理，负责产品常规测试、性能测试及可靠性测试；6.负责公司计量仪器管理及校验；7.负责新材料的测试认证工作；配合部门工作计划，完成其他的工作安排。 任职资格： 1.特别...,电气机械/电力设备,http://jobs.zhaopin.com/CCL1503303800J40821870507.htm,100-299人,2026-01-09 16:51:08,,,
无人机装配工程师,重庆,辽宁航辰建设工程有限公司,本科,1-3年,"硬件测试,软件测试,飞控测试,性能测试,兼容性测试,稳定性测试",,岗位内容：1. 完成无人机组装、调试和测试；2. 负责部门内产品质量检测和问题解决；3. 跟进客户需求，改进产品设计和性能优化；4. 维护公司无人机库存台账和记录数据。任职要求：1. 具备本科以上学历，或者相关专业背景；2. 至少3年无人机相关工作经验，熟练掌握无人机的常规组装和测试流程；3. 具备较强的项目管理和团队协作能力；4. 熟练使用办公软件和数据处理工具；5. 英语CET-4及以上。,工程施工,http://jobs.zhaopin.com/CCL1514408870J40903089108.htm,20-99人,2026-01-09 01:21:18,,,
客户质量工程师,重庆,中材锂膜(宁乡)有限公司,本科,1-3年,汽车行业质量管理体系,,岗位职责：1、监督客户现场的产品，确保符合公司标准和客户要求2、每日通报及反馈客户在使用公司产品时出现的异常问题，并跟进处理解决3、对客户的突发问题快速响应，提供解决方案4、协助客户处理不合格品，进行返工、返修或报废5、完成公司或客户交办的其他任务任职要求：1、本科以上学历，1年以上质量工作经验；2、熟悉了解ATF16949体系、IATF16949五大质量工具，QC七大手法，熟练运用8D报告，语言...,新能源,http://jobs.zhaopin.com/CC577783330J40821667407.htm,500-999人,2026-01-09 00:00:01,,,
客服质量工程师,重庆,重庆三友机器制造有限责任公司,本科,1-3年,"QC,QA,QE,汽车行业质量管理体系",,岗位职责：1、客诉问题厂内快速反馈与跟踪，调查问题原因，完成8D报告；2、与客户保持沟通，支持客户进行问题调查；3、收集与整理客诉问题，锁定影响范围，制定方案；4、统计内部数据给客户，质量改进跟踪；5、三包售后问题分析跟踪处理。任职资格：1、统招本科及以上学历；2、熟悉质量体系，熟练使用质量工具（五大工具，七大手法）等,专用设备制造,http://jobs.zhaopin.com/CC286709480J40837334605.htm,1000-9999人,2026-01-07 15:50:08,,,
品质主管,重庆,重庆景裕电子科技有限公司,高中,5-10年,"质量管理,QC七大手法",,岗位职责: 1.品保部门管理； 2.检具、菲林，量具的设计与制作，使用方法的培训 3.客诉处理，主导厂内分析与改善 任职资格: 1、熟练掌握各种品质检验工具，会使用游标卡尺、高度规、二次元、2.5次元、投影机、等工具之正确使用方法与操作保养要领2、具较强的识图能力，能使用相关办公软件。 3、熟悉品质管理七大手法、8D分析报告等相关知识。 4、5年以上品质工作经验，3年以上主管工作经验。 5、熟悉品...,金属制品业,http://jobs.zhaopin.com/CC519655130J00532716102.htm,1000-9999人,2026-01-07 10:23:41,,,
测试开发工程师（富民银行）,重庆,常州科睿达信息科技有限公司,大专,3-5年,"Java,自动化测试,银行测试,金融测试,Oracle,MySQL,Linux,SQL",,岗位职责 1、参与项目的需求分析，测试用例设计和方案制定，并能预先评估项目风险;2、负责项目的测试工作，包括产品功能测试、接口测试、以及稳定性测试等等;3、负责测试过程产生的缺陷进行分析和跟踪处理;4、参与自动化测试脚本编写和执行、环境构建、集成测试、回归测试等等;岗位要求 1、具备基本的需求分析、业务测试能力，以及集成测试、接口自动化相关专项的测试能力;2、对java语言比较熟悉，具备一定的测试...,IT服务,http://jobs.zhaopin.com/CC449181380J40419339713.htm,100-299人,2026-01-06 15:37:31,,,
EPS性能评价及调教工程师,重庆,重庆龙润汽车转向器有限公司,本科,1-3年,,,岗位职责：1、对EPS转向系统性能进行评价；2、匹配EPS系统参数，满足客户要求；岗位要求：1、电子信息、计算机、电气自动化、机电一体化本科毕业；2、熟悉的驾驶技能，取得C照1年以上--必备；3、良好的表达能力，沟通能力，协调能力，较强的抗压能力；4、能适应长期出差；,汽车研发/制造,http://jobs.zhaopin.com/CC392860310J40777042412.htm,1000-9999人,2026-01-06 01:31:44,,,
测试工程师,重庆,重庆诚智鹏科技有限责任公司,本科,1-3年,"软件测试,C++",,一、主要工作职责：1. 承担公司软件产品的测试相关工作；2. 理解并分析软件需求，制定测试计划、测试用例、总结测试报告和报告BUG，并协助开发人员定位问题与解决问题；3. 有效并且高效执行测试用例，跟踪软件缺陷；4. 帮助团队完善需求与开发设计实现，辅助产品提出合理的改进产品建议；5. 软件产品的出入库管理及版本控制。6. 完成领导交代的其他事宜。二、任职资格：1、机械相关专业，统招本科及以上；（...,计算机软件,http://jobs.zhaopin.com/CC275845880J40758087305.htm,500-999人,2026-01-05 18:16:25,,,
