职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
生态治理策略运营经理-Lemon8,北京,字节跳动,本科,3-5年,,4-8万,岗位职责：1、负责Lemon8内容生态治理策略体系建设，协同相关团队落地问题发现、定义、识别、处置、沟通的治理流程机制，如：营销号等风险问题；2、负责内容治理相关的处置策略、沟通方案的设计，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；3、负责维持内容健康，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；4、规划业务方向和目标，产出具有长期价值的优化思路，...,互联网,http://jobs.zhaopin.com/CC469217510J40815984101.htm,10000人以上,2025-12-22 14:58:50
总经理助理,北京,北京特倍福电子技术有限公司,本科,5-10年,"生产管理,供应链管理,外资企业,国营企业,上市公司,英语",4-8万·14薪,"职责描述：1.岗位职责2.协助总经理制定战略计划、年度经营计划及各阶段工作目标分解；定期做企业经营分析。3.在总经理领导下负责企业具体管理工作的布置、实施、检查、督促、落实执行情况；4.负责召集业务沟通会议或工作会议；跟踪公司经营目标达成情况,提供分析意见及改进意见和建议；在公司经营计划、人才规划、资本运作、销售策略等方面向总经理提供相关解决方案；5.协助总经理做好团队建设、人才培养和组织能力提升...",仪器仪表制造,http://jobs.zhaopin.com/CC644918730J40289325206.htm,100-299人,2025-12-12 00:04:21
产品营销负责人,北京,思安新能源股份有限公司,硕士,5-10年,"产品营销,工业场景",4-8万,岗位职责：1.战略与营销规划：洞察工业能源（综合能源 / 能源数字化）行业痛点、政策，结合公司战略，制定产品线中长期营销战略、年度目标与落地路径，明确场景化产品定位。联动战略部门，反向推动公司战略在产品端的适配优化。2. 产品部门管理：统筹产品团队（策划 / 运营），制定工作标准与流程，主导工业能源场景需求挖掘、产品规划及迭代优化，保障全流程效率。3. 营销全链路操盘制定品牌 / 推广方案，统筹资...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC251846930J40741060506.htm,300-499人,2025-12-12 17:25:32
产品开发部模型算法岗（定制方向）,北京,朴道征信有限公司,本科,5-10年,"深度学习,机器学习,大模型算法",6-8万·15薪,岗位职责根据客户定制产品需求，在客户现场作为项目负责人统筹调度算法团队开展工作，完成产品的开发及交付，具体工作内容如下：1.负责风控模型的开发、训练与优化工作，提升模型性能，基于内外部数据，深入挖掘数据价值，提炼有效特征，为模型构建提供可靠支持；2.对风控模型进行日常监控与评估，及时发现潜在问题并提出优化建议，保障模型稳定运行；3.撰写风控模型相关报告，清晰呈现模型结果与分析结论，为业务决策提供数...,云计算/大数据,http://jobs.zhaopin.com/CCL1308502310J40694082206.htm,100-299人,2025-11-18 17:19:37
董事长融资助理,北京,多弗国际控股集团有限公司,本科,10年以上,"投融资管理,银行融资,债券融资,上市公司,多元化集团,市值管理,董事长助理,融资,副总裁,融资总经理,融资总裁,上市公司总裁,主流城市有资源",6-8万,岗位职责：1、根据集团总体战略规划，协助制定投资业务策略和实施计划，协助董事长完成年度目标；2、参与集团和下属板块重大投融资、投资、资产经营项目的全流程工作；3、根据集团发展需要，寻找融资资本，规划投融资项目；4、从财务/法务的专业角度预测并评估投融资可能存在的风险，监督投融资项目的执行情况，提出建议和咨询意见；5、协调跟银行谈融资以及债权债务的谈判，谈判能力强，擅长市值管理、资本运作、政府关系，...,投资/融资,http://jobs.zhaopin.com/CC497171630J40815345403.htm,10000人以上,2025-11-02 17:02:55
数据运营Leader（代码方向）-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据构建、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注大模型行业前沿，包括但不限于ChatGPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列数据生产交付的重要环节负责，包括但不限于需求分析、...,互联网,http://jobs.zhaopin.com/CC469217510J40786082801.htm,10000人以上,2025-10-28 14:03:57
银行正编管理类岗位-北京全区域招聘-企金科室经理/副行长、私行中心团队长、支行行长/行长助理、支行财富主管,北京,银雁科技服务集团,本科,1-3年,"银行管理,股份制商业银行,国有商业银行,城市商业银行,农村商业银行",4-8万,企金科室经理工作职责1.开发对公客户资源，管理与维护客户关系，深度拓展潜在营销机会；收集市 场信息，进行客户分层管理，维护提升 存量客户贡献度；定期对授信客户进行贷后检查，确保信贷资产质量优良；2.制定营销方案，提供符合客户需求的 产品及服务方案；完成各项业务或产品 销售任务，及时反馈市场销售信息；3.负责管理本团队客户经理，落实经营 计划与目标任务，组织开展营销活动；4.落实总分行、区域中心支行...,计算机软件,http://jobs.zhaopin.com/CC853113380J40777787409.htm,10000人以上,2025-09-02 14:24:23
产品开发中心副总,北京,和谐健康保险股份有限公司,本科,10年以上,"重疾险,寿险,养老险,健康保险,中国精算师,北美精算师",5-8万·14薪,岗位职责1、协助总精算师，审核产品开发策略与计划。2、负责部署、指导与监督产品开发与报备等各项工作。3、跟踪所有渠道产品的设计、定价、条款拟定、新产品利润指标计算、灵敏度分析等工作，及时发现问题，组织攻关，指导解决技术难题4、负责部署、指导与监督产品回溯与管理、产品培训等各项工作。5、全面指导监督再保险工作，指导制定并审核确定再保险计划和方案，追踪监督再保险合同的评估和签订。6、审核各类产品报告。...,保险,http://jobs.zhaopin.com/CC332371210J40605052903.htm,1000-9999人,2025-08-18 14:46:38
AI专项模型运营Leader-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据样本集标注、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注AI行业，包括但不限于Chat-GPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列交付中的重要环节负责，包括但不限于需求分析、承接...,互联网,http://jobs.zhaopin.com/CC469217510J40724987601.htm,10000人以上,2025-10-28 13:46:17
银行正编管理类岗位-北京全区域招聘-企金科室经理/副行长、私行中心团队长、支行行长/行长助理、支行财富主管,北京,银雁科技服务集团,本科,1-3年,"银行管理,股份制商业银行,国有商业银行,城市商业银行,农村商业银行",4-8万,企金科室经理工作职责1.开发对公客户资源，管理与维护客户关系，深度拓展潜在营销机会；收集市 场信息，进行客户分层管理，维护提升 存量客户贡献度；定期对授信客户进行贷后检查，确保信贷资产质量优良；2.制定营销方案，提供符合客户需求的 产品及服务方案；完成各项业务或产品 销售任务，及时反馈市场销售信息；3.负责管理本团队客户经理，落实经营 计划与目标任务，组织开展营销活动；4.落实总分行、区域中心支行...,计算机软件,http://jobs.zhaopin.com/CC853113380J40777787309.htm,10000人以上,2025-09-02 14:24:22
数据产品总监,北京,北京爱迪神州科技有限公司,本科,10年以上,"数据产品,商业化产品",7-8万,"数据产品总监 岗位职责：1. 根据行业最佳实践，结合业务需求、规划设计公司的产品策略。2. 洞察行业,细分客群需求,提炼客户痛点,评估市场空间,孵化应用场景产品(解决方案产品化、3. 主导孵化行业应用，开发数据分析产品并商业化4. .深入理解业务需求，挖掘数据价值，设计可复用的数据产品解决方案；协调数据开发、算法、运营和业务团队，推动数据产品的研发、迭代、效果验证与推广策略；5. 行业研究，并输出...",仪器仪表制造,http://jobs.zhaopin.com/CC366209210J40765365101.htm,20-99人,2025-08-11 16:07:18
临床助理项目总监-北京(A147375),北京,百利药业,本科,5-10年,临床试验,5-8万,职位描述：1、监督和全面管理所有临床研究项目，以确保：临床试验进程符合既定要求、成本控制在预'算内并保证临 床试验的操作符合国家相关法规及公司 SOP 要求；2、熟悉管辖范围内各 PM 负责的临床试验项目为各项目提供支持和指导，保证临床试验按照方案、GCP、公司 SOP 以及相关法律法规的要求顺利完成；3、制定项目总进度计划表，指导各项目经理执行试验项目的全面启动、执行与结束工作，有效协调与沟通医...,零售/批发,http://jobs.zhaopin.com/CC120900620J40910932704.htm,1000-9999人,2025-05-12 15:36:41
搜索安全策略产品经理（AI方向）-TikTok,北京,字节跳动,本科,3-5年,,4-7.9万,岗位职责：1、利用大模型能力进行内容理解与风险评估，提升系统对复杂语义、多语种、多模态风险的识别能力，构建适用于搜索场景的风险评估能力；2、深入理解搜索业务语境，包括推荐词与搜索结果的内容特性，结合行业大模型前沿技术，进行模型训练与安全策略设计；3、设计适配搜索系统的审核链路，完善策略触发、审核分发、误伤回流等机制，支持持续演进与精细化干预；4、以搜索作为外部认知与舆情变化的窗口，构建舆情主动发现...,互联网,http://jobs.zhaopin.com/CC469217510J40760184001.htm,10000人以上,2026-01-08 16:24:07
