职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
原油处理电气总监,北京,天津缘众达管道工程有限公司,大专,10年以上,,4.5-5.5万,要求：45岁以下，大专或以上学历，英语熟练，10年以上油气处理相关行业经验。职责：1、主导试运阶段电气系统（发电、输电、配电、用电设备）的方案设计、图纸审核及调试优化，确保与油气处理工艺的匹配性。2、分析电气系统潜在故障点，制定技术改造方案并监督实施，解决试运中出现的异常技术问题。3、组织制定电气设备维护计划、备件采购清单及技术改造方案，优化设备可靠性并降低停机率。4、监督电气设备安全操作规程的执...,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40699767516.htm,20人以下,2025-12-16 16:22:59
硬件研发部经理（急聘）,北京,万佳信,本科,5-10年,硬件开发,3-6万·13薪,岗位职责：1、负责硬件产品设计开发各阶段中的组织和协调管理工作；2、负责硬件产品系统、技术方面的开发和管理；3、负责硬件开发相关资源的分配与管理；4、建立和完善研发系统、流程、规范，管理协调外部资源；5、指导、审核所有项目技术方案，监控项目进度及质量。6、指导生产部对产品的生产。任职要求：1、机械、电子信息工程、自动化、通讯等相关专业本科及以上学历；2、熟悉ISO管理体系及产品设计与开发流程3、逻...,物联网,http://jobs.zhaopin.com/CC179890420J90250401000.htm,100-299人,2025-05-23 14:15:24
无人机-电机驱动硬件工程师（机器人方向）,北京,北京三快在线科技有限公司,本科,3-5年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40802576409.htm,10000人以上,2026-01-11 08:48:11
电气综合设计,北京,北京箭元科技有限责任公司,硕士,经验不限,电气,2.5-5万,岗位需求：1、负责电气系统技术抓总，配合总体完成火箭总体方案论证工作； 2、负责箭上控制系统综合设计，提出箭上单机、软件研制技术要求，箭上电缆网图设计，提出地面测发控系统技术需求； 3、负责电气系统对卫星、靶场等外系统的接口技术协调和状态把控； 4、协调各专业开展全箭电气系统产品的研制工作； 5、负责电气系统箭上产品的验收与质量管控； 6、负责组织并实施电气系统相关试验，包括综合试验、总装测试、靶...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40598054814.htm,100-299人,2026-01-11 00:07:21
（光通信、射频等）产线工艺负责人/主管,北京,华鸿锐光(北京)光电子器件制造有限公司,硕士,5-10年,工艺主管,3-5万,岗位职责： 负责工艺整合、良率提升、工艺人员管理等工作。 任职要求： 1、硕士以上学历，硕士、博士优先考虑，电子类相关专业，年龄35岁左右； 2、光通信、射频等专业背景，8年以上工作经验； 3、具有丰富的工艺管理经验，过往担任过产线负责人、工艺段主管等，熟悉工艺管理、质量管理，能够提升产品良率； 4、具有较强团队合作精神和工作主动性。 其他说明：本岗位岗位层级及待遇根据候选人情况可面议。,电子设备制造,http://jobs.zhaopin.com/CCL1504971140J40793951111.htm,100-299人,2026-01-08 00:00:01
电池系统工程师,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团骑行事业部在全国各个城市开展美团单车、电单车业务，提供绿色、便捷的共享出行服务，是美团出行板块重要的组成部分。我们力求为城市可持续发展提供低碳智能的解决方案，通过技术创新和硬件升级，不断优化全流程骑行体验，为低碳出行提供更好的服务。其中，美团单车旨在为城市居民提供通勤接驳服务，满足用户短途接驳出行需求；美团电单车则满足用户中短途多场景低碳出行需求。我们有开放的工作氛围，也有充满韧劲和创造力，心...,互联网,http://jobs.zhaopin.com/CC383625320J40795308809.htm,10000人以上,2026-01-11 08:33:17
电力电子技术总监(J13441),北京,北京四方继保自动化股份有限公司,本科,10年以上,"电力电子,直流电源",2.5-5万·14薪,岗位职责:1、负责制定并领导研发团队攻克中压直流断路器核心开断技术路线，确保在开断容量、速度、绝缘恢复和成本等关键性能上达到行业领先水平。2、决策和指导高电压绝缘系统（如真空灭弧室、SF6替代气体、固体绝缘）的设计，并推动新型耐弧材料、绝缘材料的应用研发，以提升产品可靠性和寿命。3、领导产品与高压直流电网（如柔性直流输电系统）的集成设计与仿真，确保断路器能与控制系统、测量系统及其它一次设备协同工作...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC000599020J40818821307.htm,1000-9999人,2026-01-07 01:18:47
电力电子产品研发工程师,北京,山西博才纵横人力资源有限公司,本科,经验不限,,3-5万,北京昊创瑞通电气设备股份有限公司电力电子产品研发工程师工作地：前期在河北沧州研发中心熟悉工作、后期可在北京、天津办公 薪酬：薪酬面议岗位职责1）负责电力电子产品（如固态变压器、能源路由器、电能质量治理装置等）的研发工作，涵盖需求分析、方案设计、系统建模、仿真验证等全流程。2）主导或参与主电路设计、PCB Layout（功率级 / 控制级），以及磁性元件（变压器、电抗器）的设计与选型。3）精通嵌入式...,人力资源服务,http://jobs.zhaopin.com/CCL1469119670J40912121415.htm,1000-9999人,2026-01-06 10:20:14
无人机-高级硬件工程师,北京,北京三快在线科技有限公司,本科,3-5年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40802578109.htm,10000人以上,2026-01-11 08:23:24
资深器件工程师,北京,南京蓝魔云信息技术有限公司,本科,5-10年,变压器,2.5-5万·14薪,某上市公司台企 天津SST团队资深器件工程师岗位（级别可沟通 因人而定）目前base北京海淀天津实验室和办公地点目前整理装修中预计年后一季度左右会搬迁JD随后补充整体方向：变压器器件方向，设计开发测试对电磁设计，电气参数，变压器磁芯，绕阻，性能，参数原型制作熟悉，知道团队制作样品，确保符合设计规范，懂标准与安规。,计算机软件,http://jobs.zhaopin.com/CCL1215728260J40779670116.htm,20-99人,2026-01-06 01:45:32
