职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Golang开发工程师,深圳,北京鼎腾科技有限公司,本科,经验不限,"Python,C++",18000-35000,岗位内容：1. 设计、开发、测试基于Golang的高性能分布式系统；2. 参与和优化现有系统的架构和功能；3. 研究并验证新技术及新框架的可行性。任职要求：1. 精通Golang语言，熟悉常用框架和工具链；2. 具备扎实的算法和数据结构功底，对分布式系统设计有一定经验；3. 有良好的编码规范和代码质量意识，注重系统的可维护性和稳定性；4. 具备良好的沟通能力和团队合作精神，积极主动，勇于担当。,IT服务,http://jobs.zhaopin.com/CC821752090J40814695608.htm,500-999人,2025-06-16 16:41:30,18000.0,35000.0,14.0
软件工程师,深圳,深圳依可医疗科技有限公司,本科,3-5年,"Linux,Python,Golang,C++,C语言,软件工程师,MySQL,Redis",18000-35000,软件工程师岗位职责：1、负责参与项目的前期策划与目标制定，通过自己的专业知识为项目的前期目标设定提供可行性建议;2、负责根据项目的要求，承担软件的开发任务，按照项目预期目标完成软件开发;3、负责进行用户需求调查分析，根据分析结果对软件系统及模块功能进行调整;4、负责与软件策划人员进行沟通，根据需求完成软件内各个模块的设计;5、负责完成软件内模块和软件系统的编程;6、负责在软件设计完成后，对软件进行...,医疗设备/器械,http://jobs.zhaopin.com/CC825410390J40231325602.htm,20-99人,2024-06-03 11:50:20,18000.0,35000.0,13.0
研发工程师,深圳,外企德科数字技术有限公司,本科,经验不限,"Java,Python,Shell,Golang,C/C++,Javascript,Linux,自动化测试,GO",18000-35000,全国均有岗位（开发、测试、算法、数据分析、大数据等）岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40775599005.htm,10000人以上,2026-01-11 00:24:30,18000.0,35000.0,14.0
软件工程师,深圳,深圳市昇科科技有限公司,本科,3-5年,"C语言,Linux,电子,嵌入式,单片机开发,高级软件工程师,Python,ARM开发",15000-30000,"单片机c语言开发，嵌入式linux, 和ucos 小系统应用二次开发 车载中控多媒体仪表和can协议设计一线通协议等电动车协议,客制化ui, 和操控功能设计,电动车灯+车速+电池电量检测+等控制 c语言要求熟练，对硬件原理基础要熟练了解， 需要对软件工程有兴趣的，对电子技术有兴趣，踏实，必须要能坐得住有专注精神. 思维清晰，有专研精神，不服输，乐观积极向上，主动学习，不钻牛角尖，有团队合作意识，有...",计算机软件,http://jobs.zhaopin.com/CC327621880J00671684905.htm,20-99人,2026-01-11 00:44:21,15000.0,30000.0,12.0
高级Android开发工程师,深圳,外企德科,大专,3-5年,"物联网项目,鸿蒙项目,Framework,Android Studio,Java,C++,Python",15000-30000,一、岗位职责1、负责Android OS体验的深度定制和开发，保证产品迭代顺利推进；2、主导和参与项目技术架构设计、开发、性能优化等工作，保证软件的开发进度和质量。二、任职要求1、大专及以上学历，计算机相关专业，5年以上Android App或者3年以上Android OS开发经验；2、具备良好的Java/C++/Kotlin语言基础，熟悉常用数据结构和算法，熟悉设计模式；3、熟悉Android应...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40834918805.htm,10000人以上,2026-01-11 00:25:22,15000.0,30000.0,12.0
java/c++/python后端开发,深圳,外企德科数字技术有限公司,本科,经验不限,"Java,C++",19000-35000,全国均有岗位(开发、测试、算法等)岗位要求:一、软件开发工程师1.热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言扎实的编程功底:2.具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术;二、软件测试工程师:1.热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底;2.有web开发或测试...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40774566105.htm,10000人以上,2026-01-11 00:24:30,19000.0,35000.0,15.0
数据治理专家,深圳,江西金融发展集团股份有限公司,本科,3-5年,"数据治理,数据架构",20000-30000,1. 负责数据管理、数据治理方面的研究和实践，负责企业数据管理政策研究；2.负责金融机构和非金融企业数据资产建设、元数据管理、数据标准管理、数据生命周期管理、数据质量管理等解决方案工作；3.参与数据治理咨询、交付项目相关制度、规范、流程的设计，以及参与公司数据治理平台的研发建设需求等；4.负责公司数据治理方案的收集和成果维护，；任职资格:1.熟悉数据治理领域相关知识，熟悉数据中台、数据架构等。2....,证券/期货,http://jobs.zhaopin.com/CC295644380J40850467612.htm,100-299人,2026-01-09 08:39:10,20000.0,30000.0,12.0
数字后端工程师,深圳,润和软件,大专,1-3年,"TCL,Perl,Python",15000-30000,1.参与或负责芯片及模块级别的DFT方案制定，并完成主流的DFT技术实现，包括但不限于扫描链（Scan）插入、内建自测试（MBIST）、边界扫描（Boundary Scan）以及自动测试向量生成（ATPG）。需要确保测试覆盖率达标2.负责DFT模式下的功能验证，解决仿真过程中出现的问题。生成DFT相关的时序约束（SDC），并与前后端团队协作，完成DFT模式的时序收敛（Timing Closure）...,计算机软件,http://jobs.zhaopin.com/CC171774410J40831085014.htm,1000-9999人,2026-01-09 01:39:50,15000.0,30000.0,12.0
软件开发工程师（前后端，测试均在招聘）,深圳,外企德科数字技术有限公司,本科,经验不限,"JavaScript,Python,C++,Spring,Hibernate,Struts,MySQL,PostgreSQL,Oracle",18000-35000,【C/C++/JAVA/Python/SQL/web/Android/IOS/Flutter/GO/大数据/AI/开发/运维/测试均有岗位需求】PS：北京，上海，南京，杭州，深圳，东莞，成都，西安，武汉，长沙均有需求开放【岗位要求】1、统招本科及以上学历；2、掌握C++/Java/Go/Web（Vue、React、js前端开发、前端框架...）/python/H5一种或多种编程语言，有良好的编程习...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40765505405.htm,10000人以上,2026-01-11 00:24:29,18000.0,35000.0,12.0
金融量化高级分析师 / 研究员,深圳,深圳市普希科技有限公司,本科,5-10年,"证券数据分析,技术面分析,基本面分析,量化分析,C语言,C++,Python,基金从业资格证,证券从业资格证",15000-30000,岗位职责独立负责量化策略研发，涵盖股票、期货、衍生品等资产类别的策略设计、因子挖掘、模型构建与迭代优化。主导策略回测与实盘落地，搭建高效回测框架，验证策略实盘有效性，控制交易风险与资金回撤。负责量化模型升级，融合机器学习、深度学习等技术，优化因子库与策略逻辑，提升策略收益稳定性。跟踪金融市场动态与行业技术趋势，挖掘另类数据价值，探索新型量化交易机会。带领小团队完成策略研发项目，指导初级量化人员工作...,计算机软件,http://jobs.zhaopin.com/CCL1242937950J40806937109.htm,20-99人,2026-01-09 01:24:08,15000.0,30000.0,12.0
