职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
销售经理（激光器产品）,深圳,大族激光,大专,经验不限,企业客户,30000-60000,岗位职责：1、制定本销售中心的市场销售战略和销售方案，并组织实施销售方案；2、负责制定本销售中心各类产品市场营销价格及营销政策；审批大客户、战略客户价格、重要项目的特殊价格；3、负责国内代理商、集成商等销售网络的开发建立、资质评审、销售价格控制及维护管理；4、负责本销售中心的团队建设、培训、管理等工作，对部门内业务经理的招聘、考评意见及淘汰管理工作，对具体客户的业务经理安排和协助具体人员在客户的不...,专用设备制造,http://jobs.zhaopin.com/CC000341550J40824913205.htm,10000人以上,2025-11-07 14:31:58,30000.0,60000.0,12.0
大疆-中/高级产品测试工程师（通用）,深圳,天津尘时科技有限责任公司,本科,5-10年,"软件测试,自动化测试,硬件测试",30000-60000,工作职责1. 负责项目产品的测试方案制定、测试用例编写和测试执行验收，组织测试专题，确保产品测试完整性和有效性；2. 根据实际场景和用户需求，提前识别质量风险，提出合理的测试方案，并推动执行落地；3. 负责制定项目各阶段的质量运作机制和准出标准，并能够持续迭代，推进产品质量目标持续改进；4. 负责对测试方法、机制持续迭代优化，提升测试质量和效率。任职要求1. 本科及以上学历，计算机、通信、软件工程...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40839831113.htm,500-999人,2025-11-07 09:59:21,30000.0,60000.0,15.0
人形机器人关节模组产品结构设计工程师,深圳,中山市澳多电子科技有限公司,本科,5-10年,机器人模组,40000-60000,一、岗位职责机械设计基础电机与驱动技术熟悉伺服电机（如无框力矩电机、空心杯电机）的选型与特性。了解电机控制算法（FOC、PID调参）与驱动器接口设计。传感器集成仿真与验证生产与测试制定可靠性测试标准（如寿命测试、过载保护验证）。二、岗位要求行业背景：5年以上机器人（协作机器人、工业机械臂、外骨骼等）关节开发经验。完整项目周期：主导或深度参与过至少1款关节模组从需求分析到量产的全程。问题解决案例：例...,汽车零部件,http://jobs.zhaopin.com/CC468431410J40900859315.htm,500-999人,2025-11-05 15:22:40,40000.0,60000.0,12.0
保险 产品经理（年薪30-60w）,深圳,机械之家,本科,5-10年,"产品开发,保险条款",30000-60000,前半年在长沙（公司提供住房），后期每个月至少有一周在长沙（平常在自己的城市远程办公即可）【核心职责】1、基于公司战略方向及市场动态，主导产品的全生命周期管理，包括需求分析、产品设计、条款拟定及迭代优化；2、构建产品差异化竞争力，建立产品定价模型与风险评估体系，确保产品在市场中的独特价值定位；3、作为公司对外合作的核心接口人，与头部主体公司建立战略合作关系4、主导产品条款谈判、承保政策制定、费率厘定...,互联网,http://jobs.zhaopin.com/CC373723880J40801137811.htm,300-499人,2025-11-03 11:40:54,30000.0,60000.0,12.0
机器人AI功能产品经理(A128500A),深圳,小鹏汽车,本科,3-5年,产品经理,30000-60000,您将在此收获：加入一支专注机器人产品落地的实干团队，负责定义机器人本体、App与云端平台的协同体验，从用户真实场景出发，打造“听得懂、动得准、管得住”的智能产品。你将深度参与产品从规划、设计到上线的全流程，与算法、嵌入式、云服务等核心团队紧密协作，推动技术转化为用户可感知的价值。在这里，你既能深入机器人软硬件系统，又能主导跨端体验架构，积累稀缺的“端-边-云”产品能力。团队扁平高效，重视产品话语权...,汽车研发/制造,http://jobs.zhaopin.com/CC405839980J40889703015.htm,10000人以上,2025-09-22 16:15:49,30000.0,60000.0,15.0
产品经理,深圳,广东锐博软件科技有限公司,本科,5-10年,,30000-55000,经验类目：运动裤子、运动外套、运动T恤岗位职责： 1、制定品类规划：负责年度及季度品类系列规划，深度结合品牌定位、电商运营策略、市场反馈数据和全球流行趋势，精准把握目标产品风格与消费者偏好，推动产品从概念到市场的高效转化，提升品牌影响力与销售业绩； 2、主导市场调研与用户洞察： 主导产品开发前期市场调研与用户洞察，通过电商平台分析、社交媒体监测、竞品研究等多维度数据，提炼目标人群消费行为特征与需求...,互联网,http://jobs.zhaopin.com/CCL1244440600J40909853108.htm,500-999人,2026-01-05 09:17:57,30000.0,55000.0,12.0
产品经理-海外业务,深圳,深圳市丰宜科技有限公司,本科,5-10年,"软件产品,硬件产品,ERP系统,CRM系统,财务系统",35000-55000,岗位职责:1、深入调研目标海外及港澳市场的用户行为、文化习惯、法律法规及竞争格局；2、制定海外及港澳地区产品的中长期路线图（Roadmap），明确优先级，确保与公司全球化战略对齐；3、主导产品功能从概念、设计、开发到上线的全过程，撰写清晰的PRD（产品需求文档）和原型；4、负责产品本地化适配，包括但不限于语言、支付、内容、合规（如GDPR、CCPA等）及网络性能优化；5、通过用户访谈、数据分析和市...,新零售,http://jobs.zhaopin.com/CC832675960J40864429703.htm,1000-9999人,2025-12-17 17:55:09,35000.0,55000.0,13.0
机器人软件产品经理(A214748),深圳,小鹏汽车,本科,3-5年,产品经理,30000-60000,您将在此收获：加入一支专注机器人产品落地的实干团队，负责定义机器人本体、App与云端平台的协同体验，从用户真实场景出发，打造“听得懂、动得准、管得住”的智能产品。你将深度参与产品从规划、设计到上线的全流程，与算法、嵌入式、云服务等核心团队紧密协作，推动技术转化为用户可感知的价值。在这里，你既能深入机器人软硬件系统，又能主导跨端体验架构，积累稀缺的“端-边-云”产品能力。团队扁平高效，重视产品话语权...,汽车研发/制造,http://jobs.zhaopin.com/CC405839980J40889705315.htm,10000人以上,2025-09-22 16:15:47,30000.0,60000.0,15.0
产品总监（穿戴类）(J13225),深圳,深圳市广和通无线股份有限公司,本科,10年以上,智能手表,40000-55000,工作职责1. 承担所负责穿戴类产品的经营指标，包括收入和利润，例行管理并驱动目标达成。2. 根据市场调研结果，将需求产品化：制定产品规划和产品定义，明确产品定位、功能需求和用户体验要求，设计产品原型和交互流程。3. 管理所负责产品的成本，制定产品授权价，保证产品价格竞争力与产品利润。4. 组织并推动产品开发团队及时完成开发任务，协调各方资源，确保产品按时交付。5. 对所负责产品进行全生命周期管理，...,运营商/增值服务,http://jobs.zhaopin.com/CC133904260J40750179916.htm,1000-9999人,2025-08-28 11:46:41,40000.0,55000.0,12.0
总经理助理,深圳,深圳德勇国际物流有限公司,本科,10年以上,英语,30000-50000,岗位职责：1. 主导国际物流板块全链条管理（海运、清关、海外仓等），衔接跨境贸易、电商供应链各环节，推动物流网络优化与成本管控。2. 协助总经理制定国际物流板块战略，拓展欧美、中东等核心市场，整合船公司、海外代理等资源，提升供应链竞争力。3. 统筹 VIP 客户维护、合约谈判及风险管控，协调内外部（海外团队、国内供应商、跨部门）资源，保障业务高效落地。4. 跟踪国际物流市场动态与行业趋势，为总经理...,客运服务,http://jobs.zhaopin.com/CC350987810J40802071811.htm,100-299人,2026-01-06 11:22:43,30000.0,50000.0,12.0
