职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
数据治理工程师,武汉,湖北交投物流集团有限公司,本科,5-10年,"数据治理,数据架构,数据中台开发",1-1.2万,1.参与公司数字化平台从规划到建设落地全过程，配合业务部门和子公司梳理需求，提供技术层面的解决方案建议；2.制定公司数据治理相关制度、流程、方案，并推进实施落地；3.负责数据管理项目的规划、建设、运营；4.制定数据质量管理工作的组织与考核；5.推动数据资产的管理与应用；6.配合上级单位完成数据治理相关工作。,货运/物流/仓储,http://jobs.zhaopin.com/CC512943730J40906061415.htm,500-999人,2025-11-25 16:56:53
数据开发工程师,武汉,湖北鄂东数字集团有限公司,本科,3-5年,"数据架构,数据建模,数据库开发,Python,Java",6000-12000元,"岗位要求：1、熟悉数据、算法开发工作，分布式数据处理方面的经验，较强的自主学习能力；2、有丰富的数据库（GaussDB、达梦、MySQL等）及 Flink / Hadoop 生态使用经验，对存储、计算、消息队列、数据检索、集群管理等有认知和理解；3、熟练掌握一门以上的编程语言，包括且不限于 python，java，R，matlab，熟练使用机器学习常类库，包括且不限于：Numpy，Pandas, ...",云计算/大数据,http://jobs.zhaopin.com/CCL1475300630J40976836904.htm,20-99人,2025-12-31 01:11:15
大数据开发,武汉,软通动力信息技术(集团)股份有限公司,大专,3-5年,"Hadoop,Sql",1-1.2万,岗位职责：1、按时完成数据开发任务，确保结果的准确性、稳定性；2、负责报表、数据表的日常运维；3、遵循编码规范，做好开发自测，保障代码质量和系统稳定性；4、编写相关技术文档，如指标文档、模型设计文档等；5、与项目团队紧密合作，确保项目按时高质量上线；6、开发过程中积极主动，不等待不拖延。任职要求：1、 三年及以上工作经验，专科及以上学历2、熟悉spark、trino、Starrocks、Kafka...,互联网,http://jobs.zhaopin.com/CC000544460J40781715016.htm,10000人以上,2025-12-21 01:45:40
数据工程师,武汉,武汉市维元动力机械设备有限公司,本科,5-10年,"Python,数据库开发,PHP,数据挖掘与分析",1-1.2万·13薪,主要责任数据采集与整合:· 根据业务需求，从开放数据平台、第三方公开接口、授权网站等合规公开数据源采集所需业务数据，构建企业外部数据资源库；· 设计和实现从多种内部系统（ERP、CRM、电商平台、第三方API、日志系统等）采集、清洗和加载（ETL/ELT）数据的流程与管道；· 构建和维护数据仓库/数据湖，支持公司各部门的数据需求。数据治理与质量保障：· 制定并执行数据标准、数据质量监控与修正机制，...,新能源,http://jobs.zhaopin.com/CCL1226519410J40795165907.htm,20-99人,2025-09-19 13:47:33
数据开发（光谷）(J15001),武汉,先进数通,本科,经验不限,"ETL,数据库开发,Sql,Hadoop,Flink,Spark,银行",8000-11000元,岗位职责:1、有相关工作经验2、计算机相关专业，有志于长期从事IT行业;3、有较强的沟通能力和学习能力:4、能够按时完成项目经理分配的学习和工作任务;5、主动积累学习工作相关的技术和业务知识;6、完成上级领导安排的其他工作任职要求:1、统招本科及以上学历；2、具备3年以上金融业务工作经验；3、有过ODS、数据仓库、数据建模，或相关工作经验；4、熟悉PL/SQL、Shell、存储过程、Perl等开发...,IT服务,http://jobs.zhaopin.com/CC000432190J40778148916.htm,1000-9999人,2025-12-03 09:47:37
大数据分析设计与研发工程师（湖北楚英人才发展有限公司）,武汉,湖北交投物流集团有限公司,本科,5-10年,"数据架构,数据分析,设计研发",1-1.1万,具体任务：1、大数据平台与数据治理提升：负责在数据中心一期的基础上，继续深化数据治理工作。扩大数据治理范围（其他类指标、标签类指标、半结构化数据、非结构化数据），数据治理专项提升，开展公路主数据的贯标。；负责在数据中心一期的基础上，进行大数据存储计算平台能力提升，包括数据集成、数据开发、数据可视化分析、数据挖掘等能力提升；负责企业应用场景的驾驶舱、绩效指标考核驾驶舱等建设。2、可信数据共享交换平台...,货运/物流/仓储,http://jobs.zhaopin.com/CC512943730J40901884515.htm,500-999人,2025-11-10 09:54:51
离线大数据工程师,武汉,软通动力信息技术(集团)股份有限公司,大专,3-5年,Sql,9000-11000元,岗位职责：1、按时完成数据开发任务，确保结果的准确性、稳定性；2、负责报表、数据表的日常运维；3、遵循编码规范，做好开发自测，保障代码质量和系统稳定性；4、编写相关技术文档，如指标文档、模型设计文档等；5、与项目团队紧密合作，确保项目按时高质量上线；6、开发过程中积极主动，不等待不拖延。任职要求：1、熟练使用Flink、spark，trino，及常见优化；2、熟悉spark、trino、Starr...,互联网,http://jobs.zhaopin.com/CC000544460J40768274716.htm,10000人以上,2025-10-24 14:39:41
专业技术人员 ( 数据分析处理工程技术人员),武汉,融通人力资源开发有限公司,硕士,1-3年,"Java,Python",面议,"工作职责：1.能够开展数据分析与处理工作：负责数据的采集、清洗、加工、处理和分析，确保数据质量和一致性；2.能够开展数据流设计与开发工作：根据业务需求，设计和实现数据流，包括ETL(Extract,Transform,Load)过程，确保数据从源系统到目标系统(如数据仓库)的高效迁移；3.能够完成数据平台搭建与维护工作：负责大数据平台的搭建、开发、维护和优化，如Hadoop、Spark、HBase...",人力资源服务,http://jobs.zhaopin.com/CCL1290012410J40866844012.htm,10000人以上,2026-01-07 10:48:43
大数据开发工程师(无需经验),武汉,武汉大工尹科技发展有限公司,本科,无经验,"数仓开发,数据治理,Shell,Hadoop,Hive,Spark,ETL开发,数据中台",6000-10000元,对沟通能力强，愿意主动学习的应聘者无需项目经验，公司将安排老员工带会后入职（接纳新人） 岗位要求： 1、本科学位学信网上可查、离校1年及以上 2、熟悉HADOOP生态及集群搭建 3、熟练使用HDFS常用命令、熟悉数据抽取工具SQOOP 4、熟悉HIVE，熟练编写HQL语句 5、有SPARK/FLINK流处理开发经验者优先 6、base：武汉 工作地点：上海 职位福利：五险一金、加班补助、带薪年假、...,IT服务,http://jobs.zhaopin.com/CC143952280J40360756616.htm,20-99人,2026-01-07 01:43:23
大数据开发工程师,武汉,武汉市昌盛通信息有限公司,本科,1年以下,Sql,7000-10000元,岗位内容：1. 参与设计、实现和维护数据管道和 ETL 流程。2. 进行数据处理和分析，确保数据质量和完整性。3. 支持用户在数据仓库中制定与需求相符的报表或 Dashboard。4. 协助其他团队成员处理数据相关问题并解决疑难杂症。任职要求：1. 熟悉至少一种主流数据库（如 Oracle/MYSQL/SQL Server/PostgreSQL）及 SQL 语言。2. 了解基础的数据结构和算法，具...,IT服务,http://jobs.zhaopin.com/CCL1493926590J40716368406.htm,100-299人,2025-09-15 18:06:31
