职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Java开发工程师,厦门,大连海蓝达科技有限公司,大专,5-10年,"Java,SPRING BOOT,SPRING CLOUD,Mybatis,JavaScript,Vue,MySQL,Oracle,PostgreSQL",8000-11000元,Java开发工程师岗位职责：1) 参与系统的设计、开发和维护，确保系统的安全性和正常运行；2) 负责研发工作中的软件编码、测试和优化，保证系统的高效性和稳定性；3) 参与各类技术问题的解决和故障排除，及时处理系统中出现的异常情况；4) 协助测试试人员完成软件系统及模块的测试；5) 负责指定系统的部署及维护；岗位要求：1) 有实际项目经验；2) 熟悉Web 开发相关后端技术，熟练使用后端技术Java...,计算机软件,http://jobs.zhaopin.com/CC554306220J40879800002.htm,20-99人,2025-12-23 01:04:00
双休-开发工程师-人力系统项目,厦门,外企德科人力资源服务(福建)有限公司,本科,3-5年,"JavaScript,Spring,Mybatis,MySQL,Redis,Java,SpringBoot,RabbitMQ",9000-11000元,工作时间：周一到周五，9:00-18:00，午休时间12:00-13:00岗位职责：1. 在低代码平台上进行产品二次开发，涵盖系统分析、设计与开发，保障项目质量与进度。2. 精准定位并解决技术疑难，为定制开发与项目实施中的技术问题提供有力支持。3. 规范编写软件需求设计文档，组织开展技术培训工作。任职要求：1、本科及以上学历，计算机、软件等相关专业；2、3年以上Java开发经验，有核心人力系统项目...,人力资源服务,http://jobs.zhaopin.com/CC392191310J40913549215.htm,1000-9999人,2025-12-30 18:18:30
java全栈工程师,厦门,郑州快码软件科技有限公司,大专,3-5年,"Java,Vue",9000-10000元,"岗位职责: 1. 负责前后端功能开发及系统集成，保障产品逻辑与交互的完整性； 2. 参与技术方案设计和接口文档编写，推动项目高效推进； 3. 优化系统性能，提出改进方案并推动实施。 任职要求: 1. 熟悉前后端开发技术栈，具备独立完成模块开发的能力， 后端JAVA,前端VUE等技术栈，以后端为主；2. 了解常见设计模式和开发框架，具备良好的代码规范意识； 3. 具备良好的沟通能力和团队协作精神，能...",计算机软件,http://jobs.zhaopin.com/CCL1233896260J40909375708.htm,20-99人,2026-01-05 01:20:51
Java开发工程师,厦门,厦门万宾科技有限公司,大专,经验不限,"Java,Spring,SPRINGBOOT,MySQL",8000-10000元,岗位要求：1、负责公司项目的研发，具体包括技术整体架构设计、组件和服务设计、实施落地及产品的持续演进等；2、深入理解业务架构和需求，识别项目技术风险，能够设计项目稳定性以及容灾解决方案；3、负责梳理和优化设备场景解决方案的接入流程；4、有实际架构设计经验，有前瞻性的规划和落地实施方案和路径。任职要求：1、熟悉平台架构设计，互联网与硬件通信协议。2、具有扎实的JAVA基础、使用SpringBoot、...,物联网,http://jobs.zhaopin.com/CC673645230J40766197313.htm,20-99人,2025-10-14 11:15:18
Java开发工程师,厦门,甘肃睿阳科技有限公司,本科,1-3年,"JavaScript,Spring,MySQL",5000-10000元,岗位职责：1、参与需求分析，完成功能模块设计，开发和单元测试；2、在规定的时间内完成上级布置的任务；3、公司现有系统的升级/维护，新系统开发；4、可以解决开发中遇到的技术难题。任职资格：1、熟练使用JAVA语言的进行项目设计，开发，调试；2、熟练掌握常用技术和框架（如Spring，SpringBoot，Spring Cloud，Mybatis框架等），有良好的编程习惯；3、熟练使用MySQL、SQ...,计算机软件,http://jobs.zhaopin.com/CC425884680J40767177312.htm,20-99人,2025-10-01 00:12:41
JAVA开发工程师,厦门,佳创科技,本科,1-3年,"JavaScript,C++,Mybatis,Hibernate,Spring,MySQL,SQLServer",7000-10000元·13薪,工作概述： 1、参与项目需求调研、开发方案讨论； 2、负责项目产品的开发、测试和维护工作； 3、按项目管理规范编写相应的技术文档； 职位要求： 1、熟悉JAVA语言、JAVA相关开发框架及规范，掌握Spring、Hibernate、SpringMVC、Springboot等开源框架的一种或多种； 2、熟悉使用vue、recat等一种或多种框架； 3、熟悉SQLSRVER或MYSQL等主流数据库； ...,电气机械/电力设备,http://jobs.zhaopin.com/CC266941130J40492420913.htm,100-299人,2025-08-01 16:11:53
Java开发工程师,厦门,厦门联合物流有限公司,本科,1-3年,"JavaScript,SAP",7000-9000元·13薪,核心职责：1、负责公司产品或项目的后端功能设计、开发、测试与维护，搭建高可用、高性能的 Java 后端服务架构;2、编写高质量、可维护的 Java 代码，遵循编码规范，保障系统稳定运行与高效迭代;3、与产品、设计、前端团队紧密协作，精准理解需求，高效推进项目交付，确保功能落地质量;4、定位并修复系统潜在问题与线上故障，持续优化服务性能、代码质量及架构合理性;5、参与技术方案讨论、架构评审，编写清晰...,货运/物流/仓储,http://jobs.zhaopin.com/CC218898310J40802457202.htm,100-299人,2026-01-09 01:02:58
软件开发工程师,厦门,上海宝信软件股份有限公司厦门分公司,本科,5-10年,"Java,SQL",7000-9000元·13薪,1、基于软件功能设计文档和开发规范，进行中级难度软件的前后端程序开发，开发所需的技术熟练掌握Java、SQL、H5等；2、处理和协调软件开发调试过程中出现的各类问题；3、参与现场调试、培训、交付支持等工作；4、编制软件开发、测试直至交付过程中的各类相关文档；5、协助项目经理完成相关任务目标。6、能进行界面及交互设计开发。7、5年以上开发经验；,IT服务,http://jobs.zhaopin.com/CC220735010J40909231815.htm,20-99人,2025-12-31 01:43:11
java初级程序员,厦门,厦门新凯复材科技有限公司,本科,1-3年,"JavaScript,Python,CSS,Spring,Hibernate,Struts,MySQL,SQLServer,NoSQL",7000-9000元,"主要职责：1、负责集团内应用信息系统二次开发、升级改造及日常技术支持工作2、分析用户需求，设计各类产销研功能及统计报表，协助产销研部门提高管理效率；3、进行信息化系统的操作指导及功能培训推广；4、贯彻执行公司服务保障体系，保障系统日常运行； 资格描述：1、 计算机或相关专业本科学历；2、 熟悉数据库及基本Sql语言；3、 熟悉 B/S架构、java,php者优先；4、 良好的撰写文档能力、编程能力...",金属制品业,http://jobs.zhaopin.com/CC145017670J40749138209.htm,1000-9999人,2025-11-10 09:33:28
助理java研发工程师,厦门,广东华研智启科技有限公司,本科,无经验,"JavaScript,C++,Python,Spring,Mybatis,Hibernate,MySQL,SQLServer,NoSQL",5000-7000元,岗位内容：1. 设计、开发并维护Java应用程序。2. 解决各种技术难题，保证代码的可靠性、高效性和安全性。3. 参与软件设计的讨论和计划制定。4. 与其他团队成员协作工作，提高团队整体技术水平。任职要求：（优先接受2026年应届毕业生）1. 熟悉Java语言及相关技术，熟悉Spring框架。2. 具有一定的编程基础和良好的面向对象编程思想。3. 对常见数据库如MySQL、Oracle等有一定的了...,电子设备制造,http://jobs.zhaopin.com/CCL1507495560J40806521607.htm,300-499人,2025-11-05 09:54:02
软件技术专业骨干教师(全职或兼职）,厦门,厦门兴才职业技术学院,本科,经验不限,职业技术教师,4000-6000元,职责与工作任务描述：1. 承担软件开发架构方向核心课程教学（如《软件架构设计》《微服务架构》等，可调整）；负责备课（融企业案例）、授课、架构类实训指导、作业批改及考核评定，指导学生架构相关实验、项目与技能竞赛。2. 参与软件技术专业（侧重架构）建设规划、人才方案修订及课程体系优化，对接企业推进架构导向校企合作，引入真实架构项目，推动产教融合。3. 指导学生架构层面实践活动（实验、课程设计、毕设、竞...,学校/学历教育,http://jobs.zhaopin.com/CC191787620J40793932511.htm,300-499人,2026-01-10 01:32:56
伺服电机开发工程师（实习生）,厦门,福建富昌维控电子科技股份有限公司,本科,经验不限,C++,3000-6000元,岗位职责：1）负责伺服驱动器软件功能的开发；2）参与驱动器产品软件平台的优化升级工作；3）配合软件开发相关文档的处理。任职资格：1、自动化控制相关专业本科以上学历，2、对变频器、伺服驱动器、电源等相关设计有经验/有兴趣优先。；3、熟悉DSP、ARM等芯片下的C语言编程开发；4、优秀者薪资可 面谈5、对编程有热情，学习能力强。【【研发岗上班时间】：上班时间：5天7.5h弹性工作制。【研发岗福利】：1...,仪器仪表制造,http://jobs.zhaopin.com/CC291402110J40819861610.htm,300-499人,2025-11-11 15:27:19
开发实习生,厦门,用友网络科技股份有限公司厦门分公司,本科,经验不限,JavaScript,2000-3000元,工作职责1.参与公司系统需求调研、设计、开发及维护；2. 根据业务需求和开发规范协助完成设计、编码、测试，编写相关文档；3. 完成领导交办的其他任务。任职要求1.熟悉Java语言，了解Spring、Hibernate、Ibatis等各种常用的应用开发框架；2. 熟悉web前端技术，如html5. css、JavaScript、Vue等；3. 工作积极主动，吃苦耐劳，具备快速学习能力；4.本科及以上...,计算机软件,http://jobs.zhaopin.com/CC271575030J40741812507.htm,10000人以上,2025-04-07 11:35:47
集团数管部实习生,厦门,厦门国贸资本集团有限公司,本科,无经验,"JavaScript,SQL",100-120元/天,【岗位职责】1、需求文档整理与页面原型绘制工作：协助收集、整理业务部门提出的需求，在专业人员指导下，使用原型设计工具（如 Axure、Figma 等）绘制页面原型。2、业务系统测试相关工作：参与公司各类业务系统的测试流程，主要是功能测试，有能力和学习意向的可以在专业人员指导下参与兼容性测试、性能测试等。3、操作手册编写工作：基于业务系统的功能特性与操作流程，编写系统操作手册，为用户使用系统提供详细...,投资/融资,http://jobs.zhaopin.com/CC493529480J40801417509.htm,500-999人,2026-01-07 01:24:08
Java开发工程师,厦门,信雅达,本科,3-5年,"Spring,MySQL",1-1.5万,欢迎26届学生投递（可留用）工作内容：1、负责项目的后端代码编写； 2.、配合完成数据测试及接口联调； 3、与理解需求，及时处理测试反馈的信息；4、能迅速及时响应项目经理分配的任务5、有较好抗压能力，能适应加班 岗位要求： 1、熟悉MVC编程思想，熟悉Spring开发框架； 2、java基础扎实，精通io、多线程、集合等基础框架，了解jvm； 3、熟悉Linux系统，熟悉常用软件的安装与调试； 4...,计算机软件,http://jobs.zhaopin.com/CC146032650J40757718316.htm,1000-9999人,2026-01-05 10:01:53
