职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
新媒体运营总监,南京,南京誉泰瑞思科技有限公司,本科,5-10年,"新媒体运营,toB,toC,直播运营,社群运营",1.5-2.5万,"岗位职责1、制定公司整体的新媒体运营战略，构建“ 引流-转化-裂变 -留存 ”一体化运营模型。2 、 数字化商业机会的获取与管理， 制定阶段性运营计划并分解目标，提升经销商规模和业绩。3 、 整体品牌传播定位 、 舆情管理 、 公关传播，保持与内外环境的敏锐洞察。4 、 洞察目标用户群体， 规划并指导团队创作高吸引力的公域内容, 包括但不限于短视频 、 直播 、 图文。5 、 探索并测试新兴流量平...",计算机软件,http://jobs.zhaopin.com/CC415056380J40783157416.htm,100-299人,2025-12-29 17:31:47
运营副总监,南京,德信盛全物业服务有限公司,本科,10年以上,,1.5-2.5万,工作职责:1、执行并落实公司的物业服务品质管理体系要求，维护公司服务品牌；2、负责公司体系运行和维护，推动公司管理目标和方针的实现，组织内部质量管理及标准化作业文件的相关审核工作；3、负责客户满意调查各节点的工作跟进，研究和分析满意度调查数据，指导和督促分公司满意度提升行动计划的制定，提升客户满意度与现场品质；4、对公司各项目进行品质检查并限期完成整改、跟进公司各部门各项目工作计划完成情况；5、制...,物业管理,http://jobs.zhaopin.com/CC292991410J40911113415.htm,10000人以上,2025-12-18 14:44:48
运营计划经理/副总监,南京,中电变压器股份有限公司,本科,5-10年,PMC,1.5-2.5万,岗位职责：产供销协同计划编制年度 / 季度 / 月度运营计划，统筹变压器生产、采购、销售全流程衔接，确保订单准时交付分析产能数据（设备负荷、人力配置、物料供应），预判生产瓶颈，提出产能优化方案跟踪订单执行进度，协调解决生产异常（如物料短缺、工艺调整），保障交付周期达标运营体系搭建与优化建立健全从销售接单到发货的全流程计划体系，制定标准化操作规范（SOP）推动供应链数字化转型，优化 ERP/MES ...,电气机械/电力设备,http://jobs.zhaopin.com/CC210821880J40833525905.htm,500-999人,2025-12-17 16:13:40
新媒体运营总监,南京,南京誉泰瑞思科技有限公司,大专,3-5年,新媒体运营,1.5-2.5万,"岗位职责1、制定公司整体的新媒体运营战略，构建“引流-转化-裂变- 留存”一体化运营模型。2、数字化商业机会的获取与管理，制定阶段性运营计划并分解目标，提升经销商规模和业绩。3、整体品牌传播定位、舆情管理、公关传播，保持与内外环境的敏锐洞察。4、洞察目标用户群体，规划并指导团队创作高吸引力的公域内容, 包括但不限于短视频、直播、图文。5、探索并测试新兴流量平台与获客方式，建立低成本、高效率的公域流...",计算机软件,http://jobs.zhaopin.com/CC415056380J40783159916.htm,100-299人,2025-12-24 13:49:37
亚马逊运营经理,南京,南京绿野仙踪生物科技有限公司,本科,3-5年,亚马逊,1.5-2.5万,岗位职责：1、根据公司经营发展规划，负责公司海外渠道平台全盘战略规划、战略定位、业务架构、运营模式等方面的统筹布局工作；2、制定总体销售目标并进行拆解，负责运营方案及策略的制定、实施、优化、调整，带领海外运营团队完成业绩目标；3、负责部门人才建设管理工作，对部门人员的选用育留负责；4、统筹公司数据资源和品牌资源，进行内外部部门沟通和资源协调。任职要求：1、统招本科及以上学历；2、5年以上跨境平台（...,电子商务,http://jobs.zhaopin.com/CC579757080J40830999113.htm,500-999人,2025-12-11 16:27:20
运营副总监,南京,江阴市金桥化工有限公司,本科,5-10年,"电商运营,toB",2-2.5万·14薪,岗位职责：1、负责产品的整体运营规划。包括平台产品运营、用户运营、商家运营、流量运营，实现商业化；2、完成平台服务落地推广工作，结合客户及业务目标开展需求洞察分析并输出运营方案；3、产品运营过程中协调各方资源。优秀的沟通协调能力及社会资源等公共关系；4、完成上级领导交付的各项工作。任职要求：1、本科及以上学历；2、5~10年互联网产品运营工作经验，熟悉B2B、B2B2C、S2B2C平台产品，具备电...,石油/石化,http://jobs.zhaopin.com/CC223163710J40649414511.htm,100-299人,2025-12-10 10:54:01
天猫运营经理,南京,北京易才博普奥管理顾问有限公司,本科,3-5年,"淘宝,天猫,服装,总监,经理,主管",1.5-2.5万,岗岗位职责：1、带领团队完成年销售任务，对销售结果负责；2、熟悉电商平台运营环境与规则，熟悉各种营销工具，获取流量并加以优化，提高销售；3、对各仓的情况、库存数量、配货率等情况熟悉，并且根据季节与货品制定商品销售计划；4、熟知公司品牌战略，熟悉公司各个品牌情况，合理控制品牌占比；5、明确店铺定位，优化店铺装修，每日监控店铺数据，维护爆款与打造爆款；6、合理分配客服、美工、运营等岗位的工作，跟进工作...,咨询服务,http://jobs.zhaopin.com/CC227750710J40734636306.htm,100-299人,2025-11-20 10:16:25
电商运营总监,南京,南京道奇科技有限公司,本科,3-5年,"电商运营,市场营销,品牌策划",1.5-2.5万,岗位职责： 1.全面负责公司电商业务（包括但不限于天猫、京东、抖音等渠道）的战略规划、日常运营和业绩增长； 2.制定公司电商业务的年度、季度及月度战略目标、运营规划和预算，并确保有效执行； 3.全面负责主流电商平台（天猫/京东/抖音等）及自有平台的店铺运营管理，优化店铺视觉、商品陈列、详情页等； 4.建立并优化用户购物旅程，从浏览、咨询、下单到售后，持续提升用户体验和客户满意度； 5.管理商品生命...,生物工程,http://jobs.zhaopin.com/CC142915790J40848543503.htm,100-299人,2025-11-19 00:03:01
电商品牌项目负责人,南京,银嘉控股集团(南京)有限公司,本科,3-5年,电商品牌项目负责人,1.3-2.5万,该岗位设立于集团旗下-炜能网络科技南京有限公司-电商运营中心（世界500强快消品牌）【岗位职责】1、行业洞察：洞悉电商行业市场，熟谙传统电商平台（天猫、淘宝、拼多多、京东等）、兴趣电商平台（抖音、快手、小红书等），对新兴电商渠道（社区团购等）具备一定的洞察力和生意逻辑的理解，能够根据平台发展趋势及时支持品牌项目策略的布局和敏捷调整；2、项目支持：负责品牌项目各线上店铺年度生意计划制定，把控进度并跟...,快速消费品,http://jobs.zhaopin.com/CC833010920J40494989002.htm,300-499人,2025-11-12 17:33:31
餐饮运营总监,南京,南京食古论今企业管理有限公司,大专,5-10年,,1.5-2.5万,1、协助总经理完成各门店运营体系搭建及各项规章制度的制定;2、根据公司的战略目标，制定整体运营方案，完成运营目标；3、实现餐饮品牌的全面连锁拓展，展开品牌理念、品牌精神的导入，增加品牌的知名度、美誉度；4、负责建设和发展公司线下运营团队，组织开展员工队伍培训；5、了解互联网，能运用互联网进行品牌推广及帮助提升销售额；6、负责制定长期、短期的年度和月度计划，组织、督促完成各项任务和经营指标，并对月度...,餐饮服务,http://jobs.zhaopin.com/CCL1510473710J40806877009.htm,300-499人,2025-11-07 16:47:20
