职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
资深平面设计师,南京,南京纳邦广告设计有限公司,大专,3-5年,"广告设计,PS,AI,VI设计,标识导视设计,C4D",,岗位职责：1. 独立完成项目的主导设计，具备以创意为主，有独立自主的创意能力；2. 把控平面设计输出的风格及品质，对平面设计任务完成的时间和质量进行跟踪负责；3. 独立完成VI、文化墙、画册等设计方案；4. 与团队保持良好的沟通能力和协作意识，思路清晰，工作细致有条理；5. 单独完成多项品牌设计案例。岗位要求：1. 广告设计、平面设计等相关专业大专以上学历，拥有3年以上平面设计的工作经验；2. 熟...,广告/营销,http://jobs.zhaopin.com/CC701241320J40726759009.htm,20人以下,2025-11-13 10:23:31,,,
UI/五险一金,南京,江苏兔酱网络科技有限公司,本科,1-3年,"SKetch,视觉设计,交互设计,网页端",,公司简介江苏兔酱网络科技有限公司2016年开创业务，设立南京总部、上海分部、徐州分部，致力于为全球企业提供优质的IP代理解决方案，我们的产品和服务广泛应用于网络安全、数据采集、广告验证、市场调研、旅游聚合、跨境电商等多个领域，帮助客户应对互联网环境中的各种挑战。目前全球客户10000+9000w+高质量代理岗位职责：开展产品需求调研与竞品分析，设计产品原型。负责公司产品的 UI/UX 设计与优化，...,互联网,http://jobs.zhaopin.com/CCL1417977260J40760129409.htm,100-299人,2025-10-29 17:18:04,,,
平面设计,南京,南京悦动创意科技有限公司,大专,1-3年,"广告设计,排版设计,UI设计,PS,CDR,C4D",,工作内容为： 企业宣传册、公司文化墙、海报、PPT、DP点、会展活动等相关平面设计工作。 任职需求： 1. 大专及以上学历，平面设计或相关专业毕业，有1年以上设计经验； 2. 熟练使用Ai、Ps等设计软件，可以独立完成各类设计任务； 3. 具备良好的审美能力和设计感，对前期设计和后期制作等方面熟悉； 4.有会展公司或广告传媒公司经验优先考虑； 5.公司为单休。 6.不要应届生。,会议/展览,http://jobs.zhaopin.com/CCL1495243080J40697700011.htm,20人以下,2025-10-17 00:08:01,,,
平面设计师,南京,青岛新起点信息咨询有限公司,本科,1-3年,"广告设计,VI设计,方案设计,PS,AI,ID",,本科以上学历，可居家办公！不限工作地点，全职，双休！ 符合要求的同学在发送简历哦，不符合要求的请不要发送，谢谢 岗位职责 1. 负责地产项目的宣传设计，包括平面广告、海报、户外物料、社交媒体图片等 2. 根据项目需求完成创意设计与排版，并进行修改优化 3. 保证设计风格与品牌形象统一，按时交付 技能要求 1. 英语四级 或以上 2. 熟练使用 InDesign、Photoshop、Illustra...,咨询服务,http://jobs.zhaopin.com/CC280122130J40783720510.htm,20-99人,2025-09-05 14:23:38,,,
ui/ux交互设计师,南京,江苏兔酱网络科技有限公司,本科,1-3年,"UI设计,动效设计,交互体验设计,PS,CAD,SKetch,SAAS产品官网",,公司简介江苏兔酱网络科技有限公司2016年开创业务，设立南京总部、上海分部、徐州分部，致力于为全球企业提供优质的IP代理解决方案，我们的产品和服务广泛应用于网络安全、数据采集、广告验证、市场调研、旅游聚合、跨境电商等多个领域，帮助客户应对互联网环境中的各种挑战。目前全球客户10000+9000w+高质量代理岗位职责：开展产品需求调研与竞品分析，设计产品原型。负责公司产品的 UI/UX 设计与优化，...,互联网,http://jobs.zhaopin.com/CCL1417977260J40756892009.htm,100-299人,2025-10-29 09:46:34,,,
平面设计（B2B）,南京,南京仪岱安慷文化科技产业发展有限公司,大专,1-3年,"包装设计,方案设计,PS,AI",,岗位职责： 1、根据公司产品定位，负责公司产品品牌平面及产品整体风格设计与把控； 2、负责部门产品包装设计(包装插画、刀版结构、材质工艺)； 3、负责背景板、展板等各种展会活动物料的设计及制作； 4、负责店铺陈列设计、部分产品3D建模渲染效果图； 5、负责产品开发设计，上新提案(开发设计产品设计稿输出、样品确认及问题反馈)； 6、配合销售需求，负责产品后续不干胶、应用制作，门店物料制作、部门所需海...,游戏,http://jobs.zhaopin.com/CCL1445581920J40743793513.htm,100-299人,2025-08-12 11:07:17,,,
平面设计,南京,南京美倾城健康信息咨询有限公司,大专,1-3年,"视觉设计,美工,PS",,职位职责：1、负责公司对外企业宣传及广告、产品、活动的平面设计工作；2、负责微信公众号、自媒体等平台内容图文设计及精修；3、负责新媒体社群运营；4、领导分配的其他工作；任职要求：1、广告、艺术设计等相关专业；2、有1年以上设计相关工作经验，具有营销设计思维；3、有良好的设计能力和超强的审美意识，能把创意转化为设计；4、沟通能力强及良好的团队合作精神；,卫生服务,http://jobs.zhaopin.com/CC610958820J40451764314.htm,100-299人,2026-01-08 10:50:47,,,
品宣设计师,南京,江苏水声技术有限公司,本科,3-5年,UI设计,,岗位职责：1. 负责设计产品包装、铭牌、说明书、技术手册等； 2. 为公司展会等活动，主导从主题视觉到宣传物料的全套设计，包括但不限于展台、背景板、海报、宣传册、产品折页、PPT等。3. 负责公司官网、公众号、行业平台、网页等数字平台的视觉设计和维护，提升用户体验与视觉美感；4. 与研发团队紧密合作，理解产品要点，确保设计概念的有效传达与实现；5. 建立企业品牌资产库，形成视觉规则手册，推动产品视...,电气机械/电力设备,http://jobs.zhaopin.com/CCL1387479230J40821536307.htm,20-99人,2026-01-08 10:31:37,,,
视觉设计师,南京,玖壹叁陆零医学科技(杭州)有限公司,本科,3-5年,"平面设计,视觉设计",,【我们的优势】：1. 全额五险一金：入职即顶格缴纳社保公积金2. 健康工作节奏：保障周末双休3.深耕医疗信息化：服务全国600+医疗机构，累计研发投入1.5亿4. 跨国式研发合作：联合中国、日本、美国著名高等院校、医疗机构、科研机构合作5.核心团队模型：成熟・互补・高效・合理，国内外专家资源丰富【岗位职责】：1、负责公司日常宣传、策划设计制作；2、创意品牌稿能够有独特的创意输出；3、产品或礼品包装...,医疗设备/器械,http://jobs.zhaopin.com/CCL1485420540J40867255812.htm,100-299人,2026-01-07 17:31:55,,,
视觉/平面设计师,南京,苏州云观博数字科技有限公司,本科,1-3年,"广告设计,包装设计,VI设计,PS,AI,3D MAX",,工作职责：1、 负责研学部门设计工作，担当创意核心、效果统筹、设计沟通的任务，执行和贯彻公司所交付的任务；2、 按产品的消费者定位，从消费者体验及视觉创意的角度出发，确定产品包装设计风格；3、主导设计项目，参与各种平面设计项目从创意到完成的全部过程，准确跟踪记录并整体掌控每个项目所消耗的工作时间。确保每个项目都能按节点，按预算交付；4、 配合公司品牌的视觉规划，建设品牌统一视觉形象，提升公司品牌在...,计算机软件,http://jobs.zhaopin.com/CCL1385321950J40824530809.htm,100-299人,2026-01-06 10:35:44,,,
平面设计师,南京,南京源通熙帝会展服务有限公司,大专,3-5年,,,注意：公司11月底搬到3号线卡子门地铁站附近的紫云智慧广场，通勤可以接受的再投递，谢谢~ 岗位职责：1、公司涉及业务范畴主要在会议会展、文创产品等方面，能独立完成日常平面及其他相关设计创意项目工作；2、可根据公司策划思路和营销概念独立完成设计工作，充分理解创意意图并准确体现于创意设计中；4、主要的设计项目涉及：logo、产品海报、画册、宣传DM、活动线下物料设计、产品包装设计等；5、上级布置的其它...,广告/营销,http://jobs.zhaopin.com/CC555813420J40819432005.htm,20-99人,2026-01-04 15:10:39,,,
平面设计,南京,南京兴业建设有限公司,大专,1-3年,方案设计,,岗位职责：1、负责公司要求的文字排版设计，图片设计。精通各类文字处理、图片处理、文字排版；2、熟练使用PS、AI等软件，严谨细致 ，能充分利用图案空间进行排版工作；3、使用相关Cad，及3dmax软件进行尺寸测量辅助及图纸核对。4、从事建筑类设计方案。任职要求:1.具有良好的审美能力和创意思维，能够独立完成设计任务;2.具备较强的沟通能力和团队协作精神，能够有效推动项目进展;3.对流行设计趋势有敏...,房地产开发,http://jobs.zhaopin.com/CC272121010J40821103409.htm,20-99人,2025-12-31 10:55:38,,,
平面设计,南京,南京纬联文化传播有限公司,学历不限,经验不限,"VI设计,方案设计,包装设计,PS,AI",,平面设计（实习方向） 学历与专业：大专及以上学历，设计相关专业在校生。 软件技能：熟练掌握 Photoshop、Illustrator、InDesign 等平面设计软件，能够运用软件独立完成基本的图形绘制、图像处理与排版工作。平面设计（正式方向） 工作内容：1. 负责客户品牌形象设计、产品定制化设计（如包装、画册、衍生品等）的全流程视觉落地。2. 深度参与项目前期策略讨论，将抽象的品牌概念转化为具...,新媒体,http://jobs.zhaopin.com/CCL1213826520J40719439902.htm,20-99人,2025-12-28 16:32:12,,,
平面视觉设计师,南京,南京广之鲸文化传媒有限公司,本科,经验不限,"排版设计,VI设计,包装设计,PS,AI,AE,自媒体",,岗位职责 负责企业公众号文章的排版设计，根据文章内容和风格进行创意排版，提升文章的视觉效果和阅读体验。 承担公司各类宣传物料、海报、画册等平面设计工作，结合公司品牌形象和市场需求，设计出具有吸引力和感染力的作品。 负责企业公众号和小红书账号的日常运营管理工作，包括内容策划、选题挖掘、文案撰写、发布推广等。分析用户需求和行为数据，制定针对性的运营策略，提高账号的活跃度、粉丝量和用户粘性。 具备优秀的...,广播/影视,http://jobs.zhaopin.com/CCL1463885580J40756549513.htm,20-99人,2025-12-17 10:32:01,,,
平面设计师,南京,南京进行时广告有限公司,大专,1-3年,"广告设计,AI,PS,CAD",,【岗位职责】 1、平面设计内容输出，如活动主视觉及延展（主要）、方案美化、品牌海报等。 2、与项目负责人沟通，充分理解设计需求和意图，确保输出内容符合运用需求。 3、配合部门计划做其他形式的品牌活动推广，协助进行策划品牌、产品营销的各类相关活动。 4、品牌官宣平台日常维护运营协助：网站、公众号图片设计。 【任职要求】 1、大专及以上学历，平面设计、视觉传达、广告设计相关专业，2年以上岗位工作经验 ...,广告/营销,http://jobs.zhaopin.com/CC463317730J40814056605.htm,20-99人,2025-12-08 09:36:45,,,
平面设计师,南京,安徽皖上有约实业集团有限公司,大专,1-3年,"设计师,品牌设计,PS,AI,包装设计",,岗位内容：1. 制定公司品牌视觉标识体系，提升企业品牌形象；2. 负责各种平面设计、包装设计、POP设计、互动新媒体设计等工作；3. 参与公司宣传渠道的规划、策划及实施、通过创新的设计语言，为产品及公司形象塑造建立更具竞争力的视觉形象。任职要求：1. 大专及以上学历，平面设计或者相关专业，5年以上品牌设计工作经验；2. 对于品牌推广，视觉形象设计以及与用户交互体验有很深的理解；3. 具备出色的平面...,食品/饮料,http://jobs.zhaopin.com/CCL1500019660J40769247703.htm,100-299人,2025-12-04 17:15:02,,,
文创产品设计师,南京,南京广之鲸文化传媒有限公司,本科,经验不限,"产品包装,PS,AI,3D MAX,排版设计",,岗位职责 根据确定的设计方案，完成文创产品的具体设计工作，确保设计方案的完整性和可实施性。 与生产部门密切沟通，跟进产品的打样和制作过程，及时解决设计过程中出现的问题，保证产品最终呈现效果符合设计要求。 配合公司其他部门完成相关工作。 任职要求 艺术设计、工业设计、视觉传达、产品设计等相关专业本科及以上学历，具有扎实的美术功底和设计理论基础。 有文创产品设计工作经验，有成功的设计案例者优先。 熟悉...,广播/影视,http://jobs.zhaopin.com/CCL1463885580J40755098413.htm,20-99人,2025-12-16 20:38:55,,,
平面设计专员（动物园文创方向）,南京,南京市红山森林动物园管理处,本科,1-3年,"动物IP,PS,ID,AE",,1、负责动物园文创产品视觉设计：聚焦动物 IP 特色，完成文创产品的平面设计工作，涵盖产品外观、包装、标签等，确保设计兼具辨识度与市场吸引力，贴合游客审美与消费需求。2、统筹线上线下视觉物料创作：针对线上运营场景，设计电商平台商品主图、详情页视觉元素、社交媒体配图等，提升商品点击率与内容传播性；针对线下场景，设计园区文创店陈列海报、宣传折页、活动物料等，优化游客视觉体验与购买引导3、参与动物 IP...,社团/组织/社会保障,http://jobs.zhaopin.com/CC603926620J40731490706.htm,100-299人,2025-11-18 10:48:10,,,
平面设计师美工,南京,南京卡铭服饰有限公司,大专,3-5年,"电商设计,方案设计,PS,CAD",,【此岗位对审美要求较高，要有原创能力】 工作内容：1.负责公司产品相关设计，如产品包装，图片美工等工作；2.负责店铺网站的广告、产品、活动的平面设计；3.配合业务人员完成客户的设计需求；4.有视频剪辑经验者优先。岗位描述：1.负责电商店铺，商城，小程序的装修设计，整体美化方案；2.负责商品的产品图片的制作和上传；3.负责定期制作促销商品图片和页面；4.负责对店铺现有网页走线提出合理化建议，完善用户...,服装/纺织/皮革,http://jobs.zhaopin.com/CC410427420J40790716711.htm,20-99人,2025-11-13 14:22:30,,,
