职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
市场数据分析专员,南京,上海能良电子科技有限公司,本科,1年以下,"Python,数据分析,采购,移动通讯,华为,小米",,【岗位职责】1、根据主管给的计划，分别对不同供应商分开进行询价2、对供应商报价进行汇总3、合同归档管理4、对供应商进行结算汇总。【岗位要求】1、及时、优质的完成各项采购任务2、严格把关供应商管理3、熟练使用Word，Excel，PPT等；4、完成后部门主管临时交办的其他任务；5、本科及以上学历，接受应届生毕业生；6、有手机通讯及3C数码行业者优先。,互联网,http://jobs.zhaopin.com/CC637353830J40789758009.htm,500-999人,2025-10-11 10:54:26,,,
交通咨询师（数据分析）,南京,苏交科,本科,1-3年,"数据挖掘,数据建模,Sql,Python",,1、本科及以上学历，交通运输规划与管理、统计学、计算机科学与技术等相关专业;2、熟悉使用python或SQL等语言，具有处理大数据能力;,工程技术与设计服务,http://jobs.zhaopin.com/CC120913580J40757514501.htm,1000-9999人,2025-07-21 15:09:48,,,
证券分析师助理,南京,华西证券股份有限公司江苏分公司,本科,经验不限,,,岗位职责：1、建立与维护客户关系；2、向客户介绍公司服务流程；3、向客户提供除证券投资咨询以外的一般业务咨询服务；4、根据客户风险偏好向客户推荐相匹配的产品与服务；5、收集客户意见需求向营业部营销中心反馈。任职要求：1、 本科及以上学历；2、 能熟练使用社交软件；3、 具有证券从业资格，如果无从业资格，可通过考试后入职；4、 良好的客户服务意识和能力；5、 良好的沟通、表达能力。职位福利：基本工资...,证券/期货,http://jobs.zhaopin.com/CC826963790J00213233004.htm,1000-9999人,2025-02-27 00:22:24,,,
订单数据分析,南京,南京鑫元聚贸信息技术有限公司,大专,经验不限,,,岗位主要是负责公司数据订单线上跟单，对在线订单进行实时处理，纯实操的技术岗位，不外出，没有销售性质，需要对数据敏感，能够高效的进行分析处理；工作时间，朝九晚五 双休 法休，薪资待遇底薪+提成+透明晋升途径，感兴趣距离合适可以直接投递简历,电子商务,http://jobs.zhaopin.com/CCL1512273900J40812847701.htm,20-99人,2026-01-11 01:01:47,,,
销售支持专员,南京,普爱医疗,本科,3-5年,,,1.按期对公司销售情况提供数据分析报告：知己知彼的了解市场动态并反馈营销总监，协助推进提升措施，提高公司产品市场占有率；2.市场推广活动协调跟进：协助总监助理对营销中心活动/展会推广/线上会议组织做好支持工作，并推进营销各中心&分公司实施落地执行要求； 3.对公司各项政策执行情况的监督检查：重点工作事项落实到具体负责人，跟进执行进度，在规定时间内向营销总监及时反馈； 4.薄弱区域支持：根据薄弱区域...,医疗设备/器械,http://jobs.zhaopin.com/CC131860950J40876416704.htm,500-999人,2026-01-07 15:40:14,,,
临床数据管理员,南京,华威医药,本科,1-3年,临床试验,,1. 制定数据管理计划（DMP）；2. 设计CRF和数据库；3. 负责临床试验数据录入、核对、检查和维护，确保录入数据的完整及准确；4. 按照数据核查计划核查数据，发布和解决数据质疑，并更新数据库；5. 协助完成数据格式、字典的建立；6. 负责项目数据相关文档的管理。职能要求：1. 医学、药学、流行病学、生物学本科学历以上；2. 具备优秀的团队合作能力和独立解决问题能力；3. 有临床研究工作经验者...,医药制造,http://jobs.zhaopin.com/CC131950490J40804279514.htm,500-999人,2026-01-07 01:38:39,,,
数据运营专员,南京,中软国际,本科,1-3年,SQL,,岗位职责：1. 每日汇总分析设备、性能等数据通报，沟通团队与相关单位进行复核2. 实时跟踪设备接入情况，对设备状态进行确认3. 编制数据命名规范、稽核方案、操作手册等指导性材料4. 负责对接内外部单位，及时处理数据问题，推动问题解决5. 承担其他数据分析类工作岗位要求：1. 熟练使用excel相关函数操作2. 熟悉SQL语法，能根据需要编写SQL检索需要的数据3. 沟通顺畅，有较强的表达能力，有责...,计算机软件,http://jobs.zhaopin.com/CC508620120J40866189012.htm,10000人以上,2026-01-05 17:23:05,,,
销售数据管理专员/主管,南京,高济医药(江苏)有限公司,本科,3-5年,,,岗位职责1、预算制定、分解、管理、回顾、动态调整;运营数据分析和洞察，助力业务优化和提升业绩;区域医保政策、竞争格局、市场机会信息的收集、分析、应用;及时反馈异动情况调整经营收2、加盟商业绩管理:加盟商业绩跟踪、确认改善举措并追踪执行情况;对有需求的加盟商或连锁项目经理帮扶和带教;3、制定运营制度、优化流程，提高运营效率4、负责加盟相关系统数据的管理，保证及时更新和准确性。岗位要求1、大专及以上学...,医药批发/零售,http://jobs.zhaopin.com/CC693818680J40827967910.htm,10000人以上,2025-12-15 17:07:14,,,
数据分析师,南京,彩讯科技股份有限公司,本科,3-5年,"娱乐类,数据挖掘,专题分析",,初级中级高级数据分析（业务方向）招聘中，欢迎投递简历~一、公司介绍：彩讯股份（证券代码：300634）创立于2004年，致力于成为优秀的智能数字化专家。公司多年来沉淀了独特的技术和运营双中台，以及智慧渠道、协同办公、云和大数据三大产品线。为中国近三成财富百强等广大企业提供行业数智化综合解决方案，以及亿级用户规模的业务平台建设和运营支持服务。 彩讯股份的一站式AI应用平台——Rich AIBox，实...,计算机软件,http://jobs.zhaopin.com/CC189085310J40827151113.htm,1000-9999人,2025-09-19 17:43:41,,,
数据助理,南京,南京可优米网络科技有限公司,本科,1-3年,"带薪年假,房补,节日福利,包吃,五险",,岗位职责：1.日常广告投放的消费统计；2. 对部门上传数据的核实与整理；3. 每天数据报表的制作和汇总；4 协助运营做运营账号的工作；5.完成领导交代的其他事宜。职位要求：1.工作认真细致，具备较强学习力；2.情商较高，有较强的沟通协调能力。团队协同、团队合作意识强；3.熟练掌握Word、Excel、PowerPoint等日常办公软件工作时间：早9晚5点半，周日单休福利待遇：包中晚餐，节假日正常休...,通信/网络设备,http://jobs.zhaopin.com/CC456265680J40791038409.htm,100-299人,2026-01-10 01:25:53,,,
