职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
平面包装设计师,北京,北京安和四季供应链管理有限公司,学历不限,3-5年,"设计师,美工,品牌设计,PS,全职兼职均可,AE,包装造型设计,电商,生鲜",10000-15000,话不多说须有食品方面最好是生鲜包装 平面 美工设计经历。审美棒的直接发作品给我就好。合适直接录用。保障齐全，高端牛肉畅吃。,快速消费品,http://jobs.zhaopin.com/CCL1500441020J40809704109.htm,20-99人,2025-12-22 22:20:12,10000.0,15000.0,12.0
视效设计师,北京,文懋传媒(北京)有限公司,大专,5-10年,"渲染设计,包装设计,PS,C4D,AE",,薪资范围：（8000-15000 *12）月招聘人数：2人 岗位职责：1、 负责公司宣传片、纪录片、电视节目、短视频等项目的视觉策划，字体设计，二维包装、三维特效的设计和制作工作。2、 根据项目需求，熟练运用AIGC相关工具辅助进行素材生成、效果优化等工作，将创意灵感落地实现。3、 参与公司项目的创意讨论与方案策划，与各相关部门紧密沟通，明确视效需求，给予项目视效设计支持。4、 收集整理行业内优秀...,广播/影视,http://jobs.zhaopin.com/CCL1381814710J40735290006.htm,20-99人,2025-12-22 00:08:21,,,
资深设计师,北京,瑞思格美,本科,3-5年,包装设计,,【职位描述】： 主要做快消品包装类型的平面设计工作1、能够快速、独立地完成项目的创意构想和创意设计，产出具有商业化的设计作品；2、参与创意会，准确理解客户创意需求，及时提供符合客户要求的创意设计思路和视觉设计方案；3、负责具体创意表现的执行并完成后期设计制作等工作，确保作品质量和完成时间；4、控制相关创意工作的出品质量，保证美术创作符合客户的需求； 5、参与项目的比稿及提案会，有独立提案能力，能准...,文化艺术/娱乐,http://jobs.zhaopin.com/CC134476210J40198147812.htm,20人以下,2025-12-21 00:00:00,,,
平面设计师,北京,北京一企学科技发展有限公司,本科,10年以上,"UI设计,PS,AI,AE",10000-15000,岗位职责熟练运用Photoshop、Illustrator等设计软件，独立完成品牌宣传物料、社交媒体视觉内容、活动海报等平面设计工作；根据项目需求进行创意构思，输出符合品牌调性的视觉设计方案；负责设计素材的优化与迭代，确保作品质量及交付时效；参与跨部门协作，配合市场、运营团队完成视觉内容落地。任职要求要求（10年及以上经验者优先）主导过完整品牌视觉体系搭建项目，具备策略性设计思维；熟悉动态设计（如...,企业服务,http://jobs.zhaopin.com/CCL1471866610J40827625910.htm,20人以下,2025-12-13 12:16:38,10000.0,15000.0,12.0
平面设计,北京,北京弋鹭影视传媒有限公司,本科,1-3年,"PS,AI",12000-15000,岗位职责：1、善用AI相关创作工具，熟练使用Midjourney、Stable Diffusion等AIGC工具进行创作，并熟练运用Photoshop、lllustrator等软件，能够把控多种艺术风格，具备优秀的审美能力；2、负责公司影视剧集宣传海报、创意海报、新媒体海报、战报长图等平面类设计，能够独立提出创意方向和思路，完成物料制作、修改等；3、剧宣期配合宣传需求，独立完成剧照精修、LOGO设...,广播/影视,http://jobs.zhaopin.com/CC841297740J40666880301.htm,20-99人,2025-12-12 16:16:01,12000.0,15000.0,12.0
高级修图师（高级美工）,北京,北京挑挑创新文化发展有限公司,大专,3-5年,"人像修图,美工,欧美风格,PS,AI,电商修图",,岗位职责：--负责高效执行产品图片的色彩校正、图像抠图、合成以及裁剪等后期处理任务，确保每张图片均达到高标准的视觉效果。--制定并持续优化图片制作的标准化流程，以规范化工作流程，显著提升团队的工作效率和产出质量。--深入研究同行业竞争对手的图像优势，积极参与设计方案的讨论，通过图像优化策略有效推动产品销售，增强市场竞争力。任职要求：--要求至少3年以上的人像修图经验，有电商服装或影楼人像修图经验者...,物联网,http://jobs.zhaopin.com/CCL1487596320J40699612912.htm,500-999人,2025-12-11 09:59:14,,,
平面设计主管（蓝色港湾）,北京,北京亮马万达广场商业管理有限公司,本科,3-5年,"视觉设计,公共艺术设计",10000-15000,岗位内容：1. 负责购物中心共各类设计项目的执行和管理。2. 负责对接乙方设计团队各类工作事宜落地。3. 配合购物中心市场活动进行项目计划出图前宣及后期落地。4. 完成市场部门领导其他设计类工作要求。任职要求：1. 美院设计相关专业背景，具备良好的审美和设计能力。2. 精通Photoshop、AI等设计工具，擅长购物中心平面设计工作。3. 具备团队合作精神和执行力，能够适应较高的工作压力。4. 本...,景区/商业/市场等综合管理,http://jobs.zhaopin.com/CCL1376324080J40972266404.htm,300-499人,2025-12-08 15:16:21,10000.0,15000.0,16.0
新媒体设计,北京,天下传媒机构,大专,3-5年,"排版设计,VI设计,PS,AI,AE,品牌设计,乙方公司经验",10000-15000,岗位职责1、负责客户公司新媒体平台全场景视觉设计，包括推文封面图、内文配图、头图 / 尾图、信息图及 GIF 动图制作，确保设计符合品牌调性与传播需求；2、结合营销策略与客户需求，将创意概念转化为可视化方案，配合文案团队优化视觉呈现，提升内容阅读量与转发率；3、严格遵循客户品牌 VI 规范，在设计中保持风格统一，同时融入创意亮点，平衡品牌一致性与视觉新鲜感；4、与客户执行团队高效协作，快速响应需求...,广告/营销,http://jobs.zhaopin.com/CC138788170J40969981404.htm,20-99人,2025-12-01 12:05:53,10000.0,15000.0,12.0
平面设计师,北京,红色观点广告,大专,1-3年,"广告设计,包装设计,AI,海报设计,手绘,品牌设计",,职位职责与要求：1、极好的审美，想象力，创造性思维和领悟力 。2、熟悉广告公司作业流程，并能熟练使用相关的主流编辑制作软件。3、具有两年以上工作经验， 需要具备扎实的美术功底，较强的创意能力。4、善于沟通协调，工作认专注，执行力强。5、生活热情，团队合作意识强。6、能独立完成各类创意设计制作完稿工作。7、快消类、医药类客户服务经验优先，4A 广告公司经验优先工作地址北京市丰台区南方庄1号院2号楼安...,广告/营销,http://jobs.zhaopin.com/CC137143408J00035229812.htm,20-99人,2025-12-01 00:17:02,,,
视觉传达设计师,北京,北京智博会展服务有限公司,本科,5-10年,"SI,广告设计,VI设计",10000-15000,一、职位定位：品牌视觉的“创造者”，将策略转化为高辨识度的视觉系统，并确保其在所有客户触点（尤其是空间）中的完美落地。二、核心职责：1、主导客户品牌视觉识别系统（VI）的创意设计与系统化搭建。2、深度参与SI项目，负责将VI系统精准转化为空间中的视觉元素，如标识、墙面图形、多媒体界面等。3、评审空间设计方案，确保其符合品牌视觉规范，并制定《SI视觉应用指导手册》。4、设计线上及线下营销物料，维护品...,会议/展览,http://jobs.zhaopin.com/CC136373400J40829447805.htm,20-99人,2025-11-28 00:00:04,10000.0,15000.0,13.0
