职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级数据库开发工程师,北京,国城控股集团有限公司,本科,5-10年,"Oracle,MySQL,SQL Server",25000-40000,"岗位职责：1. 负责集团级企业核心数据库系统（包括但不限于Oracle, MySQL, SQL Server, 云数据库等）的日常运维、监控、备份恢复与性能优化；2、负责数据库用户权限管理、安全审计与漏洞修复，确保数据库符合安全规范与合规要求；3、协助完成重大项目或业务系统的数据库设计评审、上线部署、数据迁移与运维支持；4、建立与维护业务数据分析体系，为业务管理决策与运营提供高质量数据服务。5. ...",矿产/采掘,http://jobs.zhaopin.com/CC632511130J40852936015.htm,1000-9999人,2025-06-11 14:47:26,25000.0,40000.0,13.0
首席数据官,北京,中资检验认证有限公司,硕士,5-10年,"数据治理,数据建模,数据库开发",30000-40000,负责制定数据战略框架、推动数据治理体系建设、促进数据资产化应用以及保障数据安全合规。 核心职责概述 战略规划：制定数据资源管理的中长期规划，推动数据要素市场化配置，建立数据基础设施与技术体系。 治理与整合： 统筹数据全生命周期管理，打破部门间“数据孤岛”，建立统一的数据标准与共享机制； 构建数据质量管理体系，包括数据采集、清洗、存储及更新流程的规范化。 价值挖掘： 通过数据分析优化运营效率，支持产...,云计算/大数据,http://jobs.zhaopin.com/CCL1337269640J40784098105.htm,100-299人,2025-06-17 09:47:54,30000.0,40000.0,12.0
高级架构师（集团商客）,北京,卓望信息技术(北京)有限公司,本科,经验不限,"Java,移动政企项目经验,架构师",23000-40000,岗位职责：统筹业务线整体技术规划和技术决策，制定公司的相关技术标准和流程；制定业务线生产实施过程中的技术解决方案，完成业务线的技术选型、架构设计和技术评审；指导研发团队完成相关技术工作，解决研发过程中的重大技术问题；统筹公司级公共技术的管理，积累跨业务线技术和业务知识。负责架构人员梯队建设、人员培养、人员培训等岗位要求：具备5年以上架构经验；责任心强、工作积极主动、乐于思考，具备较好的抗压能力；精...,互联网,http://jobs.zhaopin.com/CC120834160J40748928202.htm,1000-9999人,2025-06-05 16:48:50,23000.0,40000.0,13.0
AI架构师,北京,北京世纪中彩网络技术有限公司,本科,3-5年,,20000-40000,一、岗位职责1、分析行业业务的各种AI相关需求，应用大模型进行应用架构、技术架构设计，组织架构评审，制定项目技术方案 2、负责大模型相关AI项目技术框架搭建、核心模块开发； 3、负责大模型相关AI项目技术组件选型，参与技术标准制定，参与开发、交付、推广和持续优化工作； 4、负责指导和培训大模型相关开发人员和工程化人员，组织培训，提升团队整体技术能力；5、寻找大模型项目落地机会，推进大模型产品和项目...,互联网,http://jobs.zhaopin.com/CC332296380J40790916208.htm,500-999人,2025-06-05 00:00:04,20000.0,40000.0,12.0
AI产品架构师,北京,昆仑数智科技有限责任公司,硕士,5-10年,Java,29000-40000,职位描述（1）主导AI开发设计、代码生成、测试作业等场景的中长期战略规划，制定技术路线图并推动落地；负责AI技术平台的架构设计，推动多模态大模型、代码生成工具等核心技术的创新突破，提升技术壁垒。（2）统筹跨组织资源，协调复杂项目优先级，解决关键技术卡点；负责AI产品在大型交付项目中的端到端闭环管理，并沉淀可复用的行业解决方案。（3）搭建AI产品团队能力体系，重构开发过程管理机制，设计多维量化评分模...,IT服务,http://jobs.zhaopin.com/CC000608030J40717081616.htm,1000-9999人,2025-05-27 15:29:27,29000.0,40000.0,12.0
软件开发部经理,北京,北京中焌博扬热力科技有限公司,本科,3-5年,团队管理,30000-40000,岗位职责：负责公司大项目的全流程交付，项目前期规划、项目整体架构、参数确认、合同审核。正式交付阶段的启动前期准备，牵头产研制定详细的可落地的实施计划，推动项目上线，负责项目验收、回款完成。1.结合市场新技术进行产品发展规划 2.确保项目目标的实现，领导项目团队准时。优质的完成全部工作; 3.领导团队完成项目周期内需求分析、设计、开发、测试、交付等工作; 4.熟悉项目整体需求，并与客户保持一定的联系...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CCL1306783850J40576573715.htm,300-499人,2025-05-21 13:41:38,30000.0,40000.0,12.0
VPN架构工程师,北京,中共中央办公厅电子科技学院(北京电子科技学院),本科,5-10年,"Java,C语言,C#,JavaScript,TypeScript,大数据架构,前端架构,云计算架构",30000-40000,一、岗位职责1.负责系统总体设计、应用架构设计、开发框架搭建、开发规范制定等工作，带领团队完成业务模块代码编写和整体项目的质量、进度把控工作；2.根据项目要求负责核心代码的编写，主要是技术难题公关及优化软件性能工作；3.参与项目需求分析，负责软件开发团队的技术指导、设计规范和软件产品的改进工作；4.结合实际业务撰写相关技术文档。二、任职要求1.本科及以上学历，密码/计算机/网络安全/信息安全/人工...,学校/学历教育,http://jobs.zhaopin.com/CCL1264591470J40812369215.htm,300-499人,2025-02-24 10:58:00,30000.0,40000.0,12.0
大模型平台架构师,北京,昆仑数智科技有限责任公司,硕士,5-10年,,28000-40000,"岗位职责（1）负责VScode插件深度编程的设计、开发和推广使用；（2）负责基于大模型的应用开发和集成工作,并根据实际需求对模型进行优化和调整；（3）参与上层应用框架及配套工具链的设计和研发，并将框架、工具等与大模型结合；（4）基于大模型、agent思想，研发全新项目交付方面的对话交互能力，赋能业务项目开发交付；（5）设计、开发和优化大模型相关的接口和服务，确保高效、稳定的运行；（6）对大模型在应...",IT服务,http://jobs.zhaopin.com/CC000608030J40717077116.htm,1000-9999人,2025-05-27 15:25:44,28000.0,40000.0,12.0
技术经理,北京,北京盘拓数据科技有限公司,本科,5-10年,Java,25000-40000,岗位描述：1、根据需求确定技术方案，设计系统架构，编写相关设计文档；2、负责核心代码和架构的开发与设计工作；3、能够写出高质量代码；4、定期带领团队做codereview；5、带领团队主导项目持续有序的进行；任职要求： 1、5年以上开发经验，2年以上团队管理经验，本科及以上学历，计算机软件相关专业；2、精通Java编程，掌握面向对象思想、java基础知识、多线程、http网络请求、流读写、JDBC...,云计算/大数据,http://jobs.zhaopin.com/CCL1369677690J40671707813.htm,20-99人,2025-02-14 12:31:55,25000.0,40000.0,12.0
医疗软件架构师,北京,北京飞燕四海医疗科技有限责任公司,本科,5-10年,,20000-40000,【北京飞燕四海医疗科技有限责任公司】-飞燕医疗是一个由多个海外归国留学生创办的微创手术机器人公司，于北京大学校园内发起，专注于设计和制造符合临床需求的特种新型医疗器械。穿刺、消融、粒子植入等微创手术是疾病诊疗的重要发展方向，然而目前仍有多种技术难点，给微创手术带来极大挑战。飞燕医疗手术机器人采用精细机械结构设计，实时图像引导中精准定位病灶，提高临床精准度度，增加安全性和效率。飞燕医疗科技是一个富有...,医疗设备/器械,http://jobs.zhaopin.com/CCL1398542910J40631420314.htm,20-99人,2024-06-27 14:34:16,20000.0,40000.0,14.0
系统架构师,北京,华泰保险集团股份有限公司,本科,5-10年,平台架构,30000-35000,岗位职责：1. 负责核心业务系统和技术平台的整体架构规划、设计与持续优化。深入理解业务需求和未来发展，制定合理的技术架构蓝图，确保系统架构的前瞻性、适应性，并能够有效支撑业务快速增长。2. 负责跨系统、跨平台的应用整合与技术方案统筹，确保各功能模块和服务之间的高效协同与数据一致性。主导系统级的性能、可靠性及安全性等非功能性指标的优化工作，分析全链路瓶颈并提供解决方案，保障系统能够支撑业务的大规模增...,保险,http://jobs.zhaopin.com/CC000594630J40864124802.htm,1000-9999人,2026-01-11 00:36:02,30000.0,35000.0,15.0
架构师,北京,金航数码科技有限责任公司,硕士,5-10年,Java,28000-35000,岗位职责：1、负责项目的架构设计、研发工作。2、承担项目从业务向技术转换的桥梁作用。3、负责组织技术研究和攻关工作。4、对底座框架相关技术和业务进行培训，指导开发人员开发。并解决底座开发、运行中出现的各种咨询问题。任职要求：1.研究生及以上学历，理工类相关专业；8年以上工作经验，5年以上架构、技术负责人(或技术方案)工作经验，具有互联网大公司相关工作优先；2.有云应用(tob，toc)微服务设计及...,IT服务,http://jobs.zhaopin.com/CC000402820J40738765302.htm,500-999人,2026-01-11 00:35:41,28000.0,35000.0,12.0
物联网平台架构师,北京,共致开源(北京)信息科技有限公司,本科,3-5年,Java,20000-35000,岗位职责：1、负责物联网平台（云+端）整体架构设计、功能模块设计及核心代码编写。2、负责核心框架搭建和优化，具备设备端的代码编写或对接调试的经验。3、解决产品中遇到的各种技术问题，如系统性能优化，安全加固，保证平台安全、稳定、快速运行。任职要求：1、统招本科3年以上工作经验，计算机、电子相关专业。2、精通java，熟悉各种物联网开源框架及组件者优先。有实际的物联网平台项目研发经验，并在项目中任职架...,计算机软件,http://jobs.zhaopin.com/CC361100520J40693276112.htm,100-299人,2026-01-11 00:12:01,20000.0,35000.0,12.0
研发经理,北京,北京友坤科技有限责任公司,硕士,5-10年,"Java,微服务架构,全栈开发",25000-35000,工作职责：1、负责产品研发和业务研发工作，支撑丰富场景下的复杂业务。 2、负责分析业务需求，撰写技术方案和系统设计。 3、根据产品需求，进行系统设计和编码。 4、深入理解业务，完成架构设计及核心开发工作，推动技术不断升级。 5、带领团队完成产品的送代更新和新领域开拓。岗位要求：1、计算机科学与技术、软件工程等相关专业，本科及以上学历 。2、具有 5 年以上软件开发工作经验，主导过至少 1 个大型软...,互联网,http://jobs.zhaopin.com/CCL1318355140J40797158203.htm,500-999人,2026-01-10 01:05:37,25000.0,35000.0,12.0
软件架构师,北京,中国科学院工程热物理研究所,本科,3-5年,,25000-35000,岗位职责：1. 负责大型软件集成平台技术方案制定与实施、架构设计、代码审查等，并持续对平台技术架构进行改进和优化；2. 负责数据库、人工智能等相关技术平台开发及运维；3. 负责软件平台开发、集成、测试、部署、应用及运维；4. 负责完善软件开发相关流程规范、把控软件开发进程；5. 负责组织保障软件的整体质量，保障软件可扩展性、可维护性和技术先进性；岗位要求：1. 大学本科或以上学历，计算机、软件工程...,学术/科研,http://jobs.zhaopin.com/CC154301320J40851022913.htm,500-999人,2026-01-09 11:18:57,25000.0,35000.0,14.0
大数据开发工程师,北京,合享汇智,本科,5-10年,"Spark,数据架构,Hadoop,Python,Java,Scala,Elasticsearch,数据仓库,数据库开发,hive,CLICKHOUSE",18000-35000,岗位职责：1、参与大数据基础平台的规划和架构设计，包括但不限于需求分析、架构设计、技术决策以及详细设计；2、为现有大数据平台提供性能调优、架构优化重组，解决系统中的关键问题和技术难题；3、把握基础业务复杂系统的设计，确保系统的架构质量，编写核心部分代码；4、负责多源异构数据的采集和加工；5、持续挑战新的技术方向，攻克大数据量，高稳定性，易用性等各种技术难点； 6、完成公司交办的其他相关工作。 任职...,IT服务,http://jobs.zhaopin.com/CC437477510J40827350405.htm,20-99人,2026-01-09 00:04:02,18000.0,35000.0,12.0
高级数据开发工程师,北京,中科软科技股份有限公司,本科,5-10年,"零售/快消,大语言模型,LLM",30000-35000,核心职责1.机器学习与分析解决方案交付2.设计、构建并部署支持零售业务决策的数据 / 分析模型（如业绩诊断、用户分层、需求预测、增量 / 影响评估、排序 / 推荐等相关场景）。3.主导解决方案的端到端交付：从问题定义、数据需求梳理、模型构建、验证测试、上线部署，到监控运维与迭代优化，全程明确成功指标与落地应用标准。4.持续监控并优化生产环境中模型的性能、可扩展性与可靠性（涵盖数据质量保障、数据漂移...,计算机软件,http://jobs.zhaopin.com/CC120160390J40784454716.htm,1000-9999人,2026-01-07 19:14:18,30000.0,35000.0,12.0
数据架构师（YBSY-2506）,北京,首都信息发展股份有限公司,本科,5-10年,"数据治理,数据建模,大数据开发",25000-35000,岗位职责：1.负责大型数据分析支撑平台和应用系统架构设计；2.负责部门数据中台和数据应用系统运行维护技术支持；3.负责部门业务数据关系的梳理、分析、建模；4.负责协调并指导开发团队、外部承建商开展具体开发实施工作；5.负责制定数据分析系统技术架构和业务架构的相关规范；6.协助完成项目申报中的大数据分析相关技术和业务内容编写；7.完成上级领导交办的其他任务。任职条件：1.学历方面：统招本科及以上学历...,互联网,http://jobs.zhaopin.com/CC000103760J40762021907.htm,1000-9999人,2026-01-06 11:09:46,25000.0,35000.0,12.0
大数据业务架构师,北京,北京集成中服技术服务有限公司,本科,5-10年,,29000-35000,岗位职责外包至本地运营商公司 1.负责梳理数据治理体系方法论，形成公司对外数据治理服务的标准化模版。 2.负责售前阶段数据平台和数据治理的业务方案编写，和售前团队协同共同完成方案整合，能从业务角度和客户进行深入沟通，通过业务场景切入形成具体方案。 3.负责项目实施阶段数据治理相关的工作方案、管理办法的设计，推进数据治理体系建设。 4.负责业务架构和数据架构的梳理，和客户高层进行沟通汇报。 岗位任职...,IT服务,http://jobs.zhaopin.com/CCL1374239830J40897034115.htm,1000-9999人,2026-01-06 11:09:35,29000.0,35000.0,12.0
MES研发负责人,北京,北京高科力能工业控制技术有限公司,大专,5-10年,,18000-35000,岗位职责：1、领导MES系统项目的整体规划与实施，确保系统满足生产需求并提升效率；2、负责MES系统架构设计与优化，推动技术创新，提升系统稳定性和可扩展性；3、协调跨部门资源，确保项目按时交付，解决项目中的技术难题；4、收集并分析用户反馈，持续改进MES系统功能，提升用户体验。任职要求：1、本科及以上学历，计算机、工业工程、自动化等相关专业；2、5年以上MES系统开发或管理经验，有大型制造业背景者...,工业自动化,http://jobs.zhaopin.com/CC299765410J40836734405.htm,20-99人,2026-01-05 11:57:50,18000.0,35000.0,12.0
系统架构师(J11306),北京,中国电子科技集团公司第十五研究所,硕士,3-5年,Java,20000-35000,岗位职责:1、负责针对云计算、人工智能、操作系统、大数据、数据安全等产品之一的架构设计和持续演进工作；2、承担产品核心代码的编写工作，负责解决产品开发团队技术问题；3、主持团队技术培训、代码走查、任务分派和和技术交流工作；4、主持基础平台新技术的研究与探索工作。任职要求:1. 硕士及以上学历，计算机或相关专业，有3年以上相关经验；2、对软件架构有深入理解，有过1个以上项目或者产品的架构经验；3、深...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC130034250J40795770902.htm,1000-9999人,2026-01-04 17:03:01,20000.0,35000.0,12.0
软件架构工程师（ZWSY）,北京,首都信息发展股份有限公司,本科,5-10年,微服务架构,25000-35000,1、架构与方案设计：主导多租户智能体管理平台（含智能体任务编排、租户资源隔离、大模型知识库集成）、开源 BI 数据分析平台（含 BI 二次开发、多维度数据分析、数据可视化定制）的整体架构规划与技术方案设计，输出架构图、核心模块设计文档，确保方案符合业务需求与可扩展性要求；2、性能与架构优化：分析两大平台在多租户高并发、大模型检索效率、开源 BI 数据查询速度等场景下的系统瓶颈，推动架构层面（如分布...,互联网,http://jobs.zhaopin.com/CC000103760J40653512107.htm,1000-9999人,2026-01-04 14:59:07,25000.0,35000.0,12.0
整车集成,北京,北京恒昌万通科技有限公司,硕士,5-10年,,30000-35000,岗位职责：1、承接产品需求，负责整车性能开发目标设计、分解与达成；2、负责编制整车性能达标状态报告；3、负责试验样车策划，试验过程跟踪、数据分析、报告编制；4、负责各阶段样车整车性能指标评估，指标分解，最终达成；5、负责车辆总布置关键参数搜集，总布置技术方案及特殊特性清单等技术文件编制。任职要求：1、研究生以上学历，车辆、机械等相关专业优先，项目经验丰富者本科学历可以考虑；2、具有5年以上整车性能...,计算机软件,http://jobs.zhaopin.com/CCL1508443460J40781452411.htm,20-99人,2026-01-04 00:00:01,30000.0,35000.0,12.0
数据库平台核心研发人员,北京,国家电投集团数字科技有限公司,本科,1-3年,数据库研发,,岗位职责1.参与数据库服务平台的开发，实现数据库的自动化部署、备份、扩容与审计；2.优化数据库高可用方案（主从切换、读写分离、分库分表），保障数据一致性与低延迟；3.开发 SQL 审核、慢查询分析、容量预测等治理工具；4.支持业务完成数据库选型、迁移与性能调优；5.落实数据安全策略（脱敏、权限控制、操作日志）与灾备恢复能力。能力要求1.学历：本科及以上，计算机科学与技术、软件工程、信息工程等计算机...,IT服务,http://jobs.zhaopin.com/CC478410210J40830990810.htm,500-999人,2025-12-30 17:32:18,,,
高级技术经理,北京,中信数字科技集团有限公司,硕士,3-5年,Java,30000-35000,1. 负责设计与评审基于统一用户平台的二次开发、与周边系统（如HR系统、OA、财务系统等）集成的技术方案，确保其前瞻性、可扩展性与高可用性。2. 对系统架构进行持续优化，确保其能承载几十万级用户身份数据与高并发访问。3. 建立并完善技术文档体系，包括但不限于设计文档、API文档、部署手册等。4. 建立生产问题快速响应机制，牵头排查和解决系统运行中出现的重大故障与性能瓶颈，保障平台SLA。5. 作为...,互联网,http://jobs.zhaopin.com/CCL1318355140J40854167703.htm,500-999人,2025-12-30 01:07:10,30000.0,35000.0,12.0
技术管理部经理,北京,协合运维,本科,5-10年,,23000-35000,岗位职责：1、技术标准管理：主导交付全流程技术标准建设（设计 / 实施等），建立动态更新机制；协同交付体系管理部分清技术标准与交付标准边界；2、技术研发、攻关：公司级技术问题的调研、攻关，组织跨部门根因分析与解决方案落地，验证解决效果；3、科研创新管理：完成公司交办的科研项目全周期管理，主导科研成果向产品特性的转化落地；4、技术能力赋能：为各子业务单元提供技术支持，协同解决其经营过程中遇到的技术难...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC430134810J40744351506.htm,1000-9999人,2025-12-29 16:41:30,23000.0,35000.0,12.0
中间件平台核心研发人员,北京,国家电投集团数字科技有限公司,本科,1-3年,中间件研发,,岗位职责1.参与消息队列、缓存、任务调度、配置中心等中间件平台的研发与维护；2.负责中间件的高可用架构设计、性能调优、故障排查与自动化运维；3.封装中间件能力为标准化服务接口，降低业务团队使用门槛；4.推动中间件版本统一、安全加固与国产化替代；5.建立容量评估、压测验证与 SLA 保障机制。能力要求1.学历：本科及以上，计算机科学与技术、软件工程、信息工程等计算机科学与技术、软件工程、信息工程等计...,IT服务,http://jobs.zhaopin.com/CC478410210J40830984810.htm,500-999人,2025-12-30 17:14:05,,,
研发主管/经理,北京,北京方兴源科技有限责任公司,本科,5-10年,,20000-35000,岗位职责：1、产品和项目研发计划制定，资源整合工作2、研发管理（进度、质量、成本以及范围等管理控制）3、组织各里程碑阶段验证及评审4、部分研发团队建设工作、项目绩效总结5、定期汇报产品研发状况给上级领导及分管领导 6、项目内外部干系人协调沟通工作7、项目经验教训总结8、完成上级领导的交办的其它工作；岗位要求：1、具有3年以上研发项目管理经验，具有3个以上中等项目管理经验2、具备需求分析、方案设计、...,计算机软件,http://jobs.zhaopin.com/CC829903650J40830019915.htm,20-99人,2025-12-26 00:03:20,20000.0,35000.0,12.0
