职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
光刻工艺工程师,北京,北京电控集成电路制造有限责任公司,本科,3-5年,光刻工艺,15000-30000,岗位职责 ： 负责某半导体设备研制所需的工艺验证、工艺方案研发、工艺平台搭建与设备维护保障等相关工作。1.黄光区工艺支撑与保障，制定光刻工艺方案、参数与验证流程，从而确保对设备工艺性能的充分验证 2.工艺诊断与性能分析，通过光刻工艺测试方法，辅助分析与诊断设备性能缺陷 3.光刻工艺相关设备维护与保养工作，能够处理Stepper、Track、Metrology等机台日常出现的各种问题 4.光刻工艺实...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1475659970J40792980611.htm,500-999人,2025-10-11 15:08:23,15000.0,30000.0,16.0
金属材料与焊接工程师（北京总部）,北京,北京华卓精科科技股份有限公司,博士,经验不限,材料工艺设计,20000-30000,岗位职责：1. 负责半导体设备关键部件的材料研发与焊接工艺优化，重点研究金属与陶瓷异质材料的焊接技术，提升焊接接头的强度、气密性及耐高温性能； 2. 主导焊接工艺开发与验证，包括参数设计、材料选型、焊接缺陷分析及无损检测，确保产品符合半导体设备高精度与高可靠性的要求； 3. 协同生产团队解决焊接过程中的技术难题，推动工艺从实验室到量产的高效转化； 4. 参与新材料在半导体设备中的应用研究，撰写技术...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC516553620J40796126309.htm,500-999人,2025-10-11 14:56:34,20000.0,30000.0,13.0
半导体工艺研发/半导体智能设备开发工程师,北京,中国科学院微电子研究所,博士,经验不限,"微电子学、材料科学与工程,电子科学与技术,凝聚态物理等相关专业",25000-30000,岗位职责：半导体关键工艺技术研发与智能化设备开发。具体可包括：1）负责半导体关键工艺技术（如薄膜沉积、刻蚀、掺杂、封装等）的开发与优化，参与半导体核心设备的设计、研制与调试，解决设备工程化中的关键技术问题，推动工艺参数验证及设备系统性能提升；2）结合高性能、新材料、智能化、系统级架构创新等需求，开发新型物理实体与动态智能映射整合；3）主导实验设计及数据分析，撰写技术报告与专利文献，参与制定半导体工...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC000551140J40806298107.htm,1000-9999人,2025-11-04 14:51:18,25000.0,30000.0,12.0
精准成形工艺技术 技术带头人,北京,中机生产力促进中心有限公司,硕士,5-10年,,25000-30000,（1）岗位职责1）领导团队开展精准成形工艺技术研究与攻关，包括但不限于：跨尺度耦合建模、材料成分-工艺-性能多维数据构建、形性定量预测与一体化调控等。2）牵头组织、申报并完成本方向国家级/省部级/集团级重大科研项目。3）对接与产业龙头企业的合作委托项目，从企业实际需求出发，凝练共性技术，解决企业难题。4）培育本方向科研骨干，形成专业化研究梯队。5）负责数据模型、成形工艺、检测技术等成果，以及专利、...,专用设备制造,http://jobs.zhaopin.com/CC150472410J40883875408.htm,20人以下,2025-09-30 09:55:37,25000.0,30000.0,12.0
正极材料前驱体工艺工程师,北京,欧安诺(北京)科技有限公司,硕士,3-5年,电池材料,20000-30000,"Main missions and responsibilities:- Ensure the link between France and China on PCAM process, pilot, characterization and R&D aspects.- Coordinate the technical topics between Chinese partner and Fre...",咨询服务,http://jobs.zhaopin.com/CC225679610J40688840415.htm,20-99人,2025-09-29 00:07:03,20000.0,30000.0,12.0
先进封装工艺工程师,北京,中国科学院微电子研究所,硕士,1-3年,"微电子,物理,材料",15000-30000,岗位职责：1、参与先进封装工艺的机理分析与工艺整合，辅助完成相关工艺的建模仿真； 2、参与相关工艺的方案制定与测试验证，以及相关设备的日常管理、维护和作业指导； 3、参与解决工艺开发中出现的各种问题；4、完成领导分配的其它任务。岗位要求：1、微电子、材料、物理等相关专业，硕士及以上学历；2、精通半导体物理、器件原理、先进封装技术，具有2年以上相关工艺开发经验者优先；3、熟练使用TCAD/Senta...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC000551140J40806295307.htm,1000-9999人,2025-11-04 14:47:28,15000.0,30000.0,12.0
电机工艺工程师,北京,北京因时机器人科技有限公司,本科,5-10年,"电机生产,生产工艺,自动化产线",15000-30000,岗位职责：1. 负责编制电机工艺作业指导书及相关工艺规范，对现有生产工艺进行改进优化；2. 负责指导、督促车间生产，及时分析跟进处理生产现场出现的工艺问题，确保生产顺利进行；3. 负责新项目电机样机制作及过程问题分析、记录并及时总结汇报；4. 负责完成新项目电机的设计、测试等工作；5. 完成领导交办的其他工作。任职要求：1. 本科以上学历，机械设计、电机学等相关专业；2. 五年以上电机生产工艺工作...,通用设备制造,http://jobs.zhaopin.com/CC439173380J40753395205.htm,100-299人,2025-09-25 14:21:25,15000.0,30000.0,14.0
机械/电气工艺工程师,北京,甘肃盖恩商贸有限公司,本科,3-5年,"电气工艺方案设计,新产品电气工艺方案设计,使用过程电气技术支持",15000-30000,1、负责产品总体电气工艺技术方案设计；2、负责车间调试台工艺方案设计优化；3、负责产品电气安装接口的工艺性审查； 4、负责新产品电气工艺开发和设计评审，工艺装备的系统性设计、出图、安装、测试验证工作，工装、工具和吊具的升级改造工作，优化及安装手册编制，并参与产品的制造及安装过程；5、负责机组装配、运输、吊装及运维的工装设计和量产机组装配、运输、吊装及运维的工装的合理性优化以及工装制造过程、使用过程...,耐用消费品,http://jobs.zhaopin.com/CCL1464111130J40890752515.htm,20人以下,2025-09-22 14:35:31,15000.0,30000.0,12.0
集成电路系统与工艺协同优化,北京,中国科学院微电子研究所,博士,经验不限,"集成电路,微电子学与固体电子学,物理学、材料学等理工专业",25000-30000,岗位职责：1、开展集成电路系统与工艺的协同优化(DTCO/STCO)技术研究，包括电路系统架构与仿真、电路设计、器件与工艺协同优化；2、协助开展晶圆级三维系统电路设计与EDA技术等方向关键技术开发和积累；3、配合新型器件工艺的研发，开展设计协同优化技术研究，编写相关文档，撰写论文专利等；4、完成领导交办的其他工作。岗位要求：1、具有丰富的微电子和集成电路领域的专业背景知识；2、原则上年龄不超过45...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC000551140J40806288607.htm,1000-9999人,2025-11-04 14:38:35,25000.0,30000.0,12.0
高级产品工艺工程师 (MJ000843),北京,北京海博思创科技股份有限公司,本科,5-10年,工艺设计,25000-30000,岗位职责1 深度参与储能产品（模组pack及系统）设计开发，为产品设计反馈工艺和可制造性评审意见，确保产品设计工艺可行性；2.负责储能产品新品导入，推动研发优化完善设计，规避设计问题流入批量生产；2 负责储能产品工艺流程设计、制定产品生产工艺操作标准，输出产品作业SOP；3.负责储能产品生产工具工装的选型、设计，并主导验证，负责编制定制化工装工具的技术要求；4.研究产品新工艺、新技术，提升产品可制...,新能源,http://jobs.zhaopin.com/CC450682910J40802218710.htm,500-999人,2025-09-18 16:48:44,25000.0,30000.0,12.0
