职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
LabVIEW工程师,郑州,新工课在线(北京)教育科技有限公司,本科,1-3年,,10000-18000,岗位职责： 1. 负责新能源汽车相关测试系统的LabVIEW软件开发与维护 2. 完成测试系统需求分析、方案设计及文档编写 3. 参与测试设备调试、数据采集与分析工作 4. 解决开发过程中的技术问题并优化系统性能 任职要求： 1. 汽车行业或相关领域2年以上LabVIEW开发经验 2. 精通LabVIEW编程及NI硬件产品应用 3. 熟悉汽车电子测试规范与流程 4. 具备独立解决技术问题的能力,科学技术推广,http://jobs.zhaopin.com/CCL1430932120J40976490804.htm,20-99人,2025-12-26 09:57:43,10000.0,18000.0,12.0
招20人【高级测试工程师】,郑州,八六三软件,大专,10年以上,"软件测试,功能测试,性能测试,Python",17000-18000,大型项目经验；有管理经验、大厂经历更佳；本科优先，如果专科能力非常强也可大小周，薪资15-18k,计算机软件,http://jobs.zhaopin.com/CC621497980J40816984509.htm,500-999人,2025-12-05 21:26:16,17000.0,18000.0,12.0
测试开发工程师,郑州,北京仁屿科技有限公司,本科,3-5年,"自动化测试,Java,Python",10000-18000,职位描述：1、 参与项目和日常产品需求分析，把控需求和系统分析质量和风险;2、 担任标准项目的质量保障负责人或能在指导下完成复杂项目测试;3、 熟悉UI、接口、端到端自动化、流量回放等常用工具，建设项目和日常需求回归防线;4、 通过抓包和日志分析，对bug进行定位、原因分析;对开发代码Code Review;5、 结合测试过程中遇到问题，通过流程、策略、工具等过程改进，提升测试质量和效率。职位要求...,电子商务,http://jobs.zhaopin.com/CCL1511492330J40973058004.htm,100-299人,2025-12-11 10:36:35,10000.0,18000.0,14.0
web功能测试工程师,郑州,科锐尔人力资源服务(苏州)有限公司,本科,1-3年,"软件测试,Java,Python,Shell,Postman,Selenium,Appium",10000-18000,岗位职责：1、负责公司云端产品的功能测试；2、负责在测试现场进行功能测试；3、参加产品需求会议，设计高效测试用例；4、测试执行工作，发现系统缺陷，跟踪提交的Bug，保证测试效率和产品质量；5、与相关团队进行有效沟通，推动测试中发现问题及时合理地解决。岗位要求：1、本科及以上学历，计算机相关专业，熟悉软件测试流程，3年以上软件测试经验 ；2、具备1年以上Python开发经验，同时具备其他语言开发经验...,咨询服务,http://jobs.zhaopin.com/CC453635220J40857732403.htm,500-999人,2025-11-20 14:05:44,10000.0,18000.0,12.0
PQM项目质量工程师,郑州,河南聚量信息技术有限公司,大专,3-5年,"QA,QE,家电六大类,QC,全面质量管理体系",12000-18000,【公司简介】河南聚量是国内领先的电商运营公司，自2019年成立以来以线上营销为核心，集短视频运营、内容营销、品牌推广等为一体的全方位、多渠道变现的新网络生态营销公司。产品主做3c小家电、个护类和百货类。目前在职人数1000+，办公区近万平，期待有才华，有责任心的有志之士加入~【岗位职责】(1)项目质量管理体系建设1、负责制定项目质量计划，明确质量目标、检验标准及流程规范。2、推动质量管理体系（如 ...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40958622204.htm,1000-9999人,2025-10-14 15:21:18,12000.0,18000.0,12.0
测试中心负责人,郑州,河南泛锐复合材料研究院有限公司,本科,5-10年,"理化分析,有机分析",12000-18000,岗位职责材料性能测试与分析负责原材料、半成品及成品的物理、化学、力学性能测试（如拉伸、弯曲、XRD、金相显微镜观察等），并整理数据形成报告。参与测试方法研究及标准化工作，优化实验流程（如电化学性能测试、阻燃性测试）。实验室管理与设备维护操作和维护测试设备（如万能材料试验机、3D X-ray CT、SEM等），确保仪器正常运行并记录巡检数据。管理实验室质量体系，编写测试相关体系文件（如GJB9001...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC265710580J40800123714.htm,500-999人,2025-09-06 08:51:33,12000.0,18000.0,12.0
嵌入式软件测试工程师（成都办公）,郑州,软通动力信息技术(集团)股份有限公司,本科,5-10年,通信测试,10000-17000,岗位内容：1. 建立和维护软件产品的测试计划和策略。2. 负责软件测试阶段的进度管理和问题跟踪。3. 审查需求文档，识别并管理关键的测试风险。4. 持续改进测试流程和工具，提高测试效率和质量。5. 向其他团队成员提供培训和支持。任职要求：1. 五年以上软件测试工作经验。2. 精通测试常见工具和框架（如JIRA、TestRail、Appium）。3. 熟悉测试理论和流程，能够制定测试计划和策略。4....,互联网,http://jobs.zhaopin.com/CC000544460J40777909416.htm,10000人以上,2025-12-02 14:56:12,10000.0,17000.0,12.0
食安经理,郑州,河南广顺兴餐饮管理有限公司,大专,5-10年,"QC,QA,QE,食品安全管理体系",10000-17000,岗位职责：食品安全体系搭建与执行制定并完善门店食品安全管理制度、操作流程（SOP）及应急预案，确保符合国家《食品安全法》及地方监管要求。监督门店执行食品安全标准（如HACCP、ISO 22000），定期开展内部审核及风险评估。门店巡检与整改定期对管辖区域内门店进行食品安全巡查（包括后厨卫生、原料储存、加工流程、设备消毒等），出具检查报告并跟踪整改闭环。针对高风险问题（如冷链管理、交叉污染）提供现场...,餐饮服务,http://jobs.zhaopin.com/CCL1200545800J40771066701.htm,300-499人,2025-11-07 09:17:11,10000.0,17000.0,12.0
软件测试主管,郑州,北京合众伟奇科技股份有限公司,本科,5-10年,"功能测试,性能测试,安全测试",11000-17000,岗位职责：1、负责项目测试及管理工作，实现高质量交付：包括制定项目整体测试方案、确定测试范围/方法/技术/流程、评估风险及应对措施、测试进度安排、测试执行等；2、主导项目测试工作流程体系建设、测试技术规划及落地；3、负责项目测试团队建设及管理；任职要求：1. 学历与专业：统招本科及以上学历（学信网可查），计算机科学、软件工程、信息技术或相关专业；2.工作经验：5年以上测试经验，至少3年以上大型测试...,计算机软件,http://jobs.zhaopin.com/CC468463280J40849572515.htm,1000-9999人,2025-06-09 17:47:55,11000.0,17000.0,12.0
网元功能测试工程师,郑州,嵩山实验室,硕士,3-5年,"系统测试,软件测试",15000-17000,"岗位职责：1.负责多模态网元等产品设备的黑盒测试、白盒测试;2.负责制定软件测试计划,编写测试用例,搭建测试环境;3.跟踪与维护缺陷状态,协调开发人员解决问题;4.输出测试文档；5.参与需求评审；6.把控管理软件产品质量。任职要求：1.硕士及以上学历，计算机科学与技术、自动化、电子与信息工程等相关专业，具有3年以上软件测试工作经验；2.满足下列2条及以上条件：（1）熟悉测试基本理论,包括黑盒测试,...",网络/信息安全,http://jobs.zhaopin.com/CCL1390391680J40740587907.htm,100-299人,2025-05-28 16:43:00,15000.0,17000.0,12.0
